w	up_1	down_1	cumul_up_1	cumul_down_1	
 (-40+0.05j)	 (1.00351e-05+0j)	 (1.00351e-05+0j)	 (0+0j)	 (0+0j)
 (-39.9875+0.05j)	 (1.00414e-05+0j)	 (1.00414e-05+0j)	 (1.25517e-07+0j)	 (1.25517e-07+0j)
 (-39.975+0.05j)	 (1.00477e-05+0j)	 (1.00477e-05+0j)	 (2.51114e-07+0j)	 (2.51114e-07+0j)
 (-39.9625+0.05j)	 (1.00541e-05+0j)	 (1.00541e-05+0j)	 (3.7679e-07+0j)	 (3.7679e-07+0j)
 (-39.95+0.05j)	 (1.00604e-05+0j)	 (1.00604e-05+0j)	 (5.02545e-07+0j)	 (5.02545e-07+0j)
 (-39.9375+0.05j)	 (1.00668e-05+0j)	 (1.00668e-05+0j)	 (6.2838e-07+0j)	 (6.2838e-07+0j)
 (-39.925+0.05j)	 (1.00731e-05+0j)	 (1.00731e-05+0j)	 (7.54294e-07+0j)	 (7.54294e-07+0j)
 (-39.9125+0.05j)	 (1.00795e-05+0j)	 (1.00795e-05+0j)	 (8.80288e-07+0j)	 (8.80288e-07+0j)
 (-39.9+0.05j)	 (1.00859e-05+0j)	 (1.00859e-05+0j)	 (1.00636e-06+0j)	 (1.00636e-06+0j)
 (-39.8875+0.05j)	 (1.00923e-05+0j)	 (1.00923e-05+0j)	 (1.13251e-06+0j)	 (1.13251e-06+0j)
 (-39.875+0.05j)	 (1.00986e-05+0j)	 (1.00986e-05+0j)	 (1.25875e-06+0j)	 (1.25875e-06+0j)
 (-39.8625+0.05j)	 (1.0105e-05+0j)	 (1.0105e-05+0j)	 (1.38506e-06+0j)	 (1.38506e-06+0j)
 (-39.85+0.05j)	 (1.01114e-05+0j)	 (1.01114e-05+0j)	 (1.51145e-06+0j)	 (1.51145e-06+0j)
 (-39.8375+0.05j)	 (1.01178e-05+0j)	 (1.01178e-05+0j)	 (1.63793e-06+0j)	 (1.63793e-06+0j)
 (-39.825+0.05j)	 (1.01242e-05+0j)	 (1.01242e-05+0j)	 (1.76448e-06+0j)	 (1.76448e-06+0j)
 (-39.8125+0.05j)	 (1.01307e-05+0j)	 (1.01307e-05+0j)	 (1.89111e-06+0j)	 (1.89111e-06+0j)
 (-39.8+0.05j)	 (1.01371e-05+0j)	 (1.01371e-05+0j)	 (2.01783e-06+0j)	 (2.01783e-06+0j)
 (-39.7875+0.05j)	 (1.01435e-05+0j)	 (1.01435e-05+0j)	 (2.14462e-06+0j)	 (2.14462e-06+0j)
 (-39.775+0.05j)	 (1.015e-05+0j)	 (1.015e-05+0j)	 (2.2715e-06+0j)	 (2.2715e-06+0j)
 (-39.7625+0.05j)	 (1.01564e-05+0j)	 (1.01564e-05+0j)	 (2.39845e-06+0j)	 (2.39845e-06+0j)
 (-39.75+0.05j)	 (1.01628e-05+0j)	 (1.01628e-05+0j)	 (2.52549e-06+0j)	 (2.52549e-06+0j)
 (-39.7375+0.05j)	 (1.01693e-05+0j)	 (1.01693e-05+0j)	 (2.6526e-06+0j)	 (2.6526e-06+0j)
 (-39.725+0.05j)	 (1.01758e-05+0j)	 (1.01758e-05+0j)	 (2.7798e-06+0j)	 (2.7798e-06+0j)
 (-39.7125+0.05j)	 (1.01822e-05+0j)	 (1.01822e-05+0j)	 (2.90708e-06+0j)	 (2.90708e-06+0j)
 (-39.7+0.05j)	 (1.01887e-05+0j)	 (1.01887e-05+0j)	 (3.03443e-06+0j)	 (3.03443e-06+0j)
 (-39.6875+0.05j)	 (1.01952e-05+0j)	 (1.01952e-05+0j)	 (3.16187e-06+0j)	 (3.16187e-06+0j)
 (-39.675+0.05j)	 (1.02016e-05+0j)	 (1.02016e-05+0j)	 (3.2894e-06+0j)	 (3.2894e-06+0j)
 (-39.6625+0.05j)	 (1.02081e-05+0j)	 (1.02081e-05+0j)	 (3.417e-06+0j)	 (3.417e-06+0j)
 (-39.65+0.05j)	 (1.02146e-05+0j)	 (1.02146e-05+0j)	 (3.54468e-06+0j)	 (3.54468e-06+0j)
 (-39.6375+0.05j)	 (1.02211e-05+0j)	 (1.02211e-05+0j)	 (3.67244e-06+0j)	 (3.67244e-06+0j)
 (-39.625+0.05j)	 (1.02276e-05+0j)	 (1.02276e-05+0j)	 (3.80029e-06+0j)	 (3.80029e-06+0j)
 (-39.6125+0.05j)	 (1.02342e-05+0j)	 (1.02342e-05+0j)	 (3.92822e-06+0j)	 (3.92822e-06+0j)
 (-39.6+0.05j)	 (1.02407e-05+0j)	 (1.02407e-05+0j)	 (4.05623e-06+0j)	 (4.05623e-06+0j)
 (-39.5875+0.05j)	 (1.02472e-05+0j)	 (1.02472e-05+0j)	 (4.18432e-06+0j)	 (4.18432e-06+0j)
 (-39.575+0.05j)	 (1.02537e-05+0j)	 (1.02537e-05+0j)	 (4.31249e-06+0j)	 (4.31249e-06+0j)
 (-39.5625+0.05j)	 (1.02603e-05+0j)	 (1.02603e-05+0j)	 (4.44074e-06+0j)	 (4.44074e-06+0j)
 (-39.55+0.05j)	 (1.02668e-05+0j)	 (1.02668e-05+0j)	 (4.56908e-06+0j)	 (4.56908e-06+0j)
 (-39.5375+0.05j)	 (1.02734e-05+0j)	 (1.02734e-05+0j)	 (4.69749e-06+0j)	 (4.69749e-06+0j)
 (-39.525+0.05j)	 (1.02799e-05+0j)	 (1.02799e-05+0j)	 (4.82599e-06+0j)	 (4.82599e-06+0j)
 (-39.5125+0.05j)	 (1.02865e-05+0j)	 (1.02865e-05+0j)	 (4.95457e-06+0j)	 (4.95457e-06+0j)
 (-39.5+0.05j)	 (1.02931e-05+0j)	 (1.02931e-05+0j)	 (5.08324e-06+0j)	 (5.08324e-06+0j)
 (-39.4875+0.05j)	 (1.02997e-05+0j)	 (1.02997e-05+0j)	 (5.21198e-06+0j)	 (5.21198e-06+0j)
 (-39.475+0.05j)	 (1.03062e-05+0j)	 (1.03062e-05+0j)	 (5.34081e-06+0j)	 (5.34081e-06+0j)
 (-39.4625+0.05j)	 (1.03128e-05+0j)	 (1.03128e-05+0j)	 (5.46972e-06+0j)	 (5.46972e-06+0j)
 (-39.45+0.05j)	 (1.03194e-05+0j)	 (1.03194e-05+0j)	 (5.59871e-06+0j)	 (5.59871e-06+0j)
 (-39.4375+0.05j)	 (1.0326e-05+0j)	 (1.0326e-05+0j)	 (5.72779e-06+0j)	 (5.72779e-06+0j)
 (-39.425+0.05j)	 (1.03326e-05+0j)	 (1.03326e-05+0j)	 (5.85695e-06+0j)	 (5.85695e-06+0j)
 (-39.4125+0.05j)	 (1.03393e-05+0j)	 (1.03393e-05+0j)	 (5.98619e-06+0j)	 (5.98619e-06+0j)
 (-39.4+0.05j)	 (1.03459e-05+0j)	 (1.03459e-05+0j)	 (6.11551e-06+0j)	 (6.11551e-06+0j)
 (-39.3875+0.05j)	 (1.03525e-05+0j)	 (1.03525e-05+0j)	 (6.24492e-06+0j)	 (6.24492e-06+0j)
 (-39.375+0.05j)	 (1.03591e-05+0j)	 (1.03591e-05+0j)	 (6.37441e-06+0j)	 (6.37441e-06+0j)
 (-39.3625+0.05j)	 (1.03658e-05+0j)	 (1.03658e-05+0j)	 (6.50398e-06+0j)	 (6.50398e-06+0j)
 (-39.35+0.05j)	 (1.03724e-05+0j)	 (1.03724e-05+0j)	 (6.63364e-06+0j)	 (6.63364e-06+0j)
 (-39.3375+0.05j)	 (1.03791e-05+0j)	 (1.03791e-05+0j)	 (6.76337e-06+0j)	 (6.76337e-06+0j)
 (-39.325+0.05j)	 (1.03857e-05+0j)	 (1.03857e-05+0j)	 (6.8932e-06+0j)	 (6.8932e-06+0j)
 (-39.3125+0.05j)	 (1.03924e-05+0j)	 (1.03924e-05+0j)	 (7.0231e-06+0j)	 (7.0231e-06+0j)
 (-39.3+0.05j)	 (1.03991e-05+0j)	 (1.03991e-05+0j)	 (7.15309e-06+0j)	 (7.15309e-06+0j)
 (-39.2875+0.05j)	 (1.04058e-05+0j)	 (1.04058e-05+0j)	 (7.28316e-06+0j)	 (7.28316e-06+0j)
 (-39.275+0.05j)	 (1.04125e-05+0j)	 (1.04125e-05+0j)	 (7.41332e-06+0j)	 (7.41332e-06+0j)
 (-39.2625+0.05j)	 (1.04191e-05+0j)	 (1.04191e-05+0j)	 (7.54356e-06+0j)	 (7.54356e-06+0j)
 (-39.25+0.05j)	 (1.04258e-05+0j)	 (1.04258e-05+0j)	 (7.67388e-06+0j)	 (7.67388e-06+0j)
 (-39.2375+0.05j)	 (1.04326e-05+0j)	 (1.04326e-05+0j)	 (7.80429e-06+0j)	 (7.80429e-06+0j)
 (-39.225+0.05j)	 (1.04393e-05+0j)	 (1.04393e-05+0j)	 (7.93478e-06+0j)	 (7.93478e-06+0j)
 (-39.2125+0.05j)	 (1.0446e-05+0j)	 (1.0446e-05+0j)	 (8.06535e-06+0j)	 (8.06535e-06+0j)
 (-39.2+0.05j)	 (1.04527e-05+0j)	 (1.04527e-05+0j)	 (8.19601e-06+0j)	 (8.19601e-06+0j)
 (-39.1875+0.05j)	 (1.04594e-05+0j)	 (1.04594e-05+0j)	 (8.32675e-06+0j)	 (8.32675e-06+0j)
 (-39.175+0.05j)	 (1.04662e-05+0j)	 (1.04662e-05+0j)	 (8.45758e-06+0j)	 (8.45758e-06+0j)
 (-39.1625+0.05j)	 (1.04729e-05+0j)	 (1.04729e-05+0j)	 (8.58849e-06+0j)	 (8.58849e-06+0j)
 (-39.15+0.05j)	 (1.04797e-05+0j)	 (1.04797e-05+0j)	 (8.71949e-06+0j)	 (8.71949e-06+0j)
 (-39.1375+0.05j)	 (1.04864e-05+0j)	 (1.04864e-05+0j)	 (8.85057e-06+0j)	 (8.85057e-06+0j)
 (-39.125+0.05j)	 (1.04932e-05+0j)	 (1.04932e-05+0j)	 (8.98173e-06+0j)	 (8.98173e-06+0j)
 (-39.1125+0.05j)	 (1.05e-05+0j)	 (1.05e-05+0j)	 (9.11298e-06+0j)	 (9.11298e-06+0j)
 (-39.1+0.05j)	 (1.05067e-05+0j)	 (1.05067e-05+0j)	 (9.24432e-06+0j)	 (9.24432e-06+0j)
 (-39.0875+0.05j)	 (1.05135e-05+0j)	 (1.05135e-05+0j)	 (9.37574e-06+0j)	 (9.37574e-06+0j)
 (-39.075+0.05j)	 (1.05203e-05+0j)	 (1.05203e-05+0j)	 (9.50724e-06+0j)	 (9.50724e-06+0j)
 (-39.0625+0.05j)	 (1.05271e-05+0j)	 (1.05271e-05+0j)	 (9.63883e-06+0j)	 (9.63883e-06+0j)
 (-39.05+0.05j)	 (1.05339e-05+0j)	 (1.05339e-05+0j)	 (9.7705e-06+0j)	 (9.7705e-06+0j)
 (-39.0375+0.05j)	 (1.05407e-05+0j)	 (1.05407e-05+0j)	 (9.90226e-06+0j)	 (9.90226e-06+0j)
 (-39.025+0.05j)	 (1.05476e-05+0j)	 (1.05476e-05+0j)	 (1.00341e-05+0j)	 (1.00341e-05+0j)
