w	up_1	down_1	cumul_up_1	cumul_down_1	
 (-30+0.1j)	 (3.44149e-05+0j)	 (3.44149e-05+0j)	 (0+0j)	 (0+0j)
 (-29.975+0.1j)	 (3.4472e-05+0j)	 (3.4472e-05+0j)	 (8.618e-07+0j)	 (8.618e-07+0j)
 (-29.95+0.1j)	 (3.45293e-05+0j)	 (3.45293e-05+0j)	 (1.72503e-06+0j)	 (1.72503e-06+0j)
 (-29.925+0.1j)	 (3.45866e-05+0j)	 (3.45866e-05+0j)	 (2.5897e-06+0j)	 (2.5897e-06+0j)
 (-29.9+0.1j)	 (3.46442e-05+0j)	 (3.46442e-05+0j)	 (3.4558e-06+0j)	 (3.4558e-06+0j)
 (-29.875+0.1j)	 (3.47019e-05+0j)	 (3.47019e-05+0j)	 (4.32335e-06+0j)	 (4.32335e-06+0j)
 (-29.85+0.1j)	 (3.47597e-05+0j)	 (3.47597e-05+0j)	 (5.19234e-06+0j)	 (5.19234e-06+0j)
 (-29.825+0.1j)	 (3.48177e-05+0j)	 (3.48177e-05+0j)	 (6.06278e-06+0j)	 (6.06278e-06+0j)
 (-29.8+0.1j)	 (3.48758e-05+0j)	 (3.48758e-05+0j)	 (6.93468e-06+0j)	 (6.93468e-06+0j)
 (-29.775+0.1j)	 (3.4934e-05+0j)	 (3.4934e-05+0j)	 (7.80803e-06+0j)	 (7.80803e-06+0j)
 (-29.75+0.1j)	 (3.49924e-05+0j)	 (3.49924e-05+0j)	 (8.68284e-06+0j)	 (8.68284e-06+0j)
 (-29.725+0.1j)	 (3.5051e-05+0j)	 (3.5051e-05+0j)	 (9.55911e-06+0j)	 (9.55911e-06+0j)
 (-29.7+0.1j)	 (3.51097e-05+0j)	 (3.51097e-05+0j)	 (1.04369e-05+0j)	 (1.04369e-05+0j)
 (-29.675+0.1j)	 (3.51686e-05+0j)	 (3.51686e-05+0j)	 (1.13161e-05+0j)	 (1.13161e-05+0j)
 (-29.65+0.1j)	 (3.52276e-05+0j)	 (3.52276e-05+0j)	 (1.21968e-05+0j)	 (1.21968e-05+0j)
 (-29.625+0.1j)	 (3.52867e-05+0j)	 (3.52867e-05+0j)	 (1.30789e-05+0j)	 (1.30789e-05+0j)
 (-29.6+0.1j)	 (3.5346e-05+0j)	 (3.5346e-05+0j)	 (1.39626e-05+0j)	 (1.39626e-05+0j)
 (-29.575+0.1j)	 (3.54055e-05+0j)	 (3.54055e-05+0j)	 (1.48477e-05+0j)	 (1.48477e-05+0j)
 (-29.55+0.1j)	 (3.54651e-05+0j)	 (3.54651e-05+0j)	 (1.57343e-05+0j)	 (1.57343e-05+0j)
 (-29.525+0.1j)	 (3.55248e-05+0j)	 (3.55248e-05+0j)	 (1.66225e-05+0j)	 (1.66225e-05+0j)
 (-29.5+0.1j)	 (3.55847e-05+0j)	 (3.55847e-05+0j)	 (1.75121e-05+0j)	 (1.75121e-05+0j)
 (-29.475+0.1j)	 (3.56448e-05+0j)	 (3.56448e-05+0j)	 (1.84032e-05+0j)	 (1.84032e-05+0j)
 (-29.45+0.1j)	 (3.5705e-05+0j)	 (3.5705e-05+0j)	 (1.92958e-05+0j)	 (1.92958e-05+0j)
 (-29.425+0.1j)	 (3.57654e-05+0j)	 (3.57654e-05+0j)	 (2.019e-05+0j)	 (2.019e-05+0j)
 (-29.4+0.1j)	 (3.58259e-05+0j)	 (3.58259e-05+0j)	 (2.10856e-05+0j)	 (2.10856e-05+0j)
 (-29.375+0.1j)	 (3.58866e-05+0j)	 (3.58866e-05+0j)	 (2.19828e-05+0j)	 (2.19828e-05+0j)
 (-29.35+0.1j)	 (3.59474e-05+0j)	 (3.59474e-05+0j)	 (2.28815e-05+0j)	 (2.28815e-05+0j)
 (-29.325+0.1j)	 (3.60084e-05+0j)	 (3.60084e-05+0j)	 (2.37817e-05+0j)	 (2.37817e-05+0j)
 (-29.3+0.1j)	 (3.60695e-05+0j)	 (3.60695e-05+0j)	 (2.46834e-05+0j)	 (2.46834e-05+0j)
 (-29.275+0.1j)	 (3.61308e-05+0j)	 (3.61308e-05+0j)	 (2.55867e-05+0j)	 (2.55867e-05+0j)
 (-29.25+0.1j)	 (3.61923e-05+0j)	 (3.61923e-05+0j)	 (2.64915e-05+0j)	 (2.64915e-05+0j)
 (-29.225+0.1j)	 (3.62539e-05+0j)	 (3.62539e-05+0j)	 (2.73978e-05+0j)	 (2.73978e-05+0j)
 (-29.2+0.1j)	 (3.63157e-05+0j)	 (3.63157e-05+0j)	 (2.83057e-05+0j)	 (2.83057e-05+0j)
 (-29.175+0.1j)	 (3.63776e-05+0j)	 (3.63776e-05+0j)	 (2.92152e-05+0j)	 (2.92152e-05+0j)
 (-29.15+0.1j)	 (3.64397e-05+0j)	 (3.64397e-05+0j)	 (3.01262e-05+0j)	 (3.01262e-05+0j)
 (-29.125+0.1j)	 (3.65019e-05+0j)	 (3.65019e-05+0j)	 (3.10387e-05+0j)	 (3.10387e-05+0j)
 (-29.1+0.1j)	 (3.65643e-05+0j)	 (3.65643e-05+0j)	 (3.19528e-05+0j)	 (3.19528e-05+0j)
 (-29.075+0.1j)	 (3.66269e-05+0j)	 (3.66269e-05+0j)	 (3.28685e-05+0j)	 (3.28685e-05+0j)
 (-29.05+0.1j)	 (3.66897e-05+0j)	 (3.66897e-05+0j)	 (3.37857e-05+0j)	 (3.37857e-05+0j)
 (-29.025+0.1j)	 (3.67525e-05+0j)	 (3.67525e-05+0j)	 (3.47045e-05+0j)	 (3.47045e-05+0j)
 (-29+0.1j)	 (3.68156e-05+0j)	 (3.68156e-05+0j)	 (3.56249e-05+0j)	 (3.56249e-05+0j)
 (-28.975+0.1j)	 (3.68788e-05+0j)	 (3.68788e-05+0j)	 (3.65469e-05+0j)	 (3.65469e-05+0j)
 (-28.95+0.1j)	 (3.69422e-05+0j)	 (3.69422e-05+0j)	 (3.74705e-05+0j)	 (3.74705e-05+0j)
 (-28.925+0.1j)	 (3.70058e-05+0j)	 (3.70058e-05+0j)	 (3.83956e-05+0j)	 (3.83956e-05+0j)
 (-28.9+0.1j)	 (3.70695e-05+0j)	 (3.70695e-05+0j)	 (3.93223e-05+0j)	 (3.93223e-05+0j)
 (-28.875+0.1j)	 (3.71334e-05+0j)	 (3.71334e-05+0j)	 (4.02507e-05+0j)	 (4.02507e-05+0j)
 (-28.85+0.1j)	 (3.71974e-05+0j)	 (3.71974e-05+0j)	 (4.11806e-05+0j)	 (4.11806e-05+0j)
 (-28.825+0.1j)	 (3.72616e-05+0j)	 (3.72616e-05+0j)	 (4.21121e-05+0j)	 (4.21121e-05+0j)
 (-28.8+0.1j)	 (3.7326e-05+0j)	 (3.7326e-05+0j)	 (4.30453e-05+0j)	 (4.30453e-05+0j)
 (-28.775+0.1j)	 (3.73905e-05+0j)	 (3.73905e-05+0j)	 (4.39801e-05+0j)	 (4.39801e-05+0j)
 (-28.75+0.1j)	 (3.74553e-05+0j)	 (3.74553e-05+0j)	 (4.49164e-05+0j)	 (4.49164e-05+0j)
 (-28.725+0.1j)	 (3.75201e-05+0j)	 (3.75201e-05+0j)	 (4.58544e-05+0j)	 (4.58544e-05+0j)
 (-28.7+0.1j)	 (3.75852e-05+0j)	 (3.75852e-05+0j)	 (4.67941e-05+0j)	 (4.67941e-05+0j)
 (-28.675+0.1j)	 (3.76504e-05+0j)	 (3.76504e-05+0j)	 (4.77353e-05+0j)	 (4.77353e-05+0j)
 (-28.65+0.1j)	 (3.77158e-05+0j)	 (3.77158e-05+0j)	 (4.86782e-05+0j)	 (4.86782e-05+0j)
 (-28.625+0.1j)	 (3.77814e-05+0j)	 (3.77814e-05+0j)	 (4.96228e-05+0j)	 (4.96228e-05+0j)
 (-28.6+0.1j)	 (3.78471e-05+0j)	 (3.78471e-05+0j)	 (5.05689e-05+0j)	 (5.05689e-05+0j)
 (-28.575+0.1j)	 (3.7913e-05+0j)	 (3.7913e-05+0j)	 (5.15168e-05+0j)	 (5.15168e-05+0j)
 (-28.55+0.1j)	 (3.79791e-05+0j)	 (3.79791e-05+0j)	 (5.24662e-05+0j)	 (5.24662e-05+0j)
 (-28.525+0.1j)	 (3.80454e-05+0j)	 (3.80454e-05+0j)	 (5.34174e-05+0j)	 (5.34174e-05+0j)
 (-28.5+0.1j)	 (3.81118e-05+0j)	 (3.81118e-05+0j)	 (5.43702e-05+0j)	 (5.43702e-05+0j)
