w	up_1	down_1	cumul_up_1	cumul_down_1	
 (-30+0.1j)	 (3.54914e-05+0j)	 (3.54914e-05+0j)	 (0+0j)	 (0+0j)
 (-29.975+0.1j)	 (3.55511e-05+0j)	 (3.55511e-05+0j)	 (8.88778e-07+0j)	 (8.88778e-07+0j)
 (-29.95+0.1j)	 (3.5611e-05+0j)	 (3.5611e-05+0j)	 (1.77905e-06+0j)	 (1.77905e-06+0j)
 (-29.925+0.1j)	 (3.56711e-05+0j)	 (3.56711e-05+0j)	 (2.67083e-06+0j)	 (2.67083e-06+0j)
 (-29.9+0.1j)	 (3.57313e-05+0j)	 (3.57313e-05+0j)	 (3.56411e-06+0j)	 (3.56411e-06+0j)
 (-29.875+0.1j)	 (3.57916e-05+0j)	 (3.57916e-05+0j)	 (4.4589e-06+0j)	 (4.4589e-06+0j)
 (-29.85+0.1j)	 (3.58521e-05+0j)	 (3.58521e-05+0j)	 (5.3552e-06+0j)	 (5.3552e-06+0j)
 (-29.825+0.1j)	 (3.59128e-05+0j)	 (3.59128e-05+0j)	 (6.25302e-06+0j)	 (6.25302e-06+0j)
 (-29.8+0.1j)	 (3.59736e-05+0j)	 (3.59736e-05+0j)	 (7.15236e-06+0j)	 (7.15236e-06+0j)
 (-29.775+0.1j)	 (3.60346e-05+0j)	 (3.60346e-05+0j)	 (8.05323e-06+0j)	 (8.05323e-06+0j)
 (-29.75+0.1j)	 (3.60957e-05+0j)	 (3.60957e-05+0j)	 (8.95562e-06+0j)	 (8.95562e-06+0j)
 (-29.725+0.1j)	 (3.6157e-05+0j)	 (3.6157e-05+0j)	 (9.85955e-06+0j)	 (9.85955e-06+0j)
 (-29.7+0.1j)	 (3.62185e-05+0j)	 (3.62185e-05+0j)	 (1.0765e-05+0j)	 (1.0765e-05+0j)
 (-29.675+0.1j)	 (3.62801e-05+0j)	 (3.62801e-05+0j)	 (1.1672e-05+0j)	 (1.1672e-05+0j)
 (-29.65+0.1j)	 (3.63418e-05+0j)	 (3.63418e-05+0j)	 (1.25806e-05+0j)	 (1.25806e-05+0j)
 (-29.625+0.1j)	 (3.64037e-05+0j)	 (3.64037e-05+0j)	 (1.34906e-05+0j)	 (1.34906e-05+0j)
 (-29.6+0.1j)	 (3.64658e-05+0j)	 (3.64658e-05+0j)	 (1.44023e-05+0j)	 (1.44023e-05+0j)
 (-29.575+0.1j)	 (3.6528e-05+0j)	 (3.6528e-05+0j)	 (1.53155e-05+0j)	 (1.53155e-05+0j)
 (-29.55+0.1j)	 (3.65904e-05+0j)	 (3.65904e-05+0j)	 (1.62303e-05+0j)	 (1.62303e-05+0j)
 (-29.525+0.1j)	 (3.6653e-05+0j)	 (3.6653e-05+0j)	 (1.71466e-05+0j)	 (1.71466e-05+0j)
 (-29.5+0.1j)	 (3.67157e-05+0j)	 (3.67157e-05+0j)	 (1.80645e-05+0j)	 (1.80645e-05+0j)
 (-29.475+0.1j)	 (3.67786e-05+0j)	 (3.67786e-05+0j)	 (1.89839e-05+0j)	 (1.89839e-05+0j)
 (-29.45+0.1j)	 (3.68416e-05+0j)	 (3.68416e-05+0j)	 (1.9905e-05+0j)	 (1.9905e-05+0j)
 (-29.425+0.1j)	 (3.69049e-05+0j)	 (3.69049e-05+0j)	 (2.08276e-05+0j)	 (2.08276e-05+0j)
 (-29.4+0.1j)	 (3.69682e-05+0j)	 (3.69682e-05+0j)	 (2.17518e-05+0j)	 (2.17518e-05+0j)
 (-29.375+0.1j)	 (3.70318e-05+0j)	 (3.70318e-05+0j)	 (2.26776e-05+0j)	 (2.26776e-05+0j)
 (-29.35+0.1j)	 (3.70955e-05+0j)	 (3.70955e-05+0j)	 (2.3605e-05+0j)	 (2.3605e-05+0j)
 (-29.325+0.1j)	 (3.71593e-05+0j)	 (3.71593e-05+0j)	 (2.4534e-05+0j)	 (2.4534e-05+0j)
 (-29.3+0.1j)	 (3.72234e-05+0j)	 (3.72234e-05+0j)	 (2.54646e-05+0j)	 (2.54646e-05+0j)
 (-29.275+0.1j)	 (3.72875e-05+0j)	 (3.72875e-05+0j)	 (2.63967e-05+0j)	 (2.63967e-05+0j)
 (-29.25+0.1j)	 (3.73519e-05+0j)	 (3.73519e-05+0j)	 (2.73305e-05+0j)	 (2.73305e-05+0j)
 (-29.225+0.1j)	 (3.74164e-05+0j)	 (3.74164e-05+0j)	 (2.8266e-05+0j)	 (2.8266e-05+0j)
 (-29.2+0.1j)	 (3.74811e-05+0j)	 (3.74811e-05+0j)	 (2.9203e-05+0j)	 (2.9203e-05+0j)
 (-29.175+0.1j)	 (3.7546e-05+0j)	 (3.7546e-05+0j)	 (3.01416e-05+0j)	 (3.01416e-05+0j)
 (-29.15+0.1j)	 (3.7611e-05+0j)	 (3.7611e-05+0j)	 (3.10819e-05+0j)	 (3.10819e-05+0j)
 (-29.125+0.1j)	 (3.76763e-05+0j)	 (3.76763e-05+0j)	 (3.20238e-05+0j)	 (3.20238e-05+0j)
 (-29.1+0.1j)	 (3.77416e-05+0j)	 (3.77416e-05+0j)	 (3.29674e-05+0j)	 (3.29674e-05+0j)
 (-29.075+0.1j)	 (3.78072e-05+0j)	 (3.78072e-05+0j)	 (3.39125e-05+0j)	 (3.39125e-05+0j)
 (-29.05+0.1j)	 (3.78729e-05+0j)	 (3.78729e-05+0j)	 (3.48594e-05+0j)	 (3.48594e-05+0j)
 (-29.025+0.1j)	 (3.79388e-05+0j)	 (3.79388e-05+0j)	 (3.58078e-05+0j)	 (3.58078e-05+0j)
 (-29+0.1j)	 (3.80049e-05+0j)	 (3.80049e-05+0j)	 (3.67579e-05+0j)	 (3.67579e-05+0j)
