w	up_1	down_1	cumul_up_1	cumul_down_1	
 (-30+0.1j)	 (3.51155e-05+0j)	 (3.51155e-05+0j)	 (0+0j)	 (0+0j)
 (-29.975+0.1j)	 (3.51743e-05+0j)	 (3.51743e-05+0j)	 (8.79357e-07+0j)	 (8.79357e-07+0j)
 (-29.95+0.1j)	 (3.52332e-05+0j)	 (3.52332e-05+0j)	 (1.76019e-06+0j)	 (1.76019e-06+0j)
 (-29.925+0.1j)	 (3.52923e-05+0j)	 (3.52923e-05+0j)	 (2.6425e-06+0j)	 (2.6425e-06+0j)
 (-29.9+0.1j)	 (3.53516e-05+0j)	 (3.53516e-05+0j)	 (3.52629e-06+0j)	 (3.52629e-06+0j)
 (-29.875+0.1j)	 (3.5411e-05+0j)	 (3.5411e-05+0j)	 (4.41156e-06+0j)	 (4.41156e-06+0j)
 (-29.85+0.1j)	 (3.54706e-05+0j)	 (3.54706e-05+0j)	 (5.29833e-06+0j)	 (5.29833e-06+0j)
 (-29.825+0.1j)	 (3.55303e-05+0j)	 (3.55303e-05+0j)	 (6.18658e-06+0j)	 (6.18658e-06+0j)
 (-29.8+0.1j)	 (3.55901e-05+0j)	 (3.55901e-05+0j)	 (7.07634e-06+0j)	 (7.07634e-06+0j)
 (-29.775+0.1j)	 (3.56502e-05+0j)	 (3.56502e-05+0j)	 (7.96759e-06+0j)	 (7.96759e-06+0j)
 (-29.75+0.1j)	 (3.57103e-05+0j)	 (3.57103e-05+0j)	 (8.86035e-06+0j)	 (8.86035e-06+0j)
 (-29.725+0.1j)	 (3.57706e-05+0j)	 (3.57706e-05+0j)	 (9.75461e-06+0j)	 (9.75461e-06+0j)
 (-29.7+0.1j)	 (3.58311e-05+0j)	 (3.58311e-05+0j)	 (1.06504e-05+0j)	 (1.06504e-05+0j)
 (-29.675+0.1j)	 (3.58917e-05+0j)	 (3.58917e-05+0j)	 (1.15477e-05+0j)	 (1.15477e-05+0j)
 (-29.65+0.1j)	 (3.59525e-05+0j)	 (3.59525e-05+0j)	 (1.24465e-05+0j)	 (1.24465e-05+0j)
 (-29.625+0.1j)	 (3.60135e-05+0j)	 (3.60135e-05+0j)	 (1.33468e-05+0j)	 (1.33468e-05+0j)
 (-29.6+0.1j)	 (3.60745e-05+0j)	 (3.60745e-05+0j)	 (1.42487e-05+0j)	 (1.42487e-05+0j)
 (-29.575+0.1j)	 (3.61358e-05+0j)	 (3.61358e-05+0j)	 (1.51521e-05+0j)	 (1.51521e-05+0j)
