w	up_1	down_1	cumul_up_1	cumul_down_1	
 (-30+0.1j)	 (3.53929e-05+0j)	 (3.53929e-05+0j)	 (0+0j)	 (0+0j)
 (-29.975+0.1j)	 (3.54524e-05+0j)	 (3.54524e-05+0j)	 (8.8631e-07+0j)	 (8.8631e-07+0j)
 (-29.95+0.1j)	 (3.55121e-05+0j)	 (3.55121e-05+0j)	 (1.77411e-06+0j)	 (1.77411e-06+0j)
 (-29.925+0.1j)	 (3.55719e-05+0j)	 (3.55719e-05+0j)	 (2.66341e-06+0j)	 (2.66341e-06+0j)
 (-29.9+0.1j)	 (3.56318e-05+0j)	 (3.56318e-05+0j)	 (3.5542e-06+0j)	 (3.5542e-06+0j)
 (-29.875+0.1j)	 (3.56919e-05+0j)	 (3.56919e-05+0j)	 (4.4465e-06+0j)	 (4.4465e-06+0j)
 (-29.85+0.1j)	 (3.57522e-05+0j)	 (3.57522e-05+0j)	 (5.3403e-06+0j)	 (5.3403e-06+0j)
 (-29.825+0.1j)	 (3.58126e-05+0j)	 (3.58126e-05+0j)	 (6.23562e-06+0j)	 (6.23562e-06+0j)
 (-29.8+0.1j)	 (3.58731e-05+0j)	 (3.58731e-05+0j)	 (7.13245e-06+0j)	 (7.13245e-06+0j)
 (-29.775+0.1j)	 (3.59339e-05+0j)	 (3.59339e-05+0j)	 (8.03079e-06+0j)	 (8.03079e-06+0j)
 (-29.75+0.1j)	 (3.59947e-05+0j)	 (3.59947e-05+0j)	 (8.93066e-06+0j)	 (8.93066e-06+0j)
 (-29.725+0.1j)	 (3.60558e-05+0j)	 (3.60558e-05+0j)	 (9.83206e-06+0j)	 (9.83206e-06+0j)
 (-29.7+0.1j)	 (3.6117e-05+0j)	 (3.6117e-05+0j)	 (1.0735e-05+0j)	 (1.0735e-05+0j)
 (-29.675+0.1j)	 (3.61783e-05+0j)	 (3.61783e-05+0j)	 (1.16394e-05+0j)	 (1.16394e-05+0j)
 (-29.65+0.1j)	 (3.62398e-05+0j)	 (3.62398e-05+0j)	 (1.25454e-05+0j)	 (1.25454e-05+0j)
 (-29.625+0.1j)	 (3.63015e-05+0j)	 (3.63015e-05+0j)	 (1.3453e-05+0j)	 (1.3453e-05+0j)
 (-29.6+0.1j)	 (3.63633e-05+0j)	 (3.63633e-05+0j)	 (1.43621e-05+0j)	 (1.43621e-05+0j)
 (-29.575+0.1j)	 (3.64252e-05+0j)	 (3.64252e-05+0j)	 (1.52727e-05+0j)	 (1.52727e-05+0j)
 (-29.55+0.1j)	 (3.64874e-05+0j)	 (3.64874e-05+0j)	 (1.61849e-05+0j)	 (1.61849e-05+0j)
 (-29.525+0.1j)	 (3.65497e-05+0j)	 (3.65497e-05+0j)	 (1.70986e-05+0j)	 (1.70986e-05+0j)
 (-29.5+0.1j)	 (3.66121e-05+0j)	 (3.66121e-05+0j)	 (1.80139e-05+0j)	 (1.80139e-05+0j)
 (-29.475+0.1j)	 (3.66747e-05+0j)	 (3.66747e-05+0j)	 (1.89308e-05+0j)	 (1.89308e-05+0j)
 (-29.45+0.1j)	 (3.67375e-05+0j)	 (3.67375e-05+0j)	 (1.98492e-05+0j)	 (1.98492e-05+0j)
 (-29.425+0.1j)	 (3.68005e-05+0j)	 (3.68005e-05+0j)	 (2.07692e-05+0j)	 (2.07692e-05+0j)
 (-29.4+0.1j)	 (3.68636e-05+0j)	 (3.68636e-05+0j)	 (2.16908e-05+0j)	 (2.16908e-05+0j)
 (-29.375+0.1j)	 (3.69268e-05+0j)	 (3.69268e-05+0j)	 (2.2614e-05+0j)	 (2.2614e-05+0j)
 (-29.35+0.1j)	 (3.69902e-05+0j)	 (3.69902e-05+0j)	 (2.35387e-05+0j)	 (2.35387e-05+0j)
 (-29.325+0.1j)	 (3.70538e-05+0j)	 (3.70538e-05+0j)	 (2.44651e-05+0j)	 (2.44651e-05+0j)
 (-29.3+0.1j)	 (3.71176e-05+0j)	 (3.71176e-05+0j)	 (2.5393e-05+0j)	 (2.5393e-05+0j)
 (-29.275+0.1j)	 (3.71815e-05+0j)	 (3.71815e-05+0j)	 (2.63226e-05+0j)	 (2.63226e-05+0j)
 (-29.25+0.1j)	 (3.72456e-05+0j)	 (3.72456e-05+0j)	 (2.72537e-05+0j)	 (2.72537e-05+0j)
 (-29.225+0.1j)	 (3.73099e-05+0j)	 (3.73099e-05+0j)	 (2.81865e-05+0j)	 (2.81865e-05+0j)
 (-29.2+0.1j)	 (3.73743e-05+0j)	 (3.73743e-05+0j)	 (2.91208e-05+0j)	 (2.91208e-05+0j)
 (-29.175+0.1j)	 (3.74389e-05+0j)	 (3.74389e-05+0j)	 (3.00568e-05+0j)	 (3.00568e-05+0j)
 (-29.15+0.1j)	 (3.75036e-05+0j)	 (3.75036e-05+0j)	 (3.09944e-05+0j)	 (3.09944e-05+0j)
 (-29.125+0.1j)	 (3.75686e-05+0j)	 (3.75686e-05+0j)	 (3.19336e-05+0j)	 (3.19336e-05+0j)
 (-29.1+0.1j)	 (3.76337e-05+0j)	 (3.76337e-05+0j)	 (3.28744e-05+0j)	 (3.28744e-05+0j)
 (-29.075+0.1j)	 (3.76989e-05+0j)	 (3.76989e-05+0j)	 (3.38169e-05+0j)	 (3.38169e-05+0j)
 (-29.05+0.1j)	 (3.77644e-05+0j)	 (3.77644e-05+0j)	 (3.4761e-05+0j)	 (3.4761e-05+0j)
 (-29.025+0.1j)	 (3.783e-05+0j)	 (3.783e-05+0j)	 (3.57068e-05+0j)	 (3.57068e-05+0j)
 (-29+0.1j)	 (3.78958e-05+0j)	 (3.78958e-05+0j)	 (3.66542e-05+0j)	 (3.66542e-05+0j)
 (-28.975+0.1j)	 (3.79617e-05+0j)	 (3.79617e-05+0j)	 (3.76032e-05+0j)	 (3.76032e-05+0j)
 (-28.95+0.1j)	 (3.80278e-05+0j)	 (3.80278e-05+0j)	 (3.85539e-05+0j)	 (3.85539e-05+0j)
 (-28.925+0.1j)	 (3.80941e-05+0j)	 (3.80941e-05+0j)	 (3.95063e-05+0j)	 (3.95063e-05+0j)
 (-28.9+0.1j)	 (3.81606e-05+0j)	 (3.81606e-05+0j)	 (4.04603e-05+0j)	 (4.04603e-05+0j)
 (-28.875+0.1j)	 (3.82273e-05+0j)	 (3.82273e-05+0j)	 (4.14159e-05+0j)	 (4.14159e-05+0j)
 (-28.85+0.1j)	 (3.82941e-05+0j)	 (3.82941e-05+0j)	 (4.23733e-05+0j)	 (4.23733e-05+0j)
 (-28.825+0.1j)	 (3.83611e-05+0j)	 (3.83611e-05+0j)	 (4.33323e-05+0j)	 (4.33323e-05+0j)
 (-28.8+0.1j)	 (3.84283e-05+0j)	 (3.84283e-05+0j)	 (4.4293e-05+0j)	 (4.4293e-05+0j)
 (-28.775+0.1j)	 (3.84956e-05+0j)	 (3.84956e-05+0j)	 (4.52554e-05+0j)	 (4.52554e-05+0j)
 (-28.75+0.1j)	 (3.85632e-05+0j)	 (3.85632e-05+0j)	 (4.62195e-05+0j)	 (4.62195e-05+0j)
 (-28.725+0.1j)	 (3.86309e-05+0j)	 (3.86309e-05+0j)	 (4.71853e-05+0j)	 (4.71853e-05+0j)
 (-28.7+0.1j)	 (3.86988e-05+0j)	 (3.86988e-05+0j)	 (4.81527e-05+0j)	 (4.81527e-05+0j)
 (-28.675+0.1j)	 (3.87668e-05+0j)	 (3.87668e-05+0j)	 (4.91219e-05+0j)	 (4.91219e-05+0j)
 (-28.65+0.1j)	 (3.88351e-05+0j)	 (3.88351e-05+0j)	 (5.00928e-05+0j)	 (5.00928e-05+0j)
 (-28.625+0.1j)	 (3.89035e-05+0j)	 (3.89035e-05+0j)	 (5.10654e-05+0j)	 (5.10654e-05+0j)
 (-28.6+0.1j)	 (3.89722e-05+0j)	 (3.89722e-05+0j)	 (5.20397e-05+0j)	 (5.20397e-05+0j)
 (-28.575+0.1j)	 (3.9041e-05+0j)	 (3.9041e-05+0j)	 (5.30157e-05+0j)	 (5.30157e-05+0j)
 (-28.55+0.1j)	 (3.91099e-05+0j)	 (3.91099e-05+0j)	 (5.39935e-05+0j)	 (5.39935e-05+0j)
 (-28.525+0.1j)	 (3.91791e-05+0j)	 (3.91791e-05+0j)	 (5.49729e-05+0j)	 (5.49729e-05+0j)
 (-28.5+0.1j)	 (3.92484e-05+0j)	 (3.92484e-05+0j)	 (5.59541e-05+0j)	 (5.59541e-05+0j)
 (-28.475+0.1j)	 (3.9318e-05+0j)	 (3.9318e-05+0j)	 (5.69371e-05+0j)	 (5.69371e-05+0j)
 (-28.45+0.1j)	 (3.93877e-05+0j)	 (3.93877e-05+0j)	 (5.79218e-05+0j)	 (5.79218e-05+0j)
 (-28.425+0.1j)	 (3.94576e-05+0j)	 (3.94576e-05+0j)	 (5.89082e-05+0j)	 (5.89082e-05+0j)
 (-28.4+0.1j)	 (3.95277e-05+0j)	 (3.95277e-05+0j)	 (5.98964e-05+0j)	 (5.98964e-05+0j)
 (-28.375+0.1j)	 (3.9598e-05+0j)	 (3.9598e-05+0j)	 (6.08864e-05+0j)	 (6.08864e-05+0j)
 (-28.35+0.1j)	 (3.96685e-05+0j)	 (3.96685e-05+0j)	 (6.18781e-05+0j)	 (6.18781e-05+0j)
 (-28.325+0.1j)	 (3.97391e-05+0j)	 (3.97391e-05+0j)	 (6.28716e-05+0j)	 (6.28716e-05+0j)
 (-28.3+0.1j)	 (3.981e-05+0j)	 (3.981e-05+0j)	 (6.38668e-05+0j)	 (6.38668e-05+0j)
 (-28.275+0.1j)	 (3.9881e-05+0j)	 (3.9881e-05+0j)	 (6.48638e-05+0j)	 (6.48638e-05+0j)
 (-28.25+0.1j)	 (3.99523e-05+0j)	 (3.99523e-05+0j)	 (6.58626e-05+0j)	 (6.58626e-05+0j)
 (-28.225+0.1j)	 (4.00237e-05+0j)	 (4.00237e-05+0j)	 (6.68632e-05+0j)	 (6.68632e-05+0j)
 (-28.2+0.1j)	 (4.00953e-05+0j)	 (4.00953e-05+0j)	 (6.78656e-05+0j)	 (6.78656e-05+0j)
 (-28.175+0.1j)	 (4.01671e-05+0j)	 (4.01671e-05+0j)	 (6.88698e-05+0j)	 (6.88698e-05+0j)
 (-28.15+0.1j)	 (4.02391e-05+0j)	 (4.02391e-05+0j)	 (6.98758e-05+0j)	 (6.98758e-05+0j)
 (-28.125+0.1j)	 (4.03113e-05+0j)	 (4.03113e-05+0j)	 (7.08836e-05+0j)	 (7.08836e-05+0j)
