w	up_1	down_1	cumul_up_1	cumul_down_1	
 (-30+0.1j)	 (3.12795e-05+0j)	 (3.12795e-05+0j)	 (0+0j)	 (0+0j)
 (-29.975+0.1j)	 (3.13297e-05+0j)	 (3.13297e-05+0j)	 (7.83242e-07+0j)	 (7.83242e-07+0j)
 (-29.95+0.1j)	 (3.13799e-05+0j)	 (3.13799e-05+0j)	 (1.56774e-06+0j)	 (1.56774e-06+0j)
 (-29.925+0.1j)	 (3.14303e-05+0j)	 (3.14303e-05+0j)	 (2.3535e-06+0j)	 (2.3535e-06+0j)
 (-29.9+0.1j)	 (3.14808e-05+0j)	 (3.14808e-05+0j)	 (3.14052e-06+0j)	 (3.14052e-06+0j)
 (-29.875+0.1j)	 (3.15314e-05+0j)	 (3.15314e-05+0j)	 (3.9288e-06+0j)	 (3.9288e-06+0j)
 (-29.85+0.1j)	 (3.15822e-05+0j)	 (3.15822e-05+0j)	 (4.71836e-06+0j)	 (4.71836e-06+0j)
 (-29.825+0.1j)	 (3.1633e-05+0j)	 (3.1633e-05+0j)	 (5.50918e-06+0j)	 (5.50918e-06+0j)
 (-29.8+0.1j)	 (3.1684e-05+0j)	 (3.1684e-05+0j)	 (6.30128e-06+0j)	 (6.30128e-06+0j)
 (-29.775+0.1j)	 (3.17351e-05+0j)	 (3.17351e-05+0j)	 (7.09466e-06+0j)	 (7.09466e-06+0j)
 (-29.75+0.1j)	 (3.17864e-05+0j)	 (3.17864e-05+0j)	 (7.88932e-06+0j)	 (7.88932e-06+0j)
 (-29.725+0.1j)	 (3.18377e-05+0j)	 (3.18377e-05+0j)	 (8.68526e-06+0j)	 (8.68526e-06+0j)
 (-29.7+0.1j)	 (3.18892e-05+0j)	 (3.18892e-05+0j)	 (9.4825e-06+0j)	 (9.4825e-06+0j)
 (-29.675+0.1j)	 (3.19409e-05+0j)	 (3.19409e-05+0j)	 (1.0281e-05+0j)	 (1.0281e-05+0j)
 (-29.65+0.1j)	 (3.19926e-05+0j)	 (3.19926e-05+0j)	 (1.10808e-05+0j)	 (1.10808e-05+0j)
 (-29.625+0.1j)	 (3.20445e-05+0j)	 (3.20445e-05+0j)	 (1.18819e-05+0j)	 (1.18819e-05+0j)
 (-29.6+0.1j)	 (3.20965e-05+0j)	 (3.20965e-05+0j)	 (1.26844e-05+0j)	 (1.26844e-05+0j)
 (-29.575+0.1j)	 (3.21486e-05+0j)	 (3.21486e-05+0j)	 (1.34881e-05+0j)	 (1.34881e-05+0j)
 (-29.55+0.1j)	 (3.22009e-05+0j)	 (3.22009e-05+0j)	 (1.42931e-05+0j)	 (1.42931e-05+0j)
 (-29.525+0.1j)	 (3.22533e-05+0j)	 (3.22533e-05+0j)	 (1.50994e-05+0j)	 (1.50994e-05+0j)
 (-29.5+0.1j)	 (3.23058e-05+0j)	 (3.23058e-05+0j)	 (1.59071e-05+0j)	 (1.59071e-05+0j)
 (-29.475+0.1j)	 (3.23584e-05+0j)	 (3.23584e-05+0j)	 (1.6716e-05+0j)	 (1.6716e-05+0j)
 (-29.45+0.1j)	 (3.24112e-05+0j)	 (3.24112e-05+0j)	 (1.75263e-05+0j)	 (1.75263e-05+0j)
 (-29.425+0.1j)	 (3.24641e-05+0j)	 (3.24641e-05+0j)	 (1.83379e-05+0j)	 (1.83379e-05+0j)
 (-29.4+0.1j)	 (3.25172e-05+0j)	 (3.25172e-05+0j)	 (1.91508e-05+0j)	 (1.91508e-05+0j)
 (-29.375+0.1j)	 (3.25703e-05+0j)	 (3.25703e-05+0j)	 (1.99651e-05+0j)	 (1.99651e-05+0j)
 (-29.35+0.1j)	 (3.26236e-05+0j)	 (3.26236e-05+0j)	 (2.07807e-05+0j)	 (2.07807e-05+0j)
 (-29.325+0.1j)	 (3.26771e-05+0j)	 (3.26771e-05+0j)	 (2.15976e-05+0j)	 (2.15976e-05+0j)
 (-29.3+0.1j)	 (3.27307e-05+0j)	 (3.27307e-05+0j)	 (2.24159e-05+0j)	 (2.24159e-05+0j)
 (-29.275+0.1j)	 (3.27844e-05+0j)	 (3.27844e-05+0j)	 (2.32355e-05+0j)	 (2.32355e-05+0j)
 (-29.25+0.1j)	 (3.28382e-05+0j)	 (3.28382e-05+0j)	 (2.40564e-05+0j)	 (2.40564e-05+0j)
 (-29.225+0.1j)	 (3.28922e-05+0j)	 (3.28922e-05+0j)	 (2.48788e-05+0j)	 (2.48788e-05+0j)
 (-29.2+0.1j)	 (3.29463e-05+0j)	 (3.29463e-05+0j)	 (2.57024e-05+0j)	 (2.57024e-05+0j)
 (-29.175+0.1j)	 (3.30005e-05+0j)	 (3.30005e-05+0j)	 (2.65274e-05+0j)	 (2.65274e-05+0j)
 (-29.15+0.1j)	 (3.30549e-05+0j)	 (3.30549e-05+0j)	 (2.73538e-05+0j)	 (2.73538e-05+0j)
 (-29.125+0.1j)	 (3.31094e-05+0j)	 (3.31094e-05+0j)	 (2.81815e-05+0j)	 (2.81815e-05+0j)
 (-29.1+0.1j)	 (3.31641e-05+0j)	 (3.31641e-05+0j)	 (2.90106e-05+0j)	 (2.90106e-05+0j)
 (-29.075+0.1j)	 (3.32189e-05+0j)	 (3.32189e-05+0j)	 (2.98411e-05+0j)	 (2.98411e-05+0j)
 (-29.05+0.1j)	 (3.32738e-05+0j)	 (3.32738e-05+0j)	 (3.06729e-05+0j)	 (3.06729e-05+0j)
 (-29.025+0.1j)	 (3.33288e-05+0j)	 (3.33288e-05+0j)	 (3.15062e-05+0j)	 (3.15062e-05+0j)
 (-29+0.1j)	 (3.3384e-05+0j)	 (3.3384e-05+0j)	 (3.23408e-05+0j)	 (3.23408e-05+0j)
 (-28.975+0.1j)	 (3.34394e-05+0j)	 (3.34394e-05+0j)	 (3.31768e-05+0j)	 (3.31768e-05+0j)
 (-28.95+0.1j)	 (3.34949e-05+0j)	 (3.34949e-05+0j)	 (3.40141e-05+0j)	 (3.40141e-05+0j)
 (-28.925+0.1j)	 (3.35505e-05+0j)	 (3.35505e-05+0j)	 (3.48529e-05+0j)	 (3.48529e-05+0j)
 (-28.9+0.1j)	 (3.36063e-05+0j)	 (3.36063e-05+0j)	 (3.5693e-05+0j)	 (3.5693e-05+0j)
 (-28.875+0.1j)	 (3.36622e-05+0j)	 (3.36622e-05+0j)	 (3.65346e-05+0j)	 (3.65346e-05+0j)
 (-28.85+0.1j)	 (3.37182e-05+0j)	 (3.37182e-05+0j)	 (3.73776e-05+0j)	 (3.73776e-05+0j)
 (-28.825+0.1j)	 (3.37744e-05+0j)	 (3.37744e-05+0j)	 (3.82219e-05+0j)	 (3.82219e-05+0j)
 (-28.8+0.1j)	 (3.38307e-05+0j)	 (3.38307e-05+0j)	 (3.90677e-05+0j)	 (3.90677e-05+0j)
 (-28.775+0.1j)	 (3.38872e-05+0j)	 (3.38872e-05+0j)	 (3.99149e-05+0j)	 (3.99149e-05+0j)
 (-28.75+0.1j)	 (3.39438e-05+0j)	 (3.39438e-05+0j)	 (4.07635e-05+0j)	 (4.07635e-05+0j)
 (-28.725+0.1j)	 (3.40006e-05+0j)	 (3.40006e-05+0j)	 (4.16135e-05+0j)	 (4.16135e-05+0j)
 (-28.7+0.1j)	 (3.40575e-05+0j)	 (3.40575e-05+0j)	 (4.24649e-05+0j)	 (4.24649e-05+0j)
 (-28.675+0.1j)	 (3.41145e-05+0j)	 (3.41145e-05+0j)	 (4.33178e-05+0j)	 (4.33178e-05+0j)
 (-28.65+0.1j)	 (3.41717e-05+0j)	 (3.41717e-05+0j)	 (4.41721e-05+0j)	 (4.41721e-05+0j)
 (-28.625+0.1j)	 (3.4229e-05+0j)	 (3.4229e-05+0j)	 (4.50278e-05+0j)	 (4.50278e-05+0j)
 (-28.6+0.1j)	 (3.42865e-05+0j)	 (3.42865e-05+0j)	 (4.5885e-05+0j)	 (4.5885e-05+0j)
 (-28.575+0.1j)	 (3.43442e-05+0j)	 (3.43442e-05+0j)	 (4.67436e-05+0j)	 (4.67436e-05+0j)
 (-28.55+0.1j)	 (3.44019e-05+0j)	 (3.44019e-05+0j)	 (4.76036e-05+0j)	 (4.76036e-05+0j)
 (-28.525+0.1j)	 (3.44599e-05+0j)	 (3.44599e-05+0j)	 (4.84651e-05+0j)	 (4.84651e-05+0j)
 (-28.5+0.1j)	 (3.4518e-05+0j)	 (3.4518e-05+0j)	 (4.93281e-05+0j)	 (4.93281e-05+0j)
 (-28.475+0.1j)	 (3.45762e-05+0j)	 (3.45762e-05+0j)	 (5.01925e-05+0j)	 (5.01925e-05+0j)
 (-28.45+0.1j)	 (3.46346e-05+0j)	 (3.46346e-05+0j)	 (5.10583e-05+0j)	 (5.10583e-05+0j)
 (-28.425+0.1j)	 (3.46931e-05+0j)	 (3.46931e-05+0j)	 (5.19256e-05+0j)	 (5.19256e-05+0j)
 (-28.4+0.1j)	 (3.47518e-05+0j)	 (3.47518e-05+0j)	 (5.27944e-05+0j)	 (5.27944e-05+0j)
 (-28.375+0.1j)	 (3.48106e-05+0j)	 (3.48106e-05+0j)	 (5.36647e-05+0j)	 (5.36647e-05+0j)
 (-28.35+0.1j)	 (3.48696e-05+0j)	 (3.48696e-05+0j)	 (5.45364e-05+0j)	 (5.45364e-05+0j)
