w	up_1	down_1	cumul_up_1	cumul_down_1	
 (-25+0.05j)	 (2.50565e-05+0j)	 (2.50565e-05+0j)	 (0+0j)	 (0+0j)
 (-24.9875+0.05j)	 (2.50817e-05+0j)	 (2.50817e-05+0j)	 (3.13521e-07+0j)	 (3.13521e-07+0j)
 (-24.975+0.05j)	 (2.51069e-05+0j)	 (2.51069e-05+0j)	 (6.27358e-07+0j)	 (6.27358e-07+0j)
 (-24.9625+0.05j)	 (2.51322e-05+0j)	 (2.51322e-05+0j)	 (9.41511e-07+0j)	 (9.41511e-07+0j)
 (-24.95+0.05j)	 (2.51575e-05+0j)	 (2.51575e-05+0j)	 (1.25598e-06+0j)	 (1.25598e-06+0j)
 (-24.9375+0.05j)	 (2.51828e-05+0j)	 (2.51828e-05+0j)	 (1.57076e-06+0j)	 (1.57076e-06+0j)
 (-24.925+0.05j)	 (2.52082e-05+0j)	 (2.52082e-05+0j)	 (1.88587e-06+0j)	 (1.88587e-06+0j)
 (-24.9125+0.05j)	 (2.52336e-05+0j)	 (2.52336e-05+0j)	 (2.20129e-06+0j)	 (2.20129e-06+0j)
 (-24.9+0.05j)	 (2.52591e-05+0j)	 (2.52591e-05+0j)	 (2.51703e-06+0j)	 (2.51703e-06+0j)
 (-24.8875+0.05j)	 (2.52846e-05+0j)	 (2.52846e-05+0j)	 (2.83308e-06+0j)	 (2.83308e-06+0j)
 (-24.875+0.05j)	 (2.53101e-05+0j)	 (2.53101e-05+0j)	 (3.14946e-06+0j)	 (3.14946e-06+0j)
 (-24.8625+0.05j)	 (2.53357e-05+0j)	 (2.53357e-05+0j)	 (3.46616e-06+0j)	 (3.46616e-06+0j)
 (-24.85+0.05j)	 (2.53613e-05+0j)	 (2.53613e-05+0j)	 (3.78317e-06+0j)	 (3.78317e-06+0j)
 (-24.8375+0.05j)	 (2.53869e-05+0j)	 (2.53869e-05+0j)	 (4.10051e-06+0j)	 (4.10051e-06+0j)
 (-24.825+0.05j)	 (2.54126e-05+0j)	 (2.54126e-05+0j)	 (4.41817e-06+0j)	 (4.41817e-06+0j)
 (-24.8125+0.05j)	 (2.54383e-05+0j)	 (2.54383e-05+0j)	 (4.73615e-06+0j)	 (4.73615e-06+0j)
 (-24.8+0.05j)	 (2.54641e-05+0j)	 (2.54641e-05+0j)	 (5.05445e-06+0j)	 (5.05445e-06+0j)
 (-24.7875+0.05j)	 (2.54899e-05+0j)	 (2.54899e-05+0j)	 (5.37307e-06+0j)	 (5.37307e-06+0j)
 (-24.775+0.05j)	 (2.55158e-05+0j)	 (2.55158e-05+0j)	 (5.69202e-06+0j)	 (5.69202e-06+0j)
 (-24.7625+0.05j)	 (2.55416e-05+0j)	 (2.55416e-05+0j)	 (6.01129e-06+0j)	 (6.01129e-06+0j)
 (-24.75+0.05j)	 (2.55676e-05+0j)	 (2.55676e-05+0j)	 (6.33088e-06+0j)	 (6.33088e-06+0j)
 (-24.7375+0.05j)	 (2.55935e-05+0j)	 (2.55935e-05+0j)	 (6.6508e-06+0j)	 (6.6508e-06+0j)
 (-24.725+0.05j)	 (2.56195e-05+0j)	 (2.56195e-05+0j)	 (6.97105e-06+0j)	 (6.97105e-06+0j)
 (-24.7125+0.05j)	 (2.56456e-05+0j)	 (2.56456e-05+0j)	 (7.29162e-06+0j)	 (7.29162e-06+0j)
 (-24.7+0.05j)	 (2.56717e-05+0j)	 (2.56717e-05+0j)	 (7.61251e-06+0j)	 (7.61251e-06+0j)
 (-24.6875+0.05j)	 (2.56978e-05+0j)	 (2.56978e-05+0j)	 (7.93373e-06+0j)	 (7.93373e-06+0j)
 (-24.675+0.05j)	 (2.5724e-05+0j)	 (2.5724e-05+0j)	 (8.25528e-06+0j)	 (8.25528e-06+0j)
 (-24.6625+0.05j)	 (2.57502e-05+0j)	 (2.57502e-05+0j)	 (8.57716e-06+0j)	 (8.57716e-06+0j)
 (-24.65+0.05j)	 (2.57764e-05+0j)	 (2.57764e-05+0j)	 (8.89937e-06+0j)	 (8.89937e-06+0j)
 (-24.6375+0.05j)	 (2.58027e-05+0j)	 (2.58027e-05+0j)	 (9.2219e-06+0j)	 (9.2219e-06+0j)
 (-24.625+0.05j)	 (2.5829e-05+0j)	 (2.5829e-05+0j)	 (9.54476e-06+0j)	 (9.54476e-06+0j)
 (-24.6125+0.05j)	 (2.58554e-05+0j)	 (2.58554e-05+0j)	 (9.86795e-06+0j)	 (9.86795e-06+0j)
 (-24.6+0.05j)	 (2.58818e-05+0j)	 (2.58818e-05+0j)	 (1.01915e-05+0j)	 (1.01915e-05+0j)
 (-24.5875+0.05j)	 (2.59082e-05+0j)	 (2.59082e-05+0j)	 (1.05153e-05+0j)	 (1.05153e-05+0j)
 (-24.575+0.05j)	 (2.59347e-05+0j)	 (2.59347e-05+0j)	 (1.08395e-05+0j)	 (1.08395e-05+0j)
 (-24.5625+0.05j)	 (2.59613e-05+0j)	 (2.59613e-05+0j)	 (1.1164e-05+0j)	 (1.1164e-05+0j)
 (-24.55+0.05j)	 (2.59878e-05+0j)	 (2.59878e-05+0j)	 (1.14889e-05+0j)	 (1.14889e-05+0j)
 (-24.5375+0.05j)	 (2.60145e-05+0j)	 (2.60145e-05+0j)	 (1.18141e-05+0j)	 (1.18141e-05+0j)
 (-24.525+0.05j)	 (2.60411e-05+0j)	 (2.60411e-05+0j)	 (1.21396e-05+0j)	 (1.21396e-05+0j)
 (-24.5125+0.05j)	 (2.60678e-05+0j)	 (2.60678e-05+0j)	 (1.24654e-05+0j)	 (1.24654e-05+0j)
 (-24.5+0.05j)	 (2.60945e-05+0j)	 (2.60945e-05+0j)	 (1.27916e-05+0j)	 (1.27916e-05+0j)
 (-24.4875+0.05j)	 (2.61213e-05+0j)	 (2.61213e-05+0j)	 (1.31181e-05+0j)	 (1.31181e-05+0j)
 (-24.475+0.05j)	 (2.61481e-05+0j)	 (2.61481e-05+0j)	 (1.3445e-05+0j)	 (1.3445e-05+0j)
 (-24.4625+0.05j)	 (2.6175e-05+0j)	 (2.6175e-05+0j)	 (1.37722e-05+0j)	 (1.37722e-05+0j)
 (-24.45+0.05j)	 (2.62019e-05+0j)	 (2.62019e-05+0j)	 (1.40997e-05+0j)	 (1.40997e-05+0j)
 (-24.4375+0.05j)	 (2.62289e-05+0j)	 (2.62289e-05+0j)	 (1.44275e-05+0j)	 (1.44275e-05+0j)
 (-24.425+0.05j)	 (2.62558e-05+0j)	 (2.62558e-05+0j)	 (1.47557e-05+0j)	 (1.47557e-05+0j)
 (-24.4125+0.05j)	 (2.62829e-05+0j)	 (2.62829e-05+0j)	 (1.50843e-05+0j)	 (1.50843e-05+0j)
 (-24.4+0.05j)	 (2.63099e-05+0j)	 (2.63099e-05+0j)	 (1.54132e-05+0j)	 (1.54132e-05+0j)
 (-24.3875+0.05j)	 (2.63371e-05+0j)	 (2.63371e-05+0j)	 (1.57424e-05+0j)	 (1.57424e-05+0j)
