w	up_1	down_1	cumul_up_1	cumul_down_1	
 (-30+0.1j)	 (3.40503e-05+0j)	 (3.40503e-05+0j)	 (0+0j)	 (0+0j)
 (-29.975+0.1j)	 (3.41065e-05+0j)	 (3.41065e-05+0j)	 (8.52662e-07+0j)	 (8.52662e-07+0j)
 (-29.95+0.1j)	 (3.41628e-05+0j)	 (3.41628e-05+0j)	 (1.70673e-06+0j)	 (1.70673e-06+0j)
 (-29.925+0.1j)	 (3.42193e-05+0j)	 (3.42193e-05+0j)	 (2.56221e-06+0j)	 (2.56221e-06+0j)
 (-29.9+0.1j)	 (3.42759e-05+0j)	 (3.42759e-05+0j)	 (3.41911e-06+0j)	 (3.41911e-06+0j)
 (-29.875+0.1j)	 (3.43327e-05+0j)	 (3.43327e-05+0j)	 (4.27743e-06+0j)	 (4.27743e-06+0j)
 (-29.85+0.1j)	 (3.43896e-05+0j)	 (3.43896e-05+0j)	 (5.13717e-06+0j)	 (5.13717e-06+0j)
 (-29.825+0.1j)	 (3.44467e-05+0j)	 (3.44467e-05+0j)	 (5.99834e-06+0j)	 (5.99834e-06+0j)
 (-29.8+0.1j)	 (3.45039e-05+0j)	 (3.45039e-05+0j)	 (6.86093e-06+0j)	 (6.86093e-06+0j)
 (-29.775+0.1j)	 (3.45612e-05+0j)	 (3.45612e-05+0j)	 (7.72496e-06+0j)	 (7.72496e-06+0j)
 (-29.75+0.1j)	 (3.46187e-05+0j)	 (3.46187e-05+0j)	 (8.59043e-06+0j)	 (8.59043e-06+0j)
 (-29.725+0.1j)	 (3.46763e-05+0j)	 (3.46763e-05+0j)	 (9.45734e-06+0j)	 (9.45734e-06+0j)
 (-29.7+0.1j)	 (3.47341e-05+0j)	 (3.47341e-05+0j)	 (1.03257e-05+0j)	 (1.03257e-05+0j)
 (-29.675+0.1j)	 (3.4792e-05+0j)	 (3.4792e-05+0j)	 (1.11955e-05+0j)	 (1.11955e-05+0j)
 (-29.65+0.1j)	 (3.48501e-05+0j)	 (3.48501e-05+0j)	 (1.20667e-05+0j)	 (1.20667e-05+0j)
 (-29.625+0.1j)	 (3.49083e-05+0j)	 (3.49083e-05+0j)	 (1.29395e-05+0j)	 (1.29395e-05+0j)
 (-29.6+0.1j)	 (3.49667e-05+0j)	 (3.49667e-05+0j)	 (1.38136e-05+0j)	 (1.38136e-05+0j)
