w	up_1	down_1	cumul_up_1	cumul_down_1	
 (-25+0.05j)	 (2.55435e-05+0j)	 (2.55435e-05+0j)	 (0+0j)	 (0+0j)
 (-24.9875+0.05j)	 (2.55694e-05+0j)	 (2.55694e-05+0j)	 (3.19618e-07+0j)	 (3.19618e-07+0j)
 (-24.975+0.05j)	 (2.55954e-05+0j)	 (2.55954e-05+0j)	 (6.3956e-07+0j)	 (6.3956e-07+0j)
 (-24.9625+0.05j)	 (2.56214e-05+0j)	 (2.56214e-05+0j)	 (9.59827e-07+0j)	 (9.59827e-07+0j)
 (-24.95+0.05j)	 (2.56474e-05+0j)	 (2.56474e-05+0j)	 (1.28042e-06+0j)	 (1.28042e-06+0j)
 (-24.9375+0.05j)	 (2.56735e-05+0j)	 (2.56735e-05+0j)	 (1.60134e-06+0j)	 (1.60134e-06+0j)
 (-24.925+0.05j)	 (2.56996e-05+0j)	 (2.56996e-05+0j)	 (1.92258e-06+0j)	 (1.92258e-06+0j)
 (-24.9125+0.05j)	 (2.57257e-05+0j)	 (2.57257e-05+0j)	 (2.24415e-06+0j)	 (2.24415e-06+0j)
 (-24.9+0.05j)	 (2.57519e-05+0j)	 (2.57519e-05+0j)	 (2.56605e-06+0j)	 (2.56605e-06+0j)
 (-24.8875+0.05j)	 (2.57782e-05+0j)	 (2.57782e-05+0j)	 (2.88828e-06+0j)	 (2.88828e-06+0j)
 (-24.875+0.05j)	 (2.58045e-05+0j)	 (2.58045e-05+0j)	 (3.21084e-06+0j)	 (3.21084e-06+0j)
 (-24.8625+0.05j)	 (2.58308e-05+0j)	 (2.58308e-05+0j)	 (3.53372e-06+0j)	 (3.53372e-06+0j)
 (-24.85+0.05j)	 (2.58571e-05+0j)	 (2.58571e-05+0j)	 (3.85694e-06+0j)	 (3.85694e-06+0j)
 (-24.8375+0.05j)	 (2.58835e-05+0j)	 (2.58835e-05+0j)	 (4.18048e-06+0j)	 (4.18048e-06+0j)
 (-24.825+0.05j)	 (2.591e-05+0j)	 (2.591e-05+0j)	 (4.50435e-06+0j)	 (4.50435e-06+0j)
 (-24.8125+0.05j)	 (2.59364e-05+0j)	 (2.59364e-05+0j)	 (4.82856e-06+0j)	 (4.82856e-06+0j)
 (-24.8+0.05j)	 (2.5963e-05+0j)	 (2.5963e-05+0j)	 (5.1531e-06+0j)	 (5.1531e-06+0j)
 (-24.7875+0.05j)	 (2.59895e-05+0j)	 (2.59895e-05+0j)	 (5.47797e-06+0j)	 (5.47797e-06+0j)
 (-24.775+0.05j)	 (2.60161e-05+0j)	 (2.60161e-05+0j)	 (5.80317e-06+0j)	 (5.80317e-06+0j)
 (-24.7625+0.05j)	 (2.60428e-05+0j)	 (2.60428e-05+0j)	 (6.1287e-06+0j)	 (6.1287e-06+0j)
 (-24.75+0.05j)	 (2.60695e-05+0j)	 (2.60695e-05+0j)	 (6.45457e-06+0j)	 (6.45457e-06+0j)
 (-24.7375+0.05j)	 (2.60962e-05+0j)	 (2.60962e-05+0j)	 (6.78077e-06+0j)	 (6.78077e-06+0j)
 (-24.725+0.05j)	 (2.61229e-05+0j)	 (2.61229e-05+0j)	 (7.10731e-06+0j)	 (7.10731e-06+0j)
 (-24.7125+0.05j)	 (2.61498e-05+0j)	 (2.61498e-05+0j)	 (7.43418e-06+0j)	 (7.43418e-06+0j)
 (-24.7+0.05j)	 (2.61766e-05+0j)	 (2.61766e-05+0j)	 (7.76139e-06+0j)	 (7.76139e-06+0j)
 (-24.6875+0.05j)	 (2.62035e-05+0j)	 (2.62035e-05+0j)	 (8.08893e-06+0j)	 (8.08893e-06+0j)
 (-24.675+0.05j)	 (2.62304e-05+0j)	 (2.62304e-05+0j)	 (8.41681e-06+0j)	 (8.41681e-06+0j)
 (-24.6625+0.05j)	 (2.62574e-05+0j)	 (2.62574e-05+0j)	 (8.74503e-06+0j)	 (8.74503e-06+0j)
