w	up_1	down_1	cumul_up_1	cumul_down_1	
 (-30+0.12j)	 (4.24713e-05+0j)	 (4.24713e-05+0j)	 (0+0j)	 (0+0j)
 (-29.97+0.12j)	 (4.2557e-05+0j)	 (4.2557e-05+0j)	 (1.27671e-06+0j)	 (1.27671e-06+0j)
 (-29.94+0.12j)	 (4.26429e-05+0j)	 (4.26429e-05+0j)	 (2.556e-06+0j)	 (2.556e-06+0j)
 (-29.91+0.12j)	 (4.27292e-05+0j)	 (4.27292e-05+0j)	 (3.83787e-06+0j)	 (3.83787e-06+0j)
 (-29.88+0.12j)	 (4.28156e-05+0j)	 (4.28156e-05+0j)	 (5.12234e-06+0j)	 (5.12234e-06+0j)
 (-29.85+0.12j)	 (4.29024e-05+0j)	 (4.29024e-05+0j)	 (6.40941e-06+0j)	 (6.40941e-06+0j)
 (-29.82+0.12j)	 (4.29894e-05+0j)	 (4.29894e-05+0j)	 (7.69909e-06+0j)	 (7.69909e-06+0j)
 (-29.79+0.12j)	 (4.30767e-05+0j)	 (4.30767e-05+0j)	 (8.99139e-06+0j)	 (8.99139e-06+0j)
 (-29.76+0.12j)	 (4.31642e-05+0j)	 (4.31642e-05+0j)	 (1.02863e-05+0j)	 (1.02863e-05+0j)
 (-29.73+0.12j)	 (4.3252e-05+0j)	 (4.3252e-05+0j)	 (1.15839e-05+0j)	 (1.15839e-05+0j)
 (-29.7+0.12j)	 (4.33401e-05+0j)	 (4.33401e-05+0j)	 (1.28841e-05+0j)	 (1.28841e-05+0j)
 (-29.67+0.12j)	 (4.34285e-05+0j)	 (4.34285e-05+0j)	 (1.41869e-05+0j)	 (1.41869e-05+0j)
 (-29.64+0.12j)	 (4.35171e-05+0j)	 (4.35171e-05+0j)	 (1.54925e-05+0j)	 (1.54925e-05+0j)
 (-29.61+0.12j)	 (4.3606e-05+0j)	 (4.3606e-05+0j)	 (1.68006e-05+0j)	 (1.68006e-05+0j)
 (-29.58+0.12j)	 (4.36952e-05+0j)	 (4.36952e-05+0j)	 (1.81115e-05+0j)	 (1.81115e-05+0j)
 (-29.55+0.12j)	 (4.37846e-05+0j)	 (4.37846e-05+0j)	 (1.9425e-05+0j)	 (1.9425e-05+0j)
 (-29.52+0.12j)	 (4.38744e-05+0j)	 (4.38744e-05+0j)	 (2.07413e-05+0j)	 (2.07413e-05+0j)
 (-29.49+0.12j)	 (4.39644e-05+0j)	 (4.39644e-05+0j)	 (2.20602e-05+0j)	 (2.20602e-05+0j)
 (-29.46+0.12j)	 (4.40546e-05+0j)	 (4.40546e-05+0j)	 (2.33818e-05+0j)	 (2.33818e-05+0j)
 (-29.43+0.12j)	 (4.41452e-05+0j)	 (4.41452e-05+0j)	 (2.47062e-05+0j)	 (2.47062e-05+0j)
 (-29.4+0.12j)	 (4.4236e-05+0j)	 (4.4236e-05+0j)	 (2.60333e-05+0j)	 (2.60333e-05+0j)
 (-29.37+0.12j)	 (4.43272e-05+0j)	 (4.43272e-05+0j)	 (2.73631e-05+0j)	 (2.73631e-05+0j)
 (-29.34+0.12j)	 (4.44186e-05+0j)	 (4.44186e-05+0j)	 (2.86956e-05+0j)	 (2.86956e-05+0j)
 (-29.31+0.12j)	 (4.45103e-05+0j)	 (4.45103e-05+0j)	 (3.00309e-05+0j)	 (3.00309e-05+0j)
 (-29.28+0.12j)	 (4.46022e-05+0j)	 (4.46022e-05+0j)	 (3.1369e-05+0j)	 (3.1369e-05+0j)
 (-29.25+0.12j)	 (4.46945e-05+0j)	 (4.46945e-05+0j)	 (3.27098e-05+0j)	 (3.27098e-05+0j)
 (-29.22+0.12j)	 (4.47871e-05+0j)	 (4.47871e-05+0j)	 (3.40535e-05+0j)	 (3.40535e-05+0j)
 (-29.19+0.12j)	 (4.48799e-05+0j)	 (4.48799e-05+0j)	 (3.53999e-05+0j)	 (3.53999e-05+0j)
 (-29.16+0.12j)	 (4.4973e-05+0j)	 (4.4973e-05+0j)	 (3.6749e-05+0j)	 (3.6749e-05+0j)
 (-29.13+0.12j)	 (4.50664e-05+0j)	 (4.50664e-05+0j)	 (3.8101e-05+0j)	 (3.8101e-05+0j)
 (-29.1+0.12j)	 (4.51602e-05+0j)	 (4.51602e-05+0j)	 (3.94558e-05+0j)	 (3.94558e-05+0j)
 (-29.07+0.12j)	 (4.52542e-05+0j)	 (4.52542e-05+0j)	 (4.08135e-05+0j)	 (4.08135e-05+0j)
 (-29.04+0.12j)	 (4.53485e-05+0j)	 (4.53485e-05+0j)	 (4.21739e-05+0j)	 (4.21739e-05+0j)
