w	up_1	down_1	cumul_up_1	cumul_down_1	
 (-30+0.1j)	 (3.55899e-05+0j)	 (3.55899e-05+0j)	 (0+0j)	 (0+0j)
 (-29.975+0.1j)	 (3.56498e-05+0j)	 (3.56498e-05+0j)	 (8.91246e-07+0j)	 (8.91246e-07+0j)
 (-29.95+0.1j)	 (3.571e-05+0j)	 (3.571e-05+0j)	 (1.784e-06+0j)	 (1.784e-06+0j)
 (-29.925+0.1j)	 (3.57703e-05+0j)	 (3.57703e-05+0j)	 (2.67825e-06+0j)	 (2.67825e-06+0j)
 (-29.9+0.1j)	 (3.58308e-05+0j)	 (3.58308e-05+0j)	 (3.57402e-06+0j)	 (3.57402e-06+0j)
 (-29.875+0.1j)	 (3.58914e-05+0j)	 (3.58914e-05+0j)	 (4.47131e-06+0j)	 (4.47131e-06+0j)
 (-29.85+0.1j)	 (3.59521e-05+0j)	 (3.59521e-05+0j)	 (5.37011e-06+0j)	 (5.37011e-06+0j)
 (-29.825+0.1j)	 (3.6013e-05+0j)	 (3.6013e-05+0j)	 (6.27044e-06+0j)	 (6.27044e-06+0j)
 (-29.8+0.1j)	 (3.60741e-05+0j)	 (3.60741e-05+0j)	 (7.17229e-06+0j)	 (7.17229e-06+0j)
 (-29.775+0.1j)	 (3.61354e-05+0j)	 (3.61354e-05+0j)	 (8.07567e-06+0j)	 (8.07567e-06+0j)
 (-29.75+0.1j)	 (3.61967e-05+0j)	 (3.61967e-05+0j)	 (8.98059e-06+0j)	 (8.98059e-06+0j)
 (-29.725+0.1j)	 (3.62583e-05+0j)	 (3.62583e-05+0j)	 (9.88705e-06+0j)	 (9.88705e-06+0j)
 (-29.7+0.1j)	 (3.632e-05+0j)	 (3.632e-05+0j)	 (1.0795e-05+0j)	 (1.0795e-05+0j)
 (-29.675+0.1j)	 (3.63819e-05+0j)	 (3.63819e-05+0j)	 (1.17046e-05+0j)	 (1.17046e-05+0j)
 (-29.65+0.1j)	 (3.64439e-05+0j)	 (3.64439e-05+0j)	 (1.26157e-05+0j)	 (1.26157e-05+0j)
 (-29.625+0.1j)	 (3.6506e-05+0j)	 (3.6506e-05+0j)	 (1.35283e-05+0j)	 (1.35283e-05+0j)
 (-29.6+0.1j)	 (3.65684e-05+0j)	 (3.65684e-05+0j)	 (1.44426e-05+0j)	 (1.44426e-05+0j)
 (-29.575+0.1j)	 (3.66309e-05+0j)	 (3.66309e-05+0j)	 (1.53583e-05+0j)	 (1.53583e-05+0j)
 (-29.55+0.1j)	 (3.66936e-05+0j)	 (3.66936e-05+0j)	 (1.62757e-05+0j)	 (1.62757e-05+0j)
 (-29.525+0.1j)	 (3.67564e-05+0j)	 (3.67564e-05+0j)	 (1.71946e-05+0j)	 (1.71946e-05+0j)
 (-29.5+0.1j)	 (3.68194e-05+0j)	 (3.68194e-05+0j)	 (1.81151e-05+0j)	 (1.81151e-05+0j)
 (-29.475+0.1j)	 (3.68825e-05+0j)	 (3.68825e-05+0j)	 (1.90371e-05+0j)	 (1.90371e-05+0j)
 (-29.45+0.1j)	 (3.69458e-05+0j)	 (3.69458e-05+0j)	 (1.99608e-05+0j)	 (1.99608e-05+0j)
 (-29.425+0.1j)	 (3.70093e-05+0j)	 (3.70093e-05+0j)	 (2.0886e-05+0j)	 (2.0886e-05+0j)
 (-29.4+0.1j)	 (3.70729e-05+0j)	 (3.70729e-05+0j)	 (2.18128e-05+0j)	 (2.18128e-05+0j)
 (-29.375+0.1j)	 (3.71367e-05+0j)	 (3.71367e-05+0j)	 (2.27412e-05+0j)	 (2.27412e-05+0j)
 (-29.35+0.1j)	 (3.72007e-05+0j)	 (3.72007e-05+0j)	 (2.36713e-05+0j)	 (2.36713e-05+0j)
 (-29.325+0.1j)	 (3.72648e-05+0j)	 (3.72648e-05+0j)	 (2.46029e-05+0j)	 (2.46029e-05+0j)
 (-29.3+0.1j)	 (3.73291e-05+0j)	 (3.73291e-05+0j)	 (2.55361e-05+0j)	 (2.55361e-05+0j)
 (-29.275+0.1j)	 (3.73936e-05+0j)	 (3.73936e-05+0j)	 (2.64709e-05+0j)	 (2.64709e-05+0j)
 (-29.25+0.1j)	 (3.74583e-05+0j)	 (3.74583e-05+0j)	 (2.74074e-05+0j)	 (2.74074e-05+0j)
 (-29.225+0.1j)	 (3.75231e-05+0j)	 (3.75231e-05+0j)	 (2.83455e-05+0j)	 (2.83455e-05+0j)
 (-29.2+0.1j)	 (3.7588e-05+0j)	 (3.7588e-05+0j)	 (2.92852e-05+0j)	 (2.92852e-05+0j)
 (-29.175+0.1j)	 (3.76532e-05+0j)	 (3.76532e-05+0j)	 (3.02265e-05+0j)	 (3.02265e-05+0j)
 (-29.15+0.1j)	 (3.77185e-05+0j)	 (3.77185e-05+0j)	 (3.11695e-05+0j)	 (3.11695e-05+0j)
 (-29.125+0.1j)	 (3.7784e-05+0j)	 (3.7784e-05+0j)	 (3.21141e-05+0j)	 (3.21141e-05+0j)
 (-29.1+0.1j)	 (3.78496e-05+0j)	 (3.78496e-05+0j)	 (3.30603e-05+0j)	 (3.30603e-05+0j)
 (-29.075+0.1j)	 (3.79155e-05+0j)	 (3.79155e-05+0j)	 (3.40082e-05+0j)	 (3.40082e-05+0j)
 (-29.05+0.1j)	 (3.79815e-05+0j)	 (3.79815e-05+0j)	 (3.49577e-05+0j)	 (3.49577e-05+0j)
 (-29.025+0.1j)	 (3.80477e-05+0j)	 (3.80477e-05+0j)	 (3.59089e-05+0j)	 (3.59089e-05+0j)
 (-29+0.1j)	 (3.8114e-05+0j)	 (3.8114e-05+0j)	 (3.68618e-05+0j)	 (3.68618e-05+0j)
 (-28.975+0.1j)	 (3.81805e-05+0j)	 (3.81805e-05+0j)	 (3.78163e-05+0j)	 (3.78163e-05+0j)
 (-28.95+0.1j)	 (3.82472e-05+0j)	 (3.82472e-05+0j)	 (3.87725e-05+0j)	 (3.87725e-05+0j)
 (-28.925+0.1j)	 (3.83141e-05+0j)	 (3.83141e-05+0j)	 (3.97303e-05+0j)	 (3.97303e-05+0j)
 (-28.9+0.1j)	 (3.83812e-05+0j)	 (3.83812e-05+0j)	 (4.06899e-05+0j)	 (4.06899e-05+0j)
 (-28.875+0.1j)	 (3.84484e-05+0j)	 (3.84484e-05+0j)	 (4.16511e-05+0j)	 (4.16511e-05+0j)
 (-28.85+0.1j)	 (3.85158e-05+0j)	 (3.85158e-05+0j)	 (4.2614e-05+0j)	 (4.2614e-05+0j)
 (-28.825+0.1j)	 (3.85834e-05+0j)	 (3.85834e-05+0j)	 (4.35785e-05+0j)	 (4.35785e-05+0j)
 (-28.8+0.1j)	 (3.86511e-05+0j)	 (3.86511e-05+0j)	 (4.45448e-05+0j)	 (4.45448e-05+0j)
 (-28.775+0.1j)	 (3.87191e-05+0j)	 (3.87191e-05+0j)	 (4.55128e-05+0j)	 (4.55128e-05+0j)
 (-28.75+0.1j)	 (3.87872e-05+0j)	 (3.87872e-05+0j)	 (4.64825e-05+0j)	 (4.64825e-05+0j)
 (-28.725+0.1j)	 (3.88555e-05+0j)	 (3.88555e-05+0j)	 (4.74539e-05+0j)	 (4.74539e-05+0j)
 (-28.7+0.1j)	 (3.8924e-05+0j)	 (3.8924e-05+0j)	 (4.8427e-05+0j)	 (4.8427e-05+0j)
 (-28.675+0.1j)	 (3.89927e-05+0j)	 (3.89927e-05+0j)	 (4.94018e-05+0j)	 (4.94018e-05+0j)
 (-28.65+0.1j)	 (3.90615e-05+0j)	 (3.90615e-05+0j)	 (5.03783e-05+0j)	 (5.03783e-05+0j)
 (-28.625+0.1j)	 (3.91306e-05+0j)	 (3.91306e-05+0j)	 (5.13566e-05+0j)	 (5.13566e-05+0j)
 (-28.6+0.1j)	 (3.91998e-05+0j)	 (3.91998e-05+0j)	 (5.23366e-05+0j)	 (5.23366e-05+0j)
 (-28.575+0.1j)	 (3.92692e-05+0j)	 (3.92692e-05+0j)	 (5.33183e-05+0j)	 (5.33183e-05+0j)
 (-28.55+0.1j)	 (3.93388e-05+0j)	 (3.93388e-05+0j)	 (5.43018e-05+0j)	 (5.43018e-05+0j)
 (-28.525+0.1j)	 (3.94085e-05+0j)	 (3.94085e-05+0j)	 (5.5287e-05+0j)	 (5.5287e-05+0j)
 (-28.5+0.1j)	 (3.94785e-05+0j)	 (3.94785e-05+0j)	 (5.6274e-05+0j)	 (5.6274e-05+0j)
 (-28.475+0.1j)	 (3.95487e-05+0j)	 (3.95487e-05+0j)	 (5.72627e-05+0j)	 (5.72627e-05+0j)
 (-28.45+0.1j)	 (3.9619e-05+0j)	 (3.9619e-05+0j)	 (5.82532e-05+0j)	 (5.82532e-05+0j)
 (-28.425+0.1j)	 (3.96895e-05+0j)	 (3.96895e-05+0j)	 (5.92454e-05+0j)	 (5.92454e-05+0j)
 (-28.4+0.1j)	 (3.97602e-05+0j)	 (3.97602e-05+0j)	 (6.02394e-05+0j)	 (6.02394e-05+0j)
 (-28.375+0.1j)	 (3.98311e-05+0j)	 (3.98311e-05+0j)	 (6.12352e-05+0j)	 (6.12352e-05+0j)
 (-28.35+0.1j)	 (3.99022e-05+0j)	 (3.99022e-05+0j)	 (6.22327e-05+0j)	 (6.22327e-05+0j)
 (-28.325+0.1j)	 (3.99735e-05+0j)	 (3.99735e-05+0j)	 (6.32321e-05+0j)	 (6.32321e-05+0j)
 (-28.3+0.1j)	 (4.0045e-05+0j)	 (4.0045e-05+0j)	 (6.42332e-05+0j)	 (6.42332e-05+0j)
 (-28.275+0.1j)	 (4.01167e-05+0j)	 (4.01167e-05+0j)	 (6.52361e-05+0j)	 (6.52361e-05+0j)
 (-28.25+0.1j)	 (4.01885e-05+0j)	 (4.01885e-05+0j)	 (6.62408e-05+0j)	 (6.62408e-05+0j)
 (-28.225+0.1j)	 (4.02606e-05+0j)	 (4.02606e-05+0j)	 (6.72473e-05+0j)	 (6.72473e-05+0j)
 (-28.2+0.1j)	 (4.03329e-05+0j)	 (4.03329e-05+0j)	 (6.82557e-05+0j)	 (6.82557e-05+0j)
 (-28.175+0.1j)	 (4.04053e-05+0j)	 (4.04053e-05+0j)	 (6.92658e-05+0j)	 (6.92658e-05+0j)
 (-28.15+0.1j)	 (4.0478e-05+0j)	 (4.0478e-05+0j)	 (7.02777e-05+0j)	 (7.02777e-05+0j)
 (-28.125+0.1j)	 (4.05508e-05+0j)	 (4.05508e-05+0j)	 (7.12915e-05+0j)	 (7.12915e-05+0j)
 (-28.1+0.1j)	 (4.06238e-05+0j)	 (4.06238e-05+0j)	 (7.23071e-05+0j)	 (7.23071e-05+0j)
 (-28.075+0.1j)	 (4.06971e-05+0j)	 (4.06971e-05+0j)	 (7.33245e-05+0j)	 (7.33245e-05+0j)
 (-28.05+0.1j)	 (4.07705e-05+0j)	 (4.07705e-05+0j)	 (7.43438e-05+0j)	 (7.43438e-05+0j)
 (-28.025+0.1j)	 (4.08442e-05+0j)	 (4.08442e-05+0j)	 (7.53649e-05+0j)	 (7.53649e-05+0j)
 (-28+0.1j)	 (4.0918e-05+0j)	 (4.0918e-05+0j)	 (7.63879e-05+0j)	 (7.63879e-05+0j)
 (-27.975+0.1j)	 (4.0992e-05+0j)	 (4.0992e-05+0j)	 (7.74127e-05+0j)	 (7.74127e-05+0j)
 (-27.95+0.1j)	 (4.10663e-05+0j)	 (4.10663e-05+0j)	 (7.84393e-05+0j)	 (7.84393e-05+0j)
 (-27.925+0.1j)	 (4.11407e-05+0j)	 (4.11407e-05+0j)	 (7.94678e-05+0j)	 (7.94678e-05+0j)
 (-27.9+0.1j)	 (4.12154e-05+0j)	 (4.12154e-05+0j)	 (8.04982e-05+0j)	 (8.04982e-05+0j)
 (-27.875+0.1j)	 (4.12902e-05+0j)	 (4.12902e-05+0j)	 (8.15305e-05+0j)	 (8.15305e-05+0j)
 (-27.85+0.1j)	 (4.13653e-05+0j)	 (4.13653e-05+0j)	 (8.25646e-05+0j)	 (8.25646e-05+0j)
 (-27.825+0.1j)	 (4.14406e-05+0j)	 (4.14406e-05+0j)	 (8.36006e-05+0j)	 (8.36006e-05+0j)
 (-27.8+0.1j)	 (4.1516e-05+0j)	 (4.1516e-05+0j)	 (8.46385e-05+0j)	 (8.46385e-05+0j)
 (-27.775+0.1j)	 (4.15917e-05+0j)	 (4.15917e-05+0j)	 (8.56783e-05+0j)	 (8.56783e-05+0j)
 (-27.75+0.1j)	 (4.16676e-05+0j)	 (4.16676e-05+0j)	 (8.672e-05+0j)	 (8.672e-05+0j)
 (-27.725+0.1j)	 (4.17437e-05+0j)	 (4.17437e-05+0j)	 (8.77636e-05+0j)	 (8.77636e-05+0j)
 (-27.7+0.1j)	 (4.182e-05+0j)	 (4.182e-05+0j)	 (8.88091e-05+0j)	 (8.88091e-05+0j)
 (-27.675+0.1j)	 (4.18965e-05+0j)	 (4.18965e-05+0j)	 (8.98565e-05+0j)	 (8.98565e-05+0j)
 (-27.65+0.1j)	 (4.19733e-05+0j)	 (4.19733e-05+0j)	 (9.09058e-05+0j)	 (9.09058e-05+0j)
 (-27.625+0.1j)	 (4.20502e-05+0j)	 (4.20502e-05+0j)	 (9.19571e-05+0j)	 (9.19571e-05+0j)
 (-27.6+0.1j)	 (4.21274e-05+0j)	 (4.21274e-05+0j)	 (9.30103e-05+0j)	 (9.30103e-05+0j)
 (-27.575+0.1j)	 (4.22047e-05+0j)	 (4.22047e-05+0j)	 (9.40654e-05+0j)	 (9.40654e-05+0j)
 (-27.55+0.1j)	 (4.22823e-05+0j)	 (4.22823e-05+0j)	 (9.51225e-05+0j)	 (9.51225e-05+0j)
 (-27.525+0.1j)	 (4.23601e-05+0j)	 (4.23601e-05+0j)	 (9.61815e-05+0j)	 (9.61815e-05+0j)
 (-27.5+0.1j)	 (4.24381e-05+0j)	 (4.24381e-05+0j)	 (9.72424e-05+0j)	 (9.72424e-05+0j)
 (-27.475+0.1j)	 (4.25164e-05+0j)	 (4.25164e-05+0j)	 (9.83053e-05+0j)	 (9.83053e-05+0j)
 (-27.45+0.1j)	 (4.25948e-05+0j)	 (4.25948e-05+0j)	 (9.93702e-05+0j)	 (9.93702e-05+0j)
 (-27.425+0.1j)	 (4.26735e-05+0j)	 (4.26735e-05+0j)	 (0.000100437+0j)	 (0.000100437+0j)
 (-27.4+0.1j)	 (4.27524e-05+0j)	 (4.27524e-05+0j)	 (0.000101506+0j)	 (0.000101506+0j)
 (-27.375+0.1j)	 (4.28315e-05+0j)	 (4.28315e-05+0j)	 (0.000102577+0j)	 (0.000102577+0j)
 (-27.35+0.1j)	 (4.29108e-05+0j)	 (4.29108e-05+0j)	 (0.000103649+0j)	 (0.000103649+0j)
 (-27.325+0.1j)	 (4.29903e-05+0j)	 (4.29903e-05+0j)	 (0.000104724+0j)	 (0.000104724+0j)
 (-27.3+0.1j)	 (4.30701e-05+0j)	 (4.30701e-05+0j)	 (0.000105801+0j)	 (0.000105801+0j)
 (-27.275+0.1j)	 (4.31501e-05+0j)	 (4.31501e-05+0j)	 (0.00010688+0j)	 (0.00010688+0j)
 (-27.25+0.1j)	 (4.32303e-05+0j)	 (4.32303e-05+0j)	 (0.00010796+0j)	 (0.00010796+0j)
 (-27.225+0.1j)	 (4.33108e-05+0j)	 (4.33108e-05+0j)	 (0.000109043+0j)	 (0.000109043+0j)
 (-27.2+0.1j)	 (4.33914e-05+0j)	 (4.33914e-05+0j)	 (0.000110128+0j)	 (0.000110128+0j)
 (-27.175+0.1j)	 (4.34723e-05+0j)	 (4.34723e-05+0j)	 (0.000111215+0j)	 (0.000111215+0j)
 (-27.15+0.1j)	 (4.35535e-05+0j)	 (4.35535e-05+0j)	 (0.000112304+0j)	 (0.000112304+0j)
 (-27.125+0.1j)	 (4.36348e-05+0j)	 (4.36348e-05+0j)	 (0.000113394+0j)	 (0.000113394+0j)
 (-27.1+0.1j)	 (4.37164e-05+0j)	 (4.37164e-05+0j)	 (0.000114487+0j)	 (0.000114487+0j)
 (-27.075+0.1j)	 (4.37982e-05+0j)	 (4.37982e-05+0j)	 (0.000115582+0j)	 (0.000115582+0j)
 (-27.05+0.1j)	 (4.38802e-05+0j)	 (4.38802e-05+0j)	 (0.000116679+0j)	 (0.000116679+0j)
 (-27.025+0.1j)	 (4.39625e-05+0j)	 (4.39625e-05+0j)	 (0.000117778+0j)	 (0.000117778+0j)
 (-27+0.1j)	 (4.4045e-05+0j)	 (4.4045e-05+0j)	 (0.00011888+0j)	 (0.00011888+0j)
 (-26.975+0.1j)	 (4.41278e-05+0j)	 (4.41278e-05+0j)	 (0.000119983+0j)	 (0.000119983+0j)
 (-26.95+0.1j)	 (4.42107e-05+0j)	 (4.42107e-05+0j)	 (0.000121088+0j)	 (0.000121088+0j)
 (-26.925+0.1j)	 (4.4294e-05+0j)	 (4.4294e-05+0j)	 (0.000122195+0j)	 (0.000122195+0j)
 (-26.9+0.1j)	 (4.43774e-05+0j)	 (4.43774e-05+0j)	 (0.000123305+0j)	 (0.000123305+0j)
 (-26.875+0.1j)	 (4.44611e-05+0j)	 (4.44611e-05+0j)	 (0.000124416+0j)	 (0.000124416+0j)
 (-26.85+0.1j)	 (4.4545e-05+0j)	 (4.4545e-05+0j)	 (0.00012553+0j)	 (0.00012553+0j)
 (-26.825+0.1j)	 (4.46292e-05+0j)	 (4.46292e-05+0j)	 (0.000126646+0j)	 (0.000126646+0j)
 (-26.8+0.1j)	 (4.47136e-05+0j)	 (4.47136e-05+0j)	 (0.000127764+0j)	 (0.000127764+0j)
 (-26.775+0.1j)	 (4.47982e-05+0j)	 (4.47982e-05+0j)	 (0.000128883+0j)	 (0.000128883+0j)
 (-26.75+0.1j)	 (4.48831e-05+0j)	 (4.48831e-05+0j)	 (0.000130006+0j)	 (0.000130006+0j)
 (-26.725+0.1j)	 (4.49682e-05+0j)	 (4.49682e-05+0j)	 (0.00013113+0j)	 (0.00013113+0j)
 (-26.7+0.1j)	 (4.50536e-05+0j)	 (4.50536e-05+0j)	 (0.000132256+0j)	 (0.000132256+0j)
 (-26.675+0.1j)	 (4.51392e-05+0j)	 (4.51392e-05+0j)	 (0.000133385+0j)	 (0.000133385+0j)
 (-26.65+0.1j)	 (4.52251e-05+0j)	 (4.52251e-05+0j)	 (0.000134515+0j)	 (0.000134515+0j)
 (-26.625+0.1j)	 (4.53112e-05+0j)	 (4.53112e-05+0j)	 (0.000135648+0j)	 (0.000135648+0j)
 (-26.6+0.1j)	 (4.53976e-05+0j)	 (4.53976e-05+0j)	 (0.000136783+0j)	 (0.000136783+0j)
 (-26.575+0.1j)	 (4.54842e-05+0j)	 (4.54842e-05+0j)	 (0.00013792+0j)	 (0.00013792+0j)
 (-26.55+0.1j)	 (4.5571e-05+0j)	 (4.5571e-05+0j)	 (0.000139059+0j)	 (0.000139059+0j)
 (-26.525+0.1j)	 (4.56581e-05+0j)	 (4.56581e-05+0j)	 (0.000140201+0j)	 (0.000140201+0j)
 (-26.5+0.1j)	 (4.57455e-05+0j)	 (4.57455e-05+0j)	 (0.000141344+0j)	 (0.000141344+0j)
