w	up_1	down_1	cumul_up_1	cumul_down_1	
 (-40+0.05j)	 (1.00249e-05+0j)	 (1.00249e-05+0j)	 (0+0j)	 (0+0j)
 (-39.9875+0.05j)	 (1.00312e-05+0j)	 (1.00312e-05+0j)	 (1.2539e-07+0j)	 (1.2539e-07+0j)
 (-39.975+0.05j)	 (1.00375e-05+0j)	 (1.00375e-05+0j)	 (2.50859e-07+0j)	 (2.50859e-07+0j)
 (-39.9625+0.05j)	 (1.00439e-05+0j)	 (1.00439e-05+0j)	 (3.76407e-07+0j)	 (3.76407e-07+0j)
 (-39.95+0.05j)	 (1.00502e-05+0j)	 (1.00502e-05+0j)	 (5.02034e-07+0j)	 (5.02034e-07+0j)
 (-39.9375+0.05j)	 (1.00565e-05+0j)	 (1.00565e-05+0j)	 (6.27741e-07+0j)	 (6.27741e-07+0j)
 (-39.925+0.05j)	 (1.00629e-05+0j)	 (1.00629e-05+0j)	 (7.53527e-07+0j)	 (7.53527e-07+0j)
 (-39.9125+0.05j)	 (1.00692e-05+0j)	 (1.00692e-05+0j)	 (8.79392e-07+0j)	 (8.79392e-07+0j)
 (-39.9+0.05j)	 (1.00756e-05+0j)	 (1.00756e-05+0j)	 (1.00534e-06+0j)	 (1.00534e-06+0j)
 (-39.8875+0.05j)	 (1.00819e-05+0j)	 (1.00819e-05+0j)	 (1.13136e-06+0j)	 (1.13136e-06+0j)
 (-39.875+0.05j)	 (1.00883e-05+0j)	 (1.00883e-05+0j)	 (1.25747e-06+0j)	 (1.25747e-06+0j)
 (-39.8625+0.05j)	 (1.00947e-05+0j)	 (1.00947e-05+0j)	 (1.38365e-06+0j)	 (1.38365e-06+0j)
 (-39.85+0.05j)	 (1.01011e-05+0j)	 (1.01011e-05+0j)	 (1.50991e-06+0j)	 (1.50991e-06+0j)
 (-39.8375+0.05j)	 (1.01075e-05+0j)	 (1.01075e-05+0j)	 (1.63626e-06+0j)	 (1.63626e-06+0j)
 (-39.825+0.05j)	 (1.01139e-05+0j)	 (1.01139e-05+0j)	 (1.76268e-06+0j)	 (1.76268e-06+0j)
 (-39.8125+0.05j)	 (1.01203e-05+0j)	 (1.01203e-05+0j)	 (1.88918e-06+0j)	 (1.88918e-06+0j)
 (-39.8+0.05j)	 (1.01267e-05+0j)	 (1.01267e-05+0j)	 (2.01577e-06+0j)	 (2.01577e-06+0j)
 (-39.7875+0.05j)	 (1.01331e-05+0j)	 (1.01331e-05+0j)	 (2.14243e-06+0j)	 (2.14243e-06+0j)
 (-39.775+0.05j)	 (1.01395e-05+0j)	 (1.01395e-05+0j)	 (2.26917e-06+0j)	 (2.26917e-06+0j)
 (-39.7625+0.05j)	 (1.01459e-05+0j)	 (1.01459e-05+0j)	 (2.396e-06+0j)	 (2.396e-06+0j)
 (-39.75+0.05j)	 (1.01524e-05+0j)	 (1.01524e-05+0j)	 (2.5229e-06+0j)	 (2.5229e-06+0j)
 (-39.7375+0.05j)	 (1.01588e-05+0j)	 (1.01588e-05+0j)	 (2.64989e-06+0j)	 (2.64989e-06+0j)
 (-39.725+0.05j)	 (1.01652e-05+0j)	 (1.01652e-05+0j)	 (2.77695e-06+0j)	 (2.77695e-06+0j)
 (-39.7125+0.05j)	 (1.01717e-05+0j)	 (1.01717e-05+0j)	 (2.9041e-06+0j)	 (2.9041e-06+0j)
 (-39.7+0.05j)	 (1.01781e-05+0j)	 (1.01781e-05+0j)	 (3.03132e-06+0j)	 (3.03132e-06+0j)
 (-39.6875+0.05j)	 (1.01846e-05+0j)	 (1.01846e-05+0j)	 (3.15863e-06+0j)	 (3.15863e-06+0j)
 (-39.675+0.05j)	 (1.01911e-05+0j)	 (1.01911e-05+0j)	 (3.28602e-06+0j)	 (3.28602e-06+0j)
 (-39.6625+0.05j)	 (1.01975e-05+0j)	 (1.01975e-05+0j)	 (3.41349e-06+0j)	 (3.41349e-06+0j)
 (-39.65+0.05j)	 (1.0204e-05+0j)	 (1.0204e-05+0j)	 (3.54104e-06+0j)	 (3.54104e-06+0j)
 (-39.6375+0.05j)	 (1.02105e-05+0j)	 (1.02105e-05+0j)	 (3.66867e-06+0j)	 (3.66867e-06+0j)
 (-39.625+0.05j)	 (1.0217e-05+0j)	 (1.0217e-05+0j)	 (3.79638e-06+0j)	 (3.79638e-06+0j)
 (-39.6125+0.05j)	 (1.02235e-05+0j)	 (1.02235e-05+0j)	 (3.92418e-06+0j)	 (3.92418e-06+0j)
 (-39.6+0.05j)	 (1.023e-05+0j)	 (1.023e-05+0j)	 (4.05205e-06+0j)	 (4.05205e-06+0j)
 (-39.5875+0.05j)	 (1.02365e-05+0j)	 (1.02365e-05+0j)	 (4.18001e-06+0j)	 (4.18001e-06+0j)
 (-39.575+0.05j)	 (1.0243e-05+0j)	 (1.0243e-05+0j)	 (4.30805e-06+0j)	 (4.30805e-06+0j)
 (-39.5625+0.05j)	 (1.02496e-05+0j)	 (1.02496e-05+0j)	 (4.43617e-06+0j)	 (4.43617e-06+0j)
 (-39.55+0.05j)	 (1.02561e-05+0j)	 (1.02561e-05+0j)	 (4.56437e-06+0j)	 (4.56437e-06+0j)
 (-39.5375+0.05j)	 (1.02626e-05+0j)	 (1.02626e-05+0j)	 (4.69265e-06+0j)	 (4.69265e-06+0j)
 (-39.525+0.05j)	 (1.02692e-05+0j)	 (1.02692e-05+0j)	 (4.82102e-06+0j)	 (4.82102e-06+0j)
 (-39.5125+0.05j)	 (1.02757e-05+0j)	 (1.02757e-05+0j)	 (4.94946e-06+0j)	 (4.94946e-06+0j)
 (-39.5+0.05j)	 (1.02823e-05+0j)	 (1.02823e-05+0j)	 (5.07799e-06+0j)	 (5.07799e-06+0j)
