w	up_1	down_1	cumul_up_1	cumul_down_1	
 (-30+0.1j)	 (3.47803e-05+0j)	 (3.47803e-05+0j)	 (0+0j)	 (0+0j)
 (-29.975+0.1j)	 (3.48383e-05+0j)	 (3.48383e-05+0j)	 (8.70957e-07+0j)	 (8.70957e-07+0j)
 (-29.95+0.1j)	 (3.48964e-05+0j)	 (3.48964e-05+0j)	 (1.74337e-06+0j)	 (1.74337e-06+0j)
 (-29.925+0.1j)	 (3.49547e-05+0j)	 (3.49547e-05+0j)	 (2.61724e-06+0j)	 (2.61724e-06+0j)
 (-29.9+0.1j)	 (3.50132e-05+0j)	 (3.50132e-05+0j)	 (3.49257e-06+0j)	 (3.49257e-06+0j)
 (-29.875+0.1j)	 (3.50718e-05+0j)	 (3.50718e-05+0j)	 (4.36936e-06+0j)	 (4.36936e-06+0j)
 (-29.85+0.1j)	 (3.51305e-05+0j)	 (3.51305e-05+0j)	 (5.24762e-06+0j)	 (5.24762e-06+0j)
 (-29.825+0.1j)	 (3.51894e-05+0j)	 (3.51894e-05+0j)	 (6.12736e-06+0j)	 (6.12736e-06+0j)
 (-29.8+0.1j)	 (3.52484e-05+0j)	 (3.52484e-05+0j)	 (7.00857e-06+0j)	 (7.00857e-06+0j)
 (-29.775+0.1j)	 (3.53076e-05+0j)	 (3.53076e-05+0j)	 (7.89126e-06+0j)	 (7.89126e-06+0j)
 (-29.75+0.1j)	 (3.5367e-05+0j)	 (3.5367e-05+0j)	 (8.77544e-06+0j)	 (8.77544e-06+0j)
 (-29.725+0.1j)	 (3.54265e-05+0j)	 (3.54265e-05+0j)	 (9.6611e-06+0j)	 (9.6611e-06+0j)
 (-29.7+0.1j)	 (3.54861e-05+0j)	 (3.54861e-05+0j)	 (1.05482e-05+0j)	 (1.05482e-05+0j)
 (-29.675+0.1j)	 (3.55459e-05+0j)	 (3.55459e-05+0j)	 (1.14369e-05+0j)	 (1.14369e-05+0j)
 (-29.65+0.1j)	 (3.56058e-05+0j)	 (3.56058e-05+0j)	 (1.2327e-05+0j)	 (1.2327e-05+0j)
 (-29.625+0.1j)	 (3.56659e-05+0j)	 (3.56659e-05+0j)	 (1.32187e-05+0j)	 (1.32187e-05+0j)
 (-29.6+0.1j)	 (3.57262e-05+0j)	 (3.57262e-05+0j)	 (1.41118e-05+0j)	 (1.41118e-05+0j)
 (-29.575+0.1j)	 (3.57866e-05+0j)	 (3.57866e-05+0j)	 (1.50065e-05+0j)	 (1.50065e-05+0j)
 (-29.55+0.1j)	 (3.58471e-05+0j)	 (3.58471e-05+0j)	 (1.59027e-05+0j)	 (1.59027e-05+0j)
 (-29.525+0.1j)	 (3.59078e-05+0j)	 (3.59078e-05+0j)	 (1.68004e-05+0j)	 (1.68004e-05+0j)
 (-29.5+0.1j)	 (3.59687e-05+0j)	 (3.59687e-05+0j)	 (1.76996e-05+0j)	 (1.76996e-05+0j)
 (-29.475+0.1j)	 (3.60297e-05+0j)	 (3.60297e-05+0j)	 (1.86003e-05+0j)	 (1.86003e-05+0j)
 (-29.45+0.1j)	 (3.60909e-05+0j)	 (3.60909e-05+0j)	 (1.95026e-05+0j)	 (1.95026e-05+0j)
 (-29.425+0.1j)	 (3.61522e-05+0j)	 (3.61522e-05+0j)	 (2.04064e-05+0j)	 (2.04064e-05+0j)
 (-29.4+0.1j)	 (3.62137e-05+0j)	 (3.62137e-05+0j)	 (2.13118e-05+0j)	 (2.13118e-05+0j)
 (-29.375+0.1j)	 (3.62754e-05+0j)	 (3.62754e-05+0j)	 (2.22186e-05+0j)	 (2.22186e-05+0j)
 (-29.35+0.1j)	 (3.63372e-05+0j)	 (3.63372e-05+0j)	 (2.31271e-05+0j)	 (2.31271e-05+0j)
 (-29.325+0.1j)	 (3.63991e-05+0j)	 (3.63991e-05+0j)	 (2.40371e-05+0j)	 (2.40371e-05+0j)
 (-29.3+0.1j)	 (3.64613e-05+0j)	 (3.64613e-05+0j)	 (2.49486e-05+0j)	 (2.49486e-05+0j)
 (-29.275+0.1j)	 (3.65236e-05+0j)	 (3.65236e-05+0j)	 (2.58617e-05+0j)	 (2.58617e-05+0j)
 (-29.25+0.1j)	 (3.6586e-05+0j)	 (3.6586e-05+0j)	 (2.67763e-05+0j)	 (2.67763e-05+0j)
 (-29.225+0.1j)	 (3.66486e-05+0j)	 (3.66486e-05+0j)	 (2.76925e-05+0j)	 (2.76925e-05+0j)
 (-29.2+0.1j)	 (3.67114e-05+0j)	 (3.67114e-05+0j)	 (2.86103e-05+0j)	 (2.86103e-05+0j)
 (-29.175+0.1j)	 (3.67743e-05+0j)	 (3.67743e-05+0j)	 (2.95297e-05+0j)	 (2.95297e-05+0j)
 (-29.15+0.1j)	 (3.68374e-05+0j)	 (3.68374e-05+0j)	 (3.04506e-05+0j)	 (3.04506e-05+0j)
 (-29.125+0.1j)	 (3.69007e-05+0j)	 (3.69007e-05+0j)	 (3.13731e-05+0j)	 (3.13731e-05+0j)
 (-29.1+0.1j)	 (3.69641e-05+0j)	 (3.69641e-05+0j)	 (3.22972e-05+0j)	 (3.22972e-05+0j)
 (-29.075+0.1j)	 (3.70277e-05+0j)	 (3.70277e-05+0j)	 (3.32229e-05+0j)	 (3.32229e-05+0j)
 (-29.05+0.1j)	 (3.70914e-05+0j)	 (3.70914e-05+0j)	 (3.41502e-05+0j)	 (3.41502e-05+0j)
 (-29.025+0.1j)	 (3.71553e-05+0j)	 (3.71553e-05+0j)	 (3.50791e-05+0j)	 (3.50791e-05+0j)
 (-29+0.1j)	 (3.72194e-05+0j)	 (3.72194e-05+0j)	 (3.60096e-05+0j)	 (3.60096e-05+0j)
 (-28.975+0.1j)	 (3.72837e-05+0j)	 (3.72837e-05+0j)	 (3.69417e-05+0j)	 (3.69417e-05+0j)
 (-28.95+0.1j)	 (3.73481e-05+0j)	 (3.73481e-05+0j)	 (3.78754e-05+0j)	 (3.78754e-05+0j)
 (-28.925+0.1j)	 (3.74127e-05+0j)	 (3.74127e-05+0j)	 (3.88107e-05+0j)	 (3.88107e-05+0j)
 (-28.9+0.1j)	 (3.74774e-05+0j)	 (3.74774e-05+0j)	 (3.97476e-05+0j)	 (3.97476e-05+0j)
 (-28.875+0.1j)	 (3.75423e-05+0j)	 (3.75423e-05+0j)	 (4.06862e-05+0j)	 (4.06862e-05+0j)
 (-28.85+0.1j)	 (3.76074e-05+0j)	 (3.76074e-05+0j)	 (4.16264e-05+0j)	 (4.16264e-05+0j)
 (-28.825+0.1j)	 (3.76727e-05+0j)	 (3.76727e-05+0j)	 (4.25682e-05+0j)	 (4.25682e-05+0j)
 (-28.8+0.1j)	 (3.77381e-05+0j)	 (3.77381e-05+0j)	 (4.35116e-05+0j)	 (4.35116e-05+0j)
 (-28.775+0.1j)	 (3.78037e-05+0j)	 (3.78037e-05+0j)	 (4.44567e-05+0j)	 (4.44567e-05+0j)
 (-28.75+0.1j)	 (3.78695e-05+0j)	 (3.78695e-05+0j)	 (4.54035e-05+0j)	 (4.54035e-05+0j)
 (-28.725+0.1j)	 (3.79355e-05+0j)	 (3.79355e-05+0j)	 (4.63519e-05+0j)	 (4.63519e-05+0j)
 (-28.7+0.1j)	 (3.80016e-05+0j)	 (3.80016e-05+0j)	 (4.73019e-05+0j)	 (4.73019e-05+0j)
 (-28.675+0.1j)	 (3.80679e-05+0j)	 (3.80679e-05+0j)	 (4.82536e-05+0j)	 (4.82536e-05+0j)
 (-28.65+0.1j)	 (3.81343e-05+0j)	 (3.81343e-05+0j)	 (4.9207e-05+0j)	 (4.9207e-05+0j)
 (-28.625+0.1j)	 (3.8201e-05+0j)	 (3.8201e-05+0j)	 (5.0162e-05+0j)	 (5.0162e-05+0j)
 (-28.6+0.1j)	 (3.82678e-05+0j)	 (3.82678e-05+0j)	 (5.11187e-05+0j)	 (5.11187e-05+0j)
 (-28.575+0.1j)	 (3.83348e-05+0j)	 (3.83348e-05+0j)	 (5.2077e-05+0j)	 (5.2077e-05+0j)
 (-28.55+0.1j)	 (3.8402e-05+0j)	 (3.8402e-05+0j)	 (5.30371e-05+0j)	 (5.30371e-05+0j)
 (-28.525+0.1j)	 (3.84693e-05+0j)	 (3.84693e-05+0j)	 (5.39988e-05+0j)	 (5.39988e-05+0j)
 (-28.5+0.1j)	 (3.85369e-05+0j)	 (3.85369e-05+0j)	 (5.49622e-05+0j)	 (5.49622e-05+0j)
 (-28.475+0.1j)	 (3.86046e-05+0j)	 (3.86046e-05+0j)	 (5.59274e-05+0j)	 (5.59274e-05+0j)
 (-28.45+0.1j)	 (3.86725e-05+0j)	 (3.86725e-05+0j)	 (5.68942e-05+0j)	 (5.68942e-05+0j)
 (-28.425+0.1j)	 (3.87405e-05+0j)	 (3.87405e-05+0j)	 (5.78627e-05+0j)	 (5.78627e-05+0j)
 (-28.4+0.1j)	 (3.88088e-05+0j)	 (3.88088e-05+0j)	 (5.88329e-05+0j)	 (5.88329e-05+0j)
 (-28.375+0.1j)	 (3.88772e-05+0j)	 (3.88772e-05+0j)	 (5.98048e-05+0j)	 (5.98048e-05+0j)
 (-28.35+0.1j)	 (3.89458e-05+0j)	 (3.89458e-05+0j)	 (6.07785e-05+0j)	 (6.07785e-05+0j)
 (-28.325+0.1j)	 (3.90146e-05+0j)	 (3.90146e-05+0j)	 (6.17539e-05+0j)	 (6.17539e-05+0j)
 (-28.3+0.1j)	 (3.90836e-05+0j)	 (3.90836e-05+0j)	 (6.27309e-05+0j)	 (6.27309e-05+0j)
 (-28.275+0.1j)	 (3.91528e-05+0j)	 (3.91528e-05+0j)	 (6.37098e-05+0j)	 (6.37098e-05+0j)
 (-28.25+0.1j)	 (3.92221e-05+0j)	 (3.92221e-05+0j)	 (6.46903e-05+0j)	 (6.46903e-05+0j)
 (-28.225+0.1j)	 (3.92917e-05+0j)	 (3.92917e-05+0j)	 (6.56726e-05+0j)	 (6.56726e-05+0j)
 (-28.2+0.1j)	 (3.93614e-05+0j)	 (3.93614e-05+0j)	 (6.66566e-05+0j)	 (6.66566e-05+0j)
 (-28.175+0.1j)	 (3.94313e-05+0j)	 (3.94313e-05+0j)	 (6.76424e-05+0j)	 (6.76424e-05+0j)
 (-28.15+0.1j)	 (3.95014e-05+0j)	 (3.95014e-05+0j)	 (6.863e-05+0j)	 (6.863e-05+0j)
 (-28.125+0.1j)	 (3.95717e-05+0j)	 (3.95717e-05+0j)	 (6.96193e-05+0j)	 (6.96193e-05+0j)
 (-28.1+0.1j)	 (3.96422e-05+0j)	 (3.96422e-05+0j)	 (7.06103e-05+0j)	 (7.06103e-05+0j)
 (-28.075+0.1j)	 (3.97128e-05+0j)	 (3.97128e-05+0j)	 (7.16031e-05+0j)	 (7.16031e-05+0j)
 (-28.05+0.1j)	 (3.97837e-05+0j)	 (3.97837e-05+0j)	 (7.25977e-05+0j)	 (7.25977e-05+0j)
 (-28.025+0.1j)	 (3.98547e-05+0j)	 (3.98547e-05+0j)	 (7.35941e-05+0j)	 (7.35941e-05+0j)
 (-28+0.1j)	 (3.9926e-05+0j)	 (3.9926e-05+0j)	 (7.45922e-05+0j)	 (7.45922e-05+0j)
 (-27.975+0.1j)	 (3.99974e-05+0j)	 (3.99974e-05+0j)	 (7.55922e-05+0j)	 (7.55922e-05+0j)
 (-27.95+0.1j)	 (4.0069e-05+0j)	 (4.0069e-05+0j)	 (7.65939e-05+0j)	 (7.65939e-05+0j)
 (-27.925+0.1j)	 (4.01408e-05+0j)	 (4.01408e-05+0j)	 (7.75974e-05+0j)	 (7.75974e-05+0j)
 (-27.9+0.1j)	 (4.02128e-05+0j)	 (4.02128e-05+0j)	 (7.86027e-05+0j)	 (7.86027e-05+0j)
 (-27.875+0.1j)	 (4.0285e-05+0j)	 (4.0285e-05+0j)	 (7.96099e-05+0j)	 (7.96099e-05+0j)
 (-27.85+0.1j)	 (4.03574e-05+0j)	 (4.03574e-05+0j)	 (8.06188e-05+0j)	 (8.06188e-05+0j)
 (-27.825+0.1j)	 (4.043e-05+0j)	 (4.043e-05+0j)	 (8.16296e-05+0j)	 (8.16296e-05+0j)
 (-27.8+0.1j)	 (4.05028e-05+0j)	 (4.05028e-05+0j)	 (8.26421e-05+0j)	 (8.26421e-05+0j)
 (-27.775+0.1j)	 (4.05758e-05+0j)	 (4.05758e-05+0j)	 (8.36565e-05+0j)	 (8.36565e-05+0j)
 (-27.75+0.1j)	 (4.0649e-05+0j)	 (4.0649e-05+0j)	 (8.46727e-05+0j)	 (8.46727e-05+0j)
 (-27.725+0.1j)	 (4.07224e-05+0j)	 (4.07224e-05+0j)	 (8.56908e-05+0j)	 (8.56908e-05+0j)
 (-27.7+0.1j)	 (4.0796e-05+0j)	 (4.0796e-05+0j)	 (8.67107e-05+0j)	 (8.67107e-05+0j)
 (-27.675+0.1j)	 (4.08698e-05+0j)	 (4.08698e-05+0j)	 (8.77324e-05+0j)	 (8.77324e-05+0j)
 (-27.65+0.1j)	 (4.09438e-05+0j)	 (4.09438e-05+0j)	 (8.8756e-05+0j)	 (8.8756e-05+0j)
 (-27.625+0.1j)	 (4.10179e-05+0j)	 (4.10179e-05+0j)	 (8.97815e-05+0j)	 (8.97815e-05+0j)
 (-27.6+0.1j)	 (4.10923e-05+0j)	 (4.10923e-05+0j)	 (9.08088e-05+0j)	 (9.08088e-05+0j)
 (-27.575+0.1j)	 (4.11669e-05+0j)	 (4.11669e-05+0j)	 (9.1838e-05+0j)	 (9.1838e-05+0j)
 (-27.55+0.1j)	 (4.12417e-05+0j)	 (4.12417e-05+0j)	 (9.2869e-05+0j)	 (9.2869e-05+0j)
 (-27.525+0.1j)	 (4.13168e-05+0j)	 (4.13168e-05+0j)	 (9.39019e-05+0j)	 (9.39019e-05+0j)
 (-27.5+0.1j)	 (4.1392e-05+0j)	 (4.1392e-05+0j)	 (9.49367e-05+0j)	 (9.49367e-05+0j)
 (-27.475+0.1j)	 (4.14674e-05+0j)	 (4.14674e-05+0j)	 (9.59734e-05+0j)	 (9.59734e-05+0j)
 (-27.45+0.1j)	 (4.1543e-05+0j)	 (4.1543e-05+0j)	 (9.7012e-05+0j)	 (9.7012e-05+0j)
 (-27.425+0.1j)	 (4.16189e-05+0j)	 (4.16189e-05+0j)	 (9.80525e-05+0j)	 (9.80525e-05+0j)
 (-27.4+0.1j)	 (4.16949e-05+0j)	 (4.16949e-05+0j)	 (9.90948e-05+0j)	 (9.90948e-05+0j)
 (-27.375+0.1j)	 (4.17712e-05+0j)	 (4.17712e-05+0j)	 (0.000100139+0j)	 (0.000100139+0j)
 (-27.35+0.1j)	 (4.18476e-05+0j)	 (4.18476e-05+0j)	 (0.000101185+0j)	 (0.000101185+0j)
 (-27.325+0.1j)	 (4.19243e-05+0j)	 (4.19243e-05+0j)	 (0.000102233+0j)	 (0.000102233+0j)
 (-27.3+0.1j)	 (4.20012e-05+0j)	 (4.20012e-05+0j)	 (0.000103283+0j)	 (0.000103283+0j)
 (-27.275+0.1j)	 (4.20783e-05+0j)	 (4.20783e-05+0j)	 (0.000104335+0j)	 (0.000104335+0j)
 (-27.25+0.1j)	 (4.21556e-05+0j)	 (4.21556e-05+0j)	 (0.000105389+0j)	 (0.000105389+0j)
