w	up_1	down_1	cumul_up_1	cumul_down_1	
 (-40+0.05j)	 (9.79121e-06+0j)	 (9.79121e-06+0j)	 (0+0j)	 (0+0j)
 (-39.9875+0.05j)	 (9.79731e-06+0j)	 (9.79731e-06+0j)	 (1.22466e-07+0j)	 (1.22466e-07+0j)
 (-39.975+0.05j)	 (9.80342e-06+0j)	 (9.80342e-06+0j)	 (2.45009e-07+0j)	 (2.45009e-07+0j)
 (-39.9625+0.05j)	 (9.80953e-06+0j)	 (9.80953e-06+0j)	 (3.67628e-07+0j)	 (3.67628e-07+0j)
 (-39.95+0.05j)	 (9.81565e-06+0j)	 (9.81565e-06+0j)	 (4.90324e-07+0j)	 (4.90324e-07+0j)
 (-39.9375+0.05j)	 (9.82178e-06+0j)	 (9.82178e-06+0j)	 (6.13096e-07+0j)	 (6.13096e-07+0j)
 (-39.925+0.05j)	 (9.82791e-06+0j)	 (9.82791e-06+0j)	 (7.35945e-07+0j)	 (7.35945e-07+0j)
 (-39.9125+0.05j)	 (9.83405e-06+0j)	 (9.83405e-06+0j)	 (8.58871e-07+0j)	 (8.58871e-07+0j)
 (-39.9+0.05j)	 (9.84019e-06+0j)	 (9.84019e-06+0j)	 (9.81873e-07+0j)	 (9.81873e-07+0j)
 (-39.8875+0.05j)	 (9.84634e-06+0j)	 (9.84634e-06+0j)	 (1.10495e-06+0j)	 (1.10495e-06+0j)
 (-39.875+0.05j)	 (9.85249e-06+0j)	 (9.85249e-06+0j)	 (1.22811e-06+0j)	 (1.22811e-06+0j)
 (-39.8625+0.05j)	 (9.85865e-06+0j)	 (9.85865e-06+0j)	 (1.35134e-06+0j)	 (1.35134e-06+0j)
 (-39.85+0.05j)	 (9.86482e-06+0j)	 (9.86482e-06+0j)	 (1.47465e-06+0j)	 (1.47465e-06+0j)
 (-39.8375+0.05j)	 (9.87099e-06+0j)	 (9.87099e-06+0j)	 (1.59804e-06+0j)	 (1.59804e-06+0j)
 (-39.825+0.05j)	 (9.87717e-06+0j)	 (9.87717e-06+0j)	 (1.7215e-06+0j)	 (1.7215e-06+0j)
 (-39.8125+0.05j)	 (9.88335e-06+0j)	 (9.88335e-06+0j)	 (1.84505e-06+0j)	 (1.84505e-06+0j)
 (-39.8+0.05j)	 (9.88954e-06+0j)	 (9.88954e-06+0j)	 (1.96866e-06+0j)	 (1.96866e-06+0j)
 (-39.7875+0.05j)	 (9.89573e-06+0j)	 (9.89573e-06+0j)	 (2.09236e-06+0j)	 (2.09236e-06+0j)
 (-39.775+0.05j)	 (9.90194e-06+0j)	 (9.90194e-06+0j)	 (2.21614e-06+0j)	 (2.21614e-06+0j)
 (-39.7625+0.05j)	 (9.90814e-06+0j)	 (9.90814e-06+0j)	 (2.33999e-06+0j)	 (2.33999e-06+0j)
 (-39.75+0.05j)	 (9.91435e-06+0j)	 (9.91435e-06+0j)	 (2.46392e-06+0j)	 (2.46392e-06+0j)
 (-39.7375+0.05j)	 (9.92057e-06+0j)	 (9.92057e-06+0j)	 (2.58792e-06+0j)	 (2.58792e-06+0j)
 (-39.725+0.05j)	 (9.9268e-06+0j)	 (9.9268e-06+0j)	 (2.71201e-06+0j)	 (2.71201e-06+0j)
 (-39.7125+0.05j)	 (9.93303e-06+0j)	 (9.93303e-06+0j)	 (2.83617e-06+0j)	 (2.83617e-06+0j)
 (-39.7+0.05j)	 (9.93926e-06+0j)	 (9.93926e-06+0j)	 (2.96041e-06+0j)	 (2.96041e-06+0j)
 (-39.6875+0.05j)	 (9.94551e-06+0j)	 (9.94551e-06+0j)	 (3.08473e-06+0j)	 (3.08473e-06+0j)
 (-39.675+0.05j)	 (9.95175e-06+0j)	 (9.95175e-06+0j)	 (3.20913e-06+0j)	 (3.20913e-06+0j)
 (-39.6625+0.05j)	 (9.95801e-06+0j)	 (9.95801e-06+0j)	 (3.3336e-06+0j)	 (3.3336e-06+0j)
 (-39.65+0.05j)	 (9.96427e-06+0j)	 (9.96427e-06+0j)	 (3.45816e-06+0j)	 (3.45816e-06+0j)
 (-39.6375+0.05j)	 (9.97053e-06+0j)	 (9.97053e-06+0j)	 (3.58279e-06+0j)	 (3.58279e-06+0j)
 (-39.625+0.05j)	 (9.9768e-06+0j)	 (9.9768e-06+0j)	 (3.7075e-06+0j)	 (3.7075e-06+0j)
 (-39.6125+0.05j)	 (9.98308e-06+0j)	 (9.98308e-06+0j)	 (3.83229e-06+0j)	 (3.83229e-06+0j)
 (-39.6+0.05j)	 (9.98937e-06+0j)	 (9.98937e-06+0j)	 (3.95715e-06+0j)	 (3.95715e-06+0j)
 (-39.5875+0.05j)	 (9.99565e-06+0j)	 (9.99565e-06+0j)	 (4.0821e-06+0j)	 (4.0821e-06+0j)
 (-39.575+0.05j)	 (1.0002e-05+0j)	 (1.0002e-05+0j)	 (4.20712e-06+0j)	 (4.20712e-06+0j)
 (-39.5625+0.05j)	 (1.00083e-05+0j)	 (1.00083e-05+0j)	 (4.33223e-06+0j)	 (4.33223e-06+0j)
 (-39.55+0.05j)	 (1.00146e-05+0j)	 (1.00146e-05+0j)	 (4.45741e-06+0j)	 (4.45741e-06+0j)
 (-39.5375+0.05j)	 (1.00209e-05+0j)	 (1.00209e-05+0j)	 (4.58267e-06+0j)	 (4.58267e-06+0j)
