w	up_1	down_1	cumul_up_1	cumul_down_1	
 (-30+0.1j)	 (3.18629e-05+0j)	 (3.18629e-05+0j)	 (0+0j)	 (0+0j)
 (-29.975+0.1j)	 (3.1914e-05+0j)	 (3.1914e-05+0j)	 (7.9785e-07+0j)	 (7.9785e-07+0j)
 (-29.95+0.1j)	 (3.19652e-05+0j)	 (3.19652e-05+0j)	 (1.59698e-06+0j)	 (1.59698e-06+0j)
 (-29.925+0.1j)	 (3.20165e-05+0j)	 (3.20165e-05+0j)	 (2.39739e-06+0j)	 (2.39739e-06+0j)
 (-29.9+0.1j)	 (3.2068e-05+0j)	 (3.2068e-05+0j)	 (3.19909e-06+0j)	 (3.19909e-06+0j)
 (-29.875+0.1j)	 (3.21196e-05+0j)	 (3.21196e-05+0j)	 (4.00208e-06+0j)	 (4.00208e-06+0j)
 (-29.85+0.1j)	 (3.21713e-05+0j)	 (3.21713e-05+0j)	 (4.80637e-06+0j)	 (4.80637e-06+0j)
 (-29.825+0.1j)	 (3.22231e-05+0j)	 (3.22231e-05+0j)	 (5.61194e-06+0j)	 (5.61194e-06+0j)
 (-29.8+0.1j)	 (3.22751e-05+0j)	 (3.22751e-05+0j)	 (6.41882e-06+0j)	 (6.41882e-06+0j)
 (-29.775+0.1j)	 (3.23272e-05+0j)	 (3.23272e-05+0j)	 (7.227e-06+0j)	 (7.227e-06+0j)
 (-29.75+0.1j)	 (3.23794e-05+0j)	 (3.23794e-05+0j)	 (8.03648e-06+0j)	 (8.03648e-06+0j)
 (-29.725+0.1j)	 (3.24317e-05+0j)	 (3.24317e-05+0j)	 (8.84728e-06+0j)	 (8.84728e-06+0j)
 (-29.7+0.1j)	 (3.24842e-05+0j)	 (3.24842e-05+0j)	 (9.65938e-06+0j)	 (9.65938e-06+0j)
 (-29.675+0.1j)	 (3.25368e-05+0j)	 (3.25368e-05+0j)	 (1.04728e-05+0j)	 (1.04728e-05+0j)
 (-29.65+0.1j)	 (3.25895e-05+0j)	 (3.25895e-05+0j)	 (1.12875e-05+0j)	 (1.12875e-05+0j)
 (-29.625+0.1j)	 (3.26423e-05+0j)	 (3.26423e-05+0j)	 (1.21036e-05+0j)	 (1.21036e-05+0j)
 (-29.6+0.1j)	 (3.26953e-05+0j)	 (3.26953e-05+0j)	 (1.2921e-05+0j)	 (1.2921e-05+0j)
 (-29.575+0.1j)	 (3.27484e-05+0j)	 (3.27484e-05+0j)	 (1.37397e-05+0j)	 (1.37397e-05+0j)
 (-29.55+0.1j)	 (3.28017e-05+0j)	 (3.28017e-05+0j)	 (1.45597e-05+0j)	 (1.45597e-05+0j)
 (-29.525+0.1j)	 (3.28551e-05+0j)	 (3.28551e-05+0j)	 (1.53811e-05+0j)	 (1.53811e-05+0j)
 (-29.5+0.1j)	 (3.29086e-05+0j)	 (3.29086e-05+0j)	 (1.62038e-05+0j)	 (1.62038e-05+0j)
 (-29.475+0.1j)	 (3.29622e-05+0j)	 (3.29622e-05+0j)	 (1.70279e-05+0j)	 (1.70279e-05+0j)
 (-29.45+0.1j)	 (3.3016e-05+0j)	 (3.3016e-05+0j)	 (1.78533e-05+0j)	 (1.78533e-05+0j)
 (-29.425+0.1j)	 (3.30699e-05+0j)	 (3.30699e-05+0j)	 (1.868e-05+0j)	 (1.868e-05+0j)
 (-29.4+0.1j)	 (3.31239e-05+0j)	 (3.31239e-05+0j)	 (1.95081e-05+0j)	 (1.95081e-05+0j)
 (-29.375+0.1j)	 (3.31781e-05+0j)	 (3.31781e-05+0j)	 (2.03376e-05+0j)	 (2.03376e-05+0j)
 (-29.35+0.1j)	 (3.32324e-05+0j)	 (3.32324e-05+0j)	 (2.11684e-05+0j)	 (2.11684e-05+0j)
 (-29.325+0.1j)	 (3.32868e-05+0j)	 (3.32868e-05+0j)	 (2.20006e-05+0j)	 (2.20006e-05+0j)
 (-29.3+0.1j)	 (3.33414e-05+0j)	 (3.33414e-05+0j)	 (2.28341e-05+0j)	 (2.28341e-05+0j)
 (-29.275+0.1j)	 (3.33961e-05+0j)	 (3.33961e-05+0j)	 (2.3669e-05+0j)	 (2.3669e-05+0j)
 (-29.25+0.1j)	 (3.3451e-05+0j)	 (3.3451e-05+0j)	 (2.45053e-05+0j)	 (2.45053e-05+0j)
 (-29.225+0.1j)	 (3.35059e-05+0j)	 (3.35059e-05+0j)	 (2.53429e-05+0j)	 (2.53429e-05+0j)
 (-29.2+0.1j)	 (3.3561e-05+0j)	 (3.3561e-05+0j)	 (2.61819e-05+0j)	 (2.61819e-05+0j)
 (-29.175+0.1j)	 (3.36163e-05+0j)	 (3.36163e-05+0j)	 (2.70223e-05+0j)	 (2.70223e-05+0j)
 (-29.15+0.1j)	 (3.36717e-05+0j)	 (3.36717e-05+0j)	 (2.78641e-05+0j)	 (2.78641e-05+0j)
