w	up_1	down_1	cumul_up_1	cumul_down_1	
 (-30+0.12j)	 (4.04207e-05+0j)	 (4.04207e-05+0j)	 (0+0j)	 (0+0j)
 (-29.97+0.12j)	 (4.05004e-05+0j)	 (4.05004e-05+0j)	 (1.21501e-06+0j)	 (1.21501e-06+0j)
 (-29.94+0.12j)	 (4.05803e-05+0j)	 (4.05803e-05+0j)	 (2.43242e-06+0j)	 (2.43242e-06+0j)
 (-29.91+0.12j)	 (4.06604e-05+0j)	 (4.06604e-05+0j)	 (3.65223e-06+0j)	 (3.65223e-06+0j)
 (-29.88+0.12j)	 (4.07408e-05+0j)	 (4.07408e-05+0j)	 (4.87446e-06+0j)	 (4.87446e-06+0j)
 (-29.85+0.12j)	 (4.08214e-05+0j)	 (4.08214e-05+0j)	 (6.0991e-06+0j)	 (6.0991e-06+0j)
 (-29.82+0.12j)	 (4.09022e-05+0j)	 (4.09022e-05+0j)	 (7.32617e-06+0j)	 (7.32617e-06+0j)
 (-29.79+0.12j)	 (4.09833e-05+0j)	 (4.09833e-05+0j)	 (8.55567e-06+0j)	 (8.55567e-06+0j)
 (-29.76+0.12j)	 (4.10647e-05+0j)	 (4.10647e-05+0j)	 (9.78761e-06+0j)	 (9.78761e-06+0j)
 (-29.73+0.12j)	 (4.11463e-05+0j)	 (4.11463e-05+0j)	 (1.1022e-05+0j)	 (1.1022e-05+0j)
 (-29.7+0.12j)	 (4.12281e-05+0j)	 (4.12281e-05+0j)	 (1.22588e-05+0j)	 (1.22588e-05+0j)
 (-29.67+0.12j)	 (4.13101e-05+0j)	 (4.13101e-05+0j)	 (1.34981e-05+0j)	 (1.34981e-05+0j)
 (-29.64+0.12j)	 (4.13925e-05+0j)	 (4.13925e-05+0j)	 (1.47399e-05+0j)	 (1.47399e-05+0j)
 (-29.61+0.12j)	 (4.1475e-05+0j)	 (4.1475e-05+0j)	 (1.59842e-05+0j)	 (1.59842e-05+0j)
 (-29.58+0.12j)	 (4.15578e-05+0j)	 (4.15578e-05+0j)	 (1.72309e-05+0j)	 (1.72309e-05+0j)
 (-29.55+0.12j)	 (4.16409e-05+0j)	 (4.16409e-05+0j)	 (1.84801e-05+0j)	 (1.84801e-05+0j)
 (-29.52+0.12j)	 (4.17242e-05+0j)	 (4.17242e-05+0j)	 (1.97319e-05+0j)	 (1.97319e-05+0j)
 (-29.49+0.12j)	 (4.18078e-05+0j)	 (4.18078e-05+0j)	 (2.09861e-05+0j)	 (2.09861e-05+0j)
 (-29.46+0.12j)	 (4.18916e-05+0j)	 (4.18916e-05+0j)	 (2.22428e-05+0j)	 (2.22428e-05+0j)
 (-29.43+0.12j)	 (4.19757e-05+0j)	 (4.19757e-05+0j)	 (2.35021e-05+0j)	 (2.35021e-05+0j)
 (-29.4+0.12j)	 (4.206e-05+0j)	 (4.206e-05+0j)	 (2.47639e-05+0j)	 (2.47639e-05+0j)
 (-29.37+0.12j)	 (4.21446e-05+0j)	 (4.21446e-05+0j)	 (2.60282e-05+0j)	 (2.60282e-05+0j)
 (-29.34+0.12j)	 (4.22294e-05+0j)	 (4.22294e-05+0j)	 (2.72951e-05+0j)	 (2.72951e-05+0j)
 (-29.31+0.12j)	 (4.23145e-05+0j)	 (4.23145e-05+0j)	 (2.85646e-05+0j)	 (2.85646e-05+0j)
 (-29.28+0.12j)	 (4.23999e-05+0j)	 (4.23999e-05+0j)	 (2.98366e-05+0j)	 (2.98366e-05+0j)
 (-29.25+0.12j)	 (4.24855e-05+0j)	 (4.24855e-05+0j)	 (3.11111e-05+0j)	 (3.11111e-05+0j)
 (-29.22+0.12j)	 (4.25713e-05+0j)	 (4.25713e-05+0j)	 (3.23883e-05+0j)	 (3.23883e-05+0j)
 (-29.19+0.12j)	 (4.26575e-05+0j)	 (4.26575e-05+0j)	 (3.3668e-05+0j)	 (3.3668e-05+0j)
 (-29.16+0.12j)	 (4.27439e-05+0j)	 (4.27439e-05+0j)	 (3.49503e-05+0j)	 (3.49503e-05+0j)
 (-29.13+0.12j)	 (4.28306e-05+0j)	 (4.28306e-05+0j)	 (3.62352e-05+0j)	 (3.62352e-05+0j)
 (-29.1+0.12j)	 (4.29175e-05+0j)	 (4.29175e-05+0j)	 (3.75227e-05+0j)	 (3.75227e-05+0j)
 (-29.07+0.12j)	 (4.30047e-05+0j)	 (4.30047e-05+0j)	 (3.88129e-05+0j)	 (3.88129e-05+0j)
 (-29.04+0.12j)	 (4.30921e-05+0j)	 (4.30921e-05+0j)	 (4.01056e-05+0j)	 (4.01056e-05+0j)
 (-29.01+0.12j)	 (4.31799e-05+0j)	 (4.31799e-05+0j)	 (4.1401e-05+0j)	 (4.1401e-05+0j)
 (-28.98+0.12j)	 (4.32679e-05+0j)	 (4.32679e-05+0j)	 (4.26991e-05+0j)	 (4.26991e-05+0j)
 (-28.95+0.12j)	 (4.33562e-05+0j)	 (4.33562e-05+0j)	 (4.39998e-05+0j)	 (4.39998e-05+0j)
 (-28.92+0.12j)	 (4.34447e-05+0j)	 (4.34447e-05+0j)	 (4.53031e-05+0j)	 (4.53031e-05+0j)
 (-28.89+0.12j)	 (4.35335e-05+0j)	 (4.35335e-05+0j)	 (4.66091e-05+0j)	 (4.66091e-05+0j)
 (-28.86+0.12j)	 (4.36226e-05+0j)	 (4.36226e-05+0j)	 (4.79178e-05+0j)	 (4.79178e-05+0j)
 (-28.83+0.12j)	 (4.3712e-05+0j)	 (4.3712e-05+0j)	 (4.92291e-05+0j)	 (4.92291e-05+0j)
 (-28.8+0.12j)	 (4.38016e-05+0j)	 (4.38016e-05+0j)	 (5.05432e-05+0j)	 (5.05432e-05+0j)
