w	up_1	down_1	cumul_up_1	cumul_down_1	
 (-30+0.1j)	 (3.38562e-05+0j)	 (3.38562e-05+0j)	 (0+0j)	 (0+0j)
 (-29.975+0.1j)	 (3.3912e-05+0j)	 (3.3912e-05+0j)	 (8.47801e-07+0j)	 (8.47801e-07+0j)
 (-29.95+0.1j)	 (3.3968e-05+0j)	 (3.3968e-05+0j)	 (1.697e-06+0j)	 (1.697e-06+0j)
 (-29.925+0.1j)	 (3.40241e-05+0j)	 (3.40241e-05+0j)	 (2.5476e-06+0j)	 (2.5476e-06+0j)
 (-29.9+0.1j)	 (3.40804e-05+0j)	 (3.40804e-05+0j)	 (3.39961e-06+0j)	 (3.39961e-06+0j)
 (-29.875+0.1j)	 (3.41368e-05+0j)	 (3.41368e-05+0j)	 (4.25303e-06+0j)	 (4.25303e-06+0j)
 (-29.85+0.1j)	 (3.41933e-05+0j)	 (3.41933e-05+0j)	 (5.10787e-06+0j)	 (5.10787e-06+0j)
 (-29.825+0.1j)	 (3.425e-05+0j)	 (3.425e-05+0j)	 (5.96412e-06+0j)	 (5.96412e-06+0j)
 (-29.8+0.1j)	 (3.43068e-05+0j)	 (3.43068e-05+0j)	 (6.82179e-06+0j)	 (6.82179e-06+0j)
 (-29.775+0.1j)	 (3.43638e-05+0j)	 (3.43638e-05+0j)	 (7.68088e-06+0j)	 (7.68088e-06+0j)
 (-29.75+0.1j)	 (3.44209e-05+0j)	 (3.44209e-05+0j)	 (8.5414e-06+0j)	 (8.5414e-06+0j)
 (-29.725+0.1j)	 (3.44782e-05+0j)	 (3.44782e-05+0j)	 (9.40336e-06+0j)	 (9.40336e-06+0j)
 (-29.7+0.1j)	 (3.45356e-05+0j)	 (3.45356e-05+0j)	 (1.02667e-05+0j)	 (1.02667e-05+0j)
 (-29.675+0.1j)	 (3.45931e-05+0j)	 (3.45931e-05+0j)	 (1.11316e-05+0j)	 (1.11316e-05+0j)
 (-29.65+0.1j)	 (3.46508e-05+0j)	 (3.46508e-05+0j)	 (1.19978e-05+0j)	 (1.19978e-05+0j)
 (-29.625+0.1j)	 (3.47086e-05+0j)	 (3.47086e-05+0j)	 (1.28656e-05+0j)	 (1.28656e-05+0j)
 (-29.6+0.1j)	 (3.47666e-05+0j)	 (3.47666e-05+0j)	 (1.37347e-05+0j)	 (1.37347e-05+0j)
 (-29.575+0.1j)	 (3.48247e-05+0j)	 (3.48247e-05+0j)	 (1.46053e-05+0j)	 (1.46053e-05+0j)
 (-29.55+0.1j)	 (3.4883e-05+0j)	 (3.4883e-05+0j)	 (1.54774e-05+0j)	 (1.54774e-05+0j)
 (-29.525+0.1j)	 (3.49414e-05+0j)	 (3.49414e-05+0j)	 (1.6351e-05+0j)	 (1.6351e-05+0j)
 (-29.5+0.1j)	 (3.5e-05+0j)	 (3.5e-05+0j)	 (1.7226e-05+0j)	 (1.7226e-05+0j)
 (-29.475+0.1j)	 (3.50587e-05+0j)	 (3.50587e-05+0j)	 (1.81024e-05+0j)	 (1.81024e-05+0j)
 (-29.45+0.1j)	 (3.51175e-05+0j)	 (3.51175e-05+0j)	 (1.89804e-05+0j)	 (1.89804e-05+0j)
 (-29.425+0.1j)	 (3.51766e-05+0j)	 (3.51766e-05+0j)	 (1.98598e-05+0j)	 (1.98598e-05+0j)
 (-29.4+0.1j)	 (3.52357e-05+0j)	 (3.52357e-05+0j)	 (2.07407e-05+0j)	 (2.07407e-05+0j)
 (-29.375+0.1j)	 (3.5295e-05+0j)	 (3.5295e-05+0j)	 (2.1623e-05+0j)	 (2.1623e-05+0j)
 (-29.35+0.1j)	 (3.53545e-05+0j)	 (3.53545e-05+0j)	 (2.25069e-05+0j)	 (2.25069e-05+0j)
 (-29.325+0.1j)	 (3.54141e-05+0j)	 (3.54141e-05+0j)	 (2.33923e-05+0j)	 (2.33923e-05+0j)
 (-29.3+0.1j)	 (3.54739e-05+0j)	 (3.54739e-05+0j)	 (2.42791e-05+0j)	 (2.42791e-05+0j)
 (-29.275+0.1j)	 (3.55338e-05+0j)	 (3.55338e-05+0j)	 (2.51674e-05+0j)	 (2.51674e-05+0j)
 (-29.25+0.1j)	 (3.55939e-05+0j)	 (3.55939e-05+0j)	 (2.60573e-05+0j)	 (2.60573e-05+0j)
 (-29.225+0.1j)	 (3.56541e-05+0j)	 (3.56541e-05+0j)	 (2.69486e-05+0j)	 (2.69486e-05+0j)
 (-29.2+0.1j)	 (3.57145e-05+0j)	 (3.57145e-05+0j)	 (2.78415e-05+0j)	 (2.78415e-05+0j)
 (-29.175+0.1j)	 (3.5775e-05+0j)	 (3.5775e-05+0j)	 (2.87359e-05+0j)	 (2.87359e-05+0j)
 (-29.15+0.1j)	 (3.58357e-05+0j)	 (3.58357e-05+0j)	 (2.96318e-05+0j)	 (2.96318e-05+0j)
