w	up_1	down_1	cumul_up_1	cumul_down_1	
 (-15+0.05j)	 (7.45235e-05+0j)	 (7.45235e-05+0j)	 (0+0j)	 (0+0j)
 (-14.9875+0.05j)	 (7.46541e-05+0j)	 (7.46541e-05+0j)	 (9.33176e-07+0j)	 (9.33176e-07+0j)
 (-14.975+0.05j)	 (7.47851e-05+0j)	 (7.47851e-05+0j)	 (1.86799e-06+0j)	 (1.86799e-06+0j)
 (-14.9625+0.05j)	 (7.49164e-05+0j)	 (7.49164e-05+0j)	 (2.80444e-06+0j)	 (2.80444e-06+0j)
 (-14.95+0.05j)	 (7.5048e-05+0j)	 (7.5048e-05+0j)	 (3.74254e-06+0j)	 (3.74254e-06+0j)
 (-14.9375+0.05j)	 (7.51801e-05+0j)	 (7.51801e-05+0j)	 (4.6823e-06+0j)	 (4.6823e-06+0j)
 (-14.925+0.05j)	 (7.53124e-05+0j)	 (7.53124e-05+0j)	 (5.6237e-06+0j)	 (5.6237e-06+0j)
 (-14.9125+0.05j)	 (7.54452e-05+0j)	 (7.54452e-05+0j)	 (6.56677e-06+0j)	 (6.56677e-06+0j)
 (-14.9+0.05j)	 (7.55783e-05+0j)	 (7.55783e-05+0j)	 (7.51149e-06+0j)	 (7.51149e-06+0j)
 (-14.8875+0.05j)	 (7.57117e-05+0j)	 (7.57117e-05+0j)	 (8.45789e-06+0j)	 (8.45789e-06+0j)
 (-14.875+0.05j)	 (7.58455e-05+0j)	 (7.58455e-05+0j)	 (9.40596e-06+0j)	 (9.40596e-06+0j)
 (-14.8625+0.05j)	 (7.59797e-05+0j)	 (7.59797e-05+0j)	 (1.03557e-05+0j)	 (1.03557e-05+0j)
 (-14.85+0.05j)	 (7.61142e-05+0j)	 (7.61142e-05+0j)	 (1.13071e-05+0j)	 (1.13071e-05+0j)
 (-14.8375+0.05j)	 (7.62491e-05+0j)	 (7.62491e-05+0j)	 (1.22602e-05+0j)	 (1.22602e-05+0j)
 (-14.825+0.05j)	 (7.63843e-05+0j)	 (7.63843e-05+0j)	 (1.32151e-05+0j)	 (1.32151e-05+0j)
 (-14.8125+0.05j)	 (7.65199e-05+0j)	 (7.65199e-05+0j)	 (1.41715e-05+0j)	 (1.41715e-05+0j)
 (-14.8+0.05j)	 (7.66559e-05+0j)	 (7.66559e-05+0j)	 (1.51297e-05+0j)	 (1.51297e-05+0j)
 (-14.7875+0.05j)	 (7.67923e-05+0j)	 (7.67923e-05+0j)	 (1.60897e-05+0j)	 (1.60897e-05+0j)
 (-14.775+0.05j)	 (7.6929e-05+0j)	 (7.6929e-05+0j)	 (1.70513e-05+0j)	 (1.70513e-05+0j)
 (-14.7625+0.05j)	 (7.70661e-05+0j)	 (7.70661e-05+0j)	 (1.80146e-05+0j)	 (1.80146e-05+0j)
 (-14.75+0.05j)	 (7.72035e-05+0j)	 (7.72035e-05+0j)	 (1.89796e-05+0j)	 (1.89796e-05+0j)
 (-14.7375+0.05j)	 (7.73414e-05+0j)	 (7.73414e-05+0j)	 (1.99464e-05+0j)	 (1.99464e-05+0j)
 (-14.725+0.05j)	 (7.74796e-05+0j)	 (7.74796e-05+0j)	 (2.09149e-05+0j)	 (2.09149e-05+0j)
 (-14.7125+0.05j)	 (7.76182e-05+0j)	 (7.76182e-05+0j)	 (2.18851e-05+0j)	 (2.18851e-05+0j)
 (-14.7+0.05j)	 (7.77571e-05+0j)	 (7.77571e-05+0j)	 (2.28571e-05+0j)	 (2.28571e-05+0j)
 (-14.6875+0.05j)	 (7.78965e-05+0j)	 (7.78965e-05+0j)	 (2.38308e-05+0j)	 (2.38308e-05+0j)
