#mu n n_h sigma_xx sigma_yy sigma_xy	#mu          density      sigma1_xx       sigma2_xx       sigma1_xy       sigma2_xy       alpha1_xx       alpha2_xx       alpha1_xy       alpha2_xy       beta1_xx        beta2_xx        beta1_xy        beta2_xy
-3.6791979949874687 0.9999995167499941 0.0009324932177374226 6.884002291127564e-41 6.884002291127565e-41 3.1719471081962024e-59	-3.68000000  0.99999955   8.97834011e-04  8.97834011e-04 -1.03725673e-03 -1.03725673e-03  6.13624637e-04  6.13624637e-04 -1.72620289e-03 -1.72620289e-03  3.73333888e-03  3.73333888e-03 -9.04761405e-03 -9.04761405e-03 
-3.6591478696741855 0.9999964154730207 0.0009730413640611387 1.0857475343085304e-40 1.0857475343085298e-40 7.561640173018751e-59	-3.66000000  0.99999671   1.45298202e-03  1.45298202e-03 -2.64161785e-03 -2.64161785e-03  1.17953610e-03  1.17953610e-03 -4.78854001e-03 -4.78854001e-03  6.54359100e-03  6.54359100e-03 -2.33606410e-02 -2.33606410e-02 
-3.6390977443609023 0.9999736080606481 0.0010535903472619597 1.8638366630174134e-40 1.863836663017412e-40 2.057943863537131e-58	-3.64000000  0.99997586   2.53450889e-03  2.53450889e-03 -7.16870479e-03 -7.16870479e-03  2.28177800e-03  2.28177800e-03 -1.25658437e-02 -1.25658437e-02  1.16707520e-02  1.16707520e-02 -5.62093342e-02 -5.62093342e-02 
-3.619047619047619 0.9998154530566096 0.0012277157790546748 3.473322990810969e-40 3.473322990810969e-40 6.133129160035487e-58	-3.62000000  0.99983120   4.64292573e-03  4.64292573e-03 -1.90465323e-02 -1.90465323e-02  4.10792636e-03  4.10792636e-03 -2.78744616e-02 -2.78744616e-02  1.99922166e-02  1.99922166e-02 -1.17606398e-01 -1.17606398e-01 
-3.598997493734336 0.999009426495435 0.0016021158745909447 6.644197146494304e-40 6.644197146494296e-40 1.7198109244207087e-57	-3.60000000  0.99907782   8.47136681e-03  8.47136681e-03 -4.59108013e-02 -4.59108013e-02  6.45264512e-03  6.45264512e-03 -4.86532966e-02 -4.86532966e-02  3.14552273e-02  3.14552273e-02 -2.04342578e-01 -2.04342578e-01 
-3.5789473684210527 0.9970423099351118 0.002282282858780252 1.1780518223913091e-39 1.1780518223913073e-39 3.7953246285607376e-57	-3.58000000  0.99716683   1.44149725e-02  1.44149725e-02 -9.28274275e-02 -9.28274275e-02  8.78468027e-03  8.78468027e-03 -6.90844094e-02 -6.90844094e-02  4.57237481e-02  4.57237481e-02 -3.10040293e-01 -3.10040293e-01 
-3.5588972431077694 0.9944917735171692 0.003248719322849369 1.8383594960543275e-39 1.8383594960543252e-39 6.492893812354606e-57	-3.56000000  0.99463711   2.20576921e-02  2.20576921e-02 -1.54137932e-01 -1.54137932e-01  1.05756733e-02  1.05756733e-02 -8.34434916e-02 -8.34434916e-02  6.31023272e-02  6.31023272e-02 -4.40343262e-01 -4.40343262e-01 
-3.5388471177944862 0.9918150455404886 0.004396667701663342 2.5726134874519225e-39 2.5726134874519264e-39 9.395395090874857e-57	-3.54000000  0.99197006   3.06919118e-02  3.06919118e-02 -2.21849499e-01 -2.21849499e-01  1.16272671e-02  1.16272671e-02 -8.98958376e-02 -8.98958376e-02  8.36091259e-02  8.36091259e-02 -5.97527176e-01 -5.97527176e-01 
-3.518796992481203 0.9891077723892556 0.005642949857471674 3.3383049596409885e-39 3.338304959640985e-39 1.2326376545500442e-56	-3.52000000  0.98927072   3.98090814e-02  3.98090814e-02 -2.91370982e-01 -2.91370982e-01  1.21338722e-02  1.21338722e-02 -9.14591227e-02 -9.14591227e-02  1.06336961e-01  1.06336961e-01 -7.70786538e-01 -7.70786538e-01 
-3.49874686716792 0.9863836486791804 0.006943556976813554 4.116435934145825e-39 4.116435934145826e-39 1.5231768276556125e-56	-3.50000000  0.98655435   4.91334116e-02  4.91334116e-02 -3.60734643e-01 -3.60734643e-01  1.23469035e-02  1.23469035e-02 -9.09759243e-02 -9.09759243e-02  1.30283472e-01  1.30283472e-01 -9.49898943e-01 -9.49898943e-01 
-3.4786967418546366 0.9836443604971407 0.008277375965111964 4.898699021723075e-39 4.8986990217230714e-39 1.8094993801111182e-56	-3.48000000  0.98382287   5.85338799e-02  5.85338799e-02 -4.29242307e-01 -4.29242307e-01  1.24193428e-02  1.24193428e-02 -8.97538604e-02 -8.97538601e-02  1.54791228e-01  1.54791228e-01 -1.12938996e+00 -1.12938996e+00 
-3.4586466165413534 0.9808899532308772 0.009634201603111302 5.6812401490318376e-39 5.6812401490318435e-39 2.091029555146407e-56	-3.46000000  0.98107636   6.79495869e-02  6.79495869e-02 -4.96654968e-01 -4.96654968e-01  1.24255381e-02  1.24255381e-02 -8.82714233e-02 -8.82714247e-02  1.79510903e-01  1.79510903e-01 -1.30695388e+00 -1.30695389e+00 
-3.43859649122807 0.9781202481473933 0.011008951536062704 6.462131624273964e-39 6.462131624273971e-39 2.367528664408591e-56	-3.44000000  0.97831463   7.73510564e-02  7.73510564e-02 -5.62883811e-01 -5.62883811e-01  1.23992742e-02  1.23992742e-02 -8.66892424e-02 -8.66892398e-02  2.04272489e-01  2.04272489e-01 -1.48172485e+00 -1.48172483e+00 
-3.418546365914787 0.9753350257164488 0.012399054223772911 7.240337950043869e-39 7.240337950043868e-39 2.6388744157231455e-56	-3.42000000  0.97553748   8.67230648e-02  8.67230647e-02 -6.27889390e-01 -6.27889385e-01  1.23560821e-02  1.23560819e-02 -8.50612543e-02 -8.50612462e-02  2.28993937e-01  2.28993936e-01 -1.65338032e+00 -1.65338030e+00 
-3.398496240601504 0.9725340687670592 0.01380324240323549 8.015266779049583e-39 8.015266779049575e-39 2.9049887528453624e-56	-3.40000000  0.97274469   9.60572003e-02  9.60572003e-02 -6.91649507e-01 -6.91649507e-01  1.23034555e-02  1.23034561e-02 -8.34064356e-02 -8.34064694e-02  2.53634099e-01  2.53634101e-01 -1.82178710e+00 -1.82178724e+00 
