#mu n n_h sigma_xx sigma_yy sigma_xy	#mu          density      sigma1_xx       sigma2_xx       sigma1_xy       sigma2_xy       alpha1_xx       alpha2_xx       alpha1_xy       alpha2_xy       beta1_xx        beta2_xx        beta1_xy        beta2_xy
-2.7769423558897244 0.8763076264748539 0.06777997878974439 2.9938048975085644e-38 2.993804897508568e-38 8.253443197126458e-56	-2.78000000  0.87683498   3.60259206e-01  3.60258732e-01 -1.97656299e+00 -1.97653953e+00  1.01944331e-02  1.01944299e-02 -2.26494776e-02 -2.26493604e-02  9.51749655e-01  9.51751154e-01 -5.21465817e+00 -5.21473243e+00 
-2.756892230576441 0.8728330087246272 0.0701313167066634 3.0575956193024747e-38 3.0575956193024747e-38 8.320275530661137e-56	-2.76000000  0.87337351   3.67949431e-01  3.67949018e-01 -1.99281704e+00 -1.99279623e+00  1.01276560e-02  1.01277139e-02 -2.02729323e-02 -2.02758979e-02  9.72072689e-01  9.72073997e-01 -5.25748268e+00 -5.25754861e+00 
-2.736842105263158 0.8693296771714776 0.07255190539529949 3.1209689296061705e-38 3.120968929606173e-38 8.379530266000634e-56	-2.74000000  0.86988354   3.75589270e-01  3.75589062e-01 -2.00725690e+00 -2.00724611e+00  1.00613564e-02  1.00614590e-02 -1.78592517e-02 -1.78644647e-02  9.92263034e-01  9.92263690e-01 -5.29552738e+00 -5.29556169e+00 
-2.7167919799498748 0.8657969697961841 0.0750469759443665 3.183927381860234e-38 3.1839273818602366e-38 8.431070430327684e-56	-2.72000000  0.86636437   3.83179144e-01  3.83179211e-01 -2.01985553e+00 -2.01985840e+00  9.99558943e-03  9.99570874e-03 -1.54071827e-02 -1.54132199e-02  1.01232164e+00  1.01232143e+00 -5.32871085e+00 -5.32870197e+00 
-2.6967418546365916 0.8622341627167479 0.07762230207094571 3.246473519026476e-38 3.2464735190264723e-38 8.474748468451387e-56	-2.70000000  0.86281532   3.90719516e-01  3.90719824e-01 -2.03058510e+00 -2.03060028e+00  9.93042248e-03  9.93052493e-03 -1.29153898e-02 -1.29205507e-02  1.03224957e+00  1.03224860e+00 -5.35694719e+00 -5.35689951e+00 
-2.6766917293233083 0.8586404628691368 0.0802842088455321 3.3086102090752834e-38 3.308610209075275e-38 8.510413956782778e-56	-2.68000000  0.85923561   3.98210866e-01  3.98211299e-01 -2.03941591e+00 -2.03943782e+00  9.86594103e-03  9.86599568e-03 -1.03824402e-02 -1.03851574e-02  1.05204815e+00  1.05204680e+00 -5.38014927e+00 -5.38008054e+00 
-2.656641604010025 0.8550150117607356 0.08303959151102873 3.3703410664208425e-38 3.3703410664208503e-38 8.537920496456446e-56	-2.66000000  0.85562445   4.05653686e-01  4.05654097e-01 -2.04631566e+00 -2.04633692e+00  9.80224852e-03  9.80223600e-03 -7.80670107e-03 -7.80598629e-03  1.07171896e+00  1.07171768e+00 -5.39823042e+00 -5.39816399e+00 
-2.636591478696742 0.8513569000835033 0.0858959680500896 3.4316709578130275e-38 3.4316709578130144e-38 8.557129536147768e-56	-2.64000000  0.85198099   4.13048505e-01  4.13048773e-01 -2.05124954e+00 -2.05126380e+00  9.73945365e-03  9.73937290e-03 -5.18613102e-03 -5.18191348e-03  1.09126379e+00  1.09126297e+00 -5.41110337e+00 -5.41105910e+00 
-2.6165413533834587 0.8476651918166538 0.08886158053069805 3.4926065384926934e-38 3.492606538492688e-38 8.56791004494125e-56	-2.62000000  0.84830430   4.20395949e-01  4.20396014e-01 -2.05418111e+00 -2.05418504e+00  9.67764318e-03  9.67751273e-03 -2.51803089e-03 -2.51123169e-03  1.11068445e+00  1.11068426e+00 -5.41867648e+00 -5.41866447e+00 
-2.5964912280701755 0.8439389537920798 0.09194554959260942 3.5531565344013285e-38 3.553156534401326e-38 8.570133254865822e-56	-2.60000000  0.84459347   4.27696805e-01  4.27696677e-01 -2.05507328e+00 -2.05506706e+00  9.61685342e-03  9.61670592e-03  2.01040646e-04  2.08766823e-04  1.12998257e+00  1.12998297e+00 -5.42084982e+00 -5.42086885e+00 
-2.5764411027568923 0.8401772792915981 0.09515807540295207 3.61333119966035e-38 3.613331199660348e-38 8.563661622280073e-56	-2.58000000  0.84084755   4.34952051e-01  4.34951789e-01 -2.05388849e+00 -2.05387503e+00  9.55707196e-03  9.55694381e-03  2.97490095e-03  2.98167364e-03  1.14915954e+00  1.14916033e+00 -5.41751411e+00 -5.41755453e+00 
-2.556390977443609 0.8363792831374177 0.09851066307038263 3.673140450176032e-38 3.6731404501760337e-38 8.54833303655486e-56	-2.56000000  0.83706562   4.42162782e-01  4.42162468e-01 -2.05058749e+00 -2.05057084e+00  9.49830244e-03  9.49822291e-03  5.80683580e-03  5.81110358e-03  1.16821688e+00  1.16821780e+00 -5.40855496e+00 -5.40860369e+00 
-2.536340852130326 0.8325440433300529 0.10201633211623094 3.732591090454842e-38 3.7325910904548406e-38 8.523946819979452e-56	-2.54000000  0.83324678   4.49330033e-01  4.49329737e-01 -2.04512690e+00 -2.04511082e+00  9.44068171e-03  9.44066561e-03  8.69864220e-03  8.69956985e-03  1.18715697e+00  1.18715780e+00 -5.39386041e+00 -5.39390578e+00 
-2.5162907268170427 0.8286704901892918 0.10568976918769991 3.791685208130502e-38 3.791685208130502e-38 8.490264212391747e-56	-2.52000000  0.82939002   4.56454574e-01  4.56454342e-01 -2.03745739e+00 -2.03744447e+00  9.38455620e-03  9.38460248e-03  1.16507135e-02  1.16482826e-02  1.20598379e+00  1.20598440e+00 -5.37332533e+00 -5.37335988e+00 
-2.4962406015037595 0.8247573017341762 0.10954743499180801 3.8504228070405343e-38 3.8504228070405374e-38 8.447033864784757e-56	-2.50000000  0.82549411   4.63536918e-01  4.63536769e-01 -2.02752490e+00 -2.02751625e+00  9.33038059e-03  9.33047610e-03  1.46639735e-02  1.46588150e-02  1.22470278e+00  1.22470314e+00 -5.34684444e+00 -5.34686553e+00 
-2.4761904761904763 0.8208029133395299 0.11360774088906622 3.9088097559827373e-38 3.908809755982738e-38 8.394034493769371e-56	-2.48000000  0.82155757   4.70577737e-01  4.70577665e-01 -2.01527554e+00 -2.01527109e+00  9.27841251e-03  9.27853833e-03  1.77427067e-02  1.77357864e-02  1.24331930e+00  1.24331943e+00 -5.31429336e+00 -5.31430212e+00 
-2.456140350877193 0.8168057112146363 0.11789147834768329 3.9668663798913676e-38 3.966866379891341e-38 8.331099787834116e-56	-2.46000000  0.81757875   4.77578564e-01  4.77578553e-01 -2.00066116e+00 -2.00066012e+00  9.22845247e-03  9.22859007e-03  2.08952449e-02  2.08875452e-02  1.26183633e+00  1.26183629e+00 -5.27551116e+00 -5.27551075e+00 
-2.43609022556391 0.8127643116304424 0.1224225690837883 4.024626690414545e-38 4.024626690414532e-38 8.258084514463964e-56	-2.44000000  0.81355615   4.84542196e-01  4.84542225e-01 -1.98363882e+00 -1.98364010e+00  9.18005634e-03  9.18019154e-03  2.41300350e-02  2.41223344e-02  1.28025388e+00  1.28025375e+00 -5.23030605e+00 -5.23030015e+00 
-2.4160401002506267 0.8086776423696191 0.12722889321648842 4.0821219097961685e-38 4.0821219097961685e-38 8.174774810277937e-56	-2.42000000  0.80948858   4.91472009e-01  4.91472059e-01 -1.96416032e+00 -1.96416291e+00  9.13331925e-03  9.13344362e-03  2.74495366e-02  2.74423214e-02  1.29857212e+00  1.29857195e+00 -5.17849080e+00 -5.17848254e+00 
-2.3959899749373434 0.8045445903808767 0.1323427693088727 4.1393584855845526e-38 4.139358485584557e-38 8.0808206440242e-56	-2.40000000  0.80537501   4.98370282e-01  4.98370339e-01 -1.94215842e+00 -1.94216147e+00  9.08950518e-03  9.08961537e-03  3.08496460e-02  3.08431329e-02  1.31679692e+00  1.31679676e+00 -5.11991931e+00 -5.11991086e+00 
-2.3759398496240602 0.8003633902317291 0.13780107058715468 4.196317208431164e-38 4.1963172084311687e-38 7.975788603943079e-56	-2.38000000  0.80121401   5.05237112e-01  5.05237165e-01 -1.91754528e+00 -1.91754818e+00  9.05039531e-03  9.05049131e-03  3.43293513e-02  3.43235737e-02  1.33494201e+00  1.33494187e+00 -5.05447678e+00 -5.05446935e+00 
-2.355889724310777 0.7961314017210772 0.14364584892998644 4.252989837869262e-38 4.252989837869262e-38 7.8593244179141505e-56	-2.36000000  0.79700322   5.12071956e-01  5.12071998e-01 -1.89023189e+00 -1.89023420e+00  9.01640106e-03  9.01648421e-03  3.79021230e-02  3.78970367e-02  1.35302251e+00  1.35302240e+00 -4.98201337e+00 -4.98200735e+00 
-2.335839598997494 0.7918457930103923 0.1499265418608714 4.309425017066345e-38 4.3094250170663425e-38 7.731250399119017e-56	-2.34000000  0.79273974   5.18877443e-01  5.18877470e-01 -1.86015171e+00 -1.86015315e+00  8.98565833e-03  8.98572974e-03  4.15918476e-02  4.15874218e-02  1.37104437e+00  1.37104429e+00 -4.90228572e+00 -4.90228096e+00 
-2.3157894736842106 0.7875046190296178 0.1567032958808366 4.3657206139170284e-38 4.365720613917034e-38 7.591425846435449e-56	-2.32000000  0.78842118   5.25661276e-01  5.25661286e-01 -1.82725601e+00 -1.82725641e+00  8.95643234e-03  8.95649197e-03  4.54109245e-02  4.54071963e-02  1.38900310e+00  1.38900303e+00 -4.81498938e+00 -4.81498538e+00 
-2.2957393483709274 0.7831068764082739 0.16404900917487317 4.4219425754824075e-38 4.4219425754824153e-38 7.439473333927049e-56	-2.30000000  0.78404628   5.32432119e-01  5.32432112e-01 -1.79147405e+00 -1.79147339e+00  8.93112002e-03  8.93116668e-03  4.93472796e-02  4.93443553e-02  1.40689945e+00  1.40689939e+00 -4.71986535e+00 -4.71986152e+00 
-2.275689223057644 0.7786509251795967 0.1720490170922425 4.478058560078615e-38 4.4780585600785917e-38 7.274731145542885e-56	-2.28000000  0.77961387   5.39192520e-01  5.39192499e-01 -1.75268340e+00 -1.75268186e+00  8.91595996e-03  8.91599225e-03  5.33871902e-02  5.33851851e-02  1.42475661e+00  1.42475655e+00 -4.61674444e+00 -4.61674047e+00 
-2.255639097744361 0.7741329322566078 0.18080249713432495 4.534006171545938e-38 4.534006171545944e-38 7.096584784512243e-56	-2.26000000  0.77512096   5.45939064e-01  5.45939036e-01 -1.71074024e+00 -1.71073826e+00  8.91420435e-03  8.91422219e-03  5.75521336e-02  5.75510660e-02  1.44261267e+00  1.44261261e+00 -4.50544221e+00 -4.50543834e+00 
-2.235588972431078 0.7695478242617235 0.19043156253385632 4.589857050181527e-38 4.589857050181526e-38 6.904766473910755e-56	-2.24000000  0.77056261   5.52674045e-01  5.52674019e-01 -1.66554167e+00 -1.66553990e+00  8.92125021e-03  8.92125607e-03  6.18913717e-02  6.18910787e-02  1.46049046e+00  1.46049041e+00 -4.38562756e+00 -4.38562470e+00 
-2.2155388471177946 0.7648922531666767 0.20109554326463147 4.6458474598714233e-38 4.645847459871427e-38 6.699109135608707e-56	-2.22000000  0.76593454   5.59415268e-01  5.59415253e-01 -1.61702559e+00 -1.61702463e+00  8.93239001e-03  8.93238845e-03  6.64250229e-02  6.64251928e-02  1.47838787e+00  1.47838785e+00 -4.25686633e+00 -4.25686549e+00 
-2.1954887218045114 0.7601653065418834 0.21299821531411872 4.702160190752945e-38 4.702160190752941e-38 6.479007496311984e-56	-2.20000000  0.76123518   5.66186344e-01  5.66186344e-01 -1.56508644e+00 -1.56508647e+00  8.95674083e-03  8.95673630e-03  7.11220599e-02  7.11223942e-02  1.49631828e+00  1.49631829e+00 -4.11879987e+00 -4.11880112e+00 
-2.175438596491228 0.7553647207681157 0.2263861472772794 4.758743132545121e-38 4.758743132545124e-38 6.243444908127029e-56	-2.18000000  0.75646330   5.72996513e-01  5.72996521e-01 -1.50952896e+00 -1.50952953e+00  9.01550577e-03  9.01550089e-03  7.59659796e-02  7.59663185e-02  1.51435744e+00  1.51435747e+00 -3.97118273e+00 -3.97118474e+00 
-2.155388471177945 0.7504833967662197 0.24156345442079402 4.815540697494109e-38 4.8155406974941e-38 5.991678331993282e-56	-2.16000000  0.75161353   5.79845079e-01  5.79845084e-01 -1.45015401e+00 -1.45015439e+00  9.12213320e-03  9.12212964e-03  8.10097156e-02  8.10099598e-02  1.53262908e+00  1.53262909e+00 -3.81370962e+00 -3.81371072e+00 
-2.1353383458646618 0.7455125811355545 0.25894711049450253 4.872936314433157e-38 4.872936314433165e-38 5.723477871684173e-56	-2.14000000  0.74667689   5.86759391e-01  5.86759391e-01 -1.38685419e+00 -1.38685412e+00  9.27989315e-03  9.27989255e-03  8.62995534e-02  8.62995837e-02  1.55126264e+00  1.55126264e+00 -3.64596573e+00 -3.64596558e+00 
-2.1152882205513786 0.740448272591084 0.27913760641991914 4.931739394437508e-38 4.931739394437499e-38 5.43840435166334e-56	-2.12000000  0.74164720   5.93819796e-01  5.93819794e-01 -1.31955071e+00 -1.31955055e+00  9.52385522e-03  9.52385691e-03  9.17463219e-02  9.17461875e-02  1.57045815e+00  1.57045814e+00 -3.46777561e+00 -3.46777508e+00 
-2.0952380952380953 0.7352897305883634 0.3029606112787384 4.992731055673548e-38 4.992731055673557e-38 5.135465107861139e-56	-2.10000000  0.73652345   6.01140533e-01  6.01140533e-01 -1.24810297e+00 -1.24810299e+00  9.97550892e-03  9.97550977e-03  9.70786208e-02  9.70785614e-02  1.59071741e+00  1.59071741e+00 -3.27986644e+00 -3.27986625e+00 
-2.075187969924812 0.7300290913681331 0.33152673454554676 5.056899226740708e-38 5.056899226740714e-38 4.814372044643521e-56	-2.08000000  0.73130132   6.08879181e-01  6.08879181e-01 -1.17251924e+00 -1.17251927e+00  1.08753379e-02  1.08753374e-02  1.01658433e-01  1.01658479e-01  1.61314557e+00  1.61314557e+00 -3.08502514e+00 -3.08502528e+00 
-2.055137844611529 0.724642274579711 0.366421931290069 5.127185563335424e-38 5.12718556333543e-38 4.4778157370986685e-56	-2.06000000  0.72596235   6.17388488e-01  6.17388488e-01 -1.09358426e+00 -1.09358424e+00  1.26449056e-02  1.26449055e-02  1.03672709e-01  1.03672719e-01  1.63971607e+00  1.63971607e+00 -2.89040684e+00 -2.89040691e+00 
-2.0350877192982457 0.719053521635665 0.40978651853667475 5.21128716947306e-38 5.21128716947306e-38 4.136394492512022e-56	-2.04000000  0.72045250   6.27500947e-01  6.27500947e-01 -1.01398717e+00 -1.01398717e+00  1.59719222e-02  1.59719224e-02  9.90072009e-02  9.90071884e-02  1.67329579e+00  1.67329579e+00 -2.70960286e+00 -2.70960281e+00 
-2.0150375939849625 0.7128507172967893 0.46277224417280094 5.324829571040651e-38 5.324829571040662e-38 3.8241395069216916e-56	-2.02000000  0.71450255   6.40751370e-01  6.40751370e-01 -9.40023477e-01 -9.40023476e-01  2.14388503e-02  2.14388503e-02  8.37448856e-02  8.37448891e-02  1.71649397e+00  1.71649397e+00 -2.55530481e+00 -2.55530481e+00 
-1.9949874686716793 0.7045118504049318 0.5215341602736528 5.489129034766724e-38 5.489129034766727e-38 3.605900397826978e-56	-2.00000000  0.70690378   6.59184958e-01  6.59184958e-01 -8.82449136e-01 -8.82449136e-01  2.85468795e-02  2.85468795e-02  6.22586046e-02  6.22586041e-02  1.76942511e+00  1.76942511e+00 -2.41760370e+00 -2.41760370e+00 
-1.974937343358396 0.6931866923272294 0.5825291915925319 5.71120390843099e-38 5.711203908430987e-38 3.4948395758521364e-56	-1.98000000  0.69624397   6.83977288e-01  6.83977288e-01 -8.47058820e-01 -8.47058820e-01  3.58032541e-02  3.58032540e-02  4.48064964e-02  4.48064976e-02  1.83147165e+00  1.83147165e+00 -2.28123432e+00 -2.28123431e+00 
-1.954887218045113 0.6804325795212823 0.6534836049661297 5.974942105858651e-38 5.974942105858645e-38 3.40974823445688e-56	-1.96000000  0.68375576   7.14080931e-01  7.14080931e-01 -8.21800916e-01 -8.21800915e-01  4.16673034e-02  4.16673034e-02  4.08747736e-02  4.08747740e-02  1.90381204e+00  1.90381204e+00 -2.14976789e+00 -2.14976789e+00 
-1.9348370927318297 0.6670650818833023 0.7466370869394473 6.262790385979202e-38 6.262790385979203e-38 3.278806597658145e-56	-1.94000000  0.67055588   7.47695530e-01  7.47695530e-01 -7.90827490e-01 -7.90827495e-01  4.56076506e-02  4.56076520e-02  5.33970845e-02  5.33970629e-02  1.98686759e+00  1.98686760e+00 -2.01930246e+00 -2.01930256e+00 
-1.9147869674185465 0.6531808504255747 0.8767182842382217 6.565263466203536e-38 6.565263466203527e-38 3.0685546375858457e-56	-1.92000000  0.65684328   7.83535868e-01  7.83535869e-01 -7.43889862e-01 -7.43889886e-01  4.82942265e-02  4.82942305e-02  7.80278402e-02  7.80277658e-02  2.07862372e+00  2.07862374e+00 -1.86251851e+00 -1.86251887e+00 
-1.8947368421052633 0.6386991420282112 1.0701981378172873 6.878984082793962e-38 6.878984082793938e-38 2.7597772127825306e-56	-1.90000000  0.64256561   8.20957555e-01  8.20957553e-01 -6.74759831e-01 -6.74759819e-01  5.05215538e-02  5.05215553e-02  1.11499718e-01  1.11499660e-01  2.17696571e+00  2.17696573e+00 -1.65075724e+00 -1.65075769e+00 
-1.87468671679198 0.6234687644644086 1.390708183392407 7.205183004925324e-38 7.205183004925341e-38 2.3299340485609164e-56	-1.88000000  0.62758918   8.59899993e-01  8.59899973e-01 -5.77795642e-01 -5.77795348e-01  5.27705567e-02  5.27705428e-02  1.53822738e-01  1.53822868e-01  2.28079606e+00  2.28079605e+00 -1.36002354e+00 -1.36002359e+00 
-1.8546365914786969 0.607245308330407 2.03688418763246 7.547315370512635e-38 7.547315370512643e-38 1.745453425659334e-56	-1.86000000  0.61170318   9.00670071e-01  9.00670016e-01 -4.45471522e-01 -4.45470664e-01  5.53291448e-02  5.53291015e-02  2.07103461e-01  2.07103913e-01  2.38968981e+00  2.38968973e+00 -9.70340067e-01 -9.70339341e-01 
-1.8345864661654137 0.5895429841215184 4.076397043577432 7.908876983844485e-38 7.90887698384448e-38 9.577292894882231e-57	-1.84000000  0.59451274   9.43589320e-01  9.43589215e-01 -2.68281147e-01 -2.68279505e-01  5.80907619e-02  5.80906988e-02  2.70815101e-01  2.70815616e-01  2.50278360e+00  2.50278351e+00 -4.74907300e-01 -4.74906879e-01 
-1.8145363408521304 0.5694321777512967 -49.7549718940108 8.291352955331211e-38 8.29135295533124e-38 -8.623904273344975e-58	-1.82000000  0.57521002   9.88689813e-01  9.88689616e-01 -3.80692000e-02 -3.80661853e-02  6.00687786e-02  6.00688387e-02  3.30621843e-01  3.30620493e-01  2.61743969e+00  2.61744000e+00  9.44635571e-02  9.44576043e-02 
-1.7944862155388472 0.5469007534309627 -3.5115868254067903 8.684371222747292e-38 8.684371222747302e-38 -1.3404880736114846e-56	-1.80000000  0.55316318   1.03514788e+00  1.03514744e+00  2.40450141e-01  2.40456481e-01  5.99456914e-02  5.99462746e-02  3.63510281e-01  3.63502592e-01  2.73057846e+00  2.73058051e+00  6.89914983e-01  6.89887115e-01 
-1.774436090225564 0.5257035417971194 -1.9870590322487292 9.060780356848525e-38 9.060780356848568e-38 -2.5787547581622397e-56	-1.78000000  0.53126269   1.08060103e+00  1.08060003e+00  5.31181265e-01  5.31194134e-01  5.73360058e-02  5.73372259e-02  3.60173755e-01  3.60160022e-01  2.84134482e+00  2.84134974e+00  1.31162980e+00  1.31157210e+00 
-1.7543859649122808 0.5074934279079084 -1.5120631242258036 9.401179646381777e-38 9.401179646381779e-38 -3.6482482894415065e-56	-1.76000000  0.51234669   1.12265086e+00  1.12264949e+00  7.95825784e-01  7.95840617e-01  5.29348129e-02  5.29348227e-02  3.28278177e-01  3.28280411e-01  2.94892140e+00  2.94892402e+00  1.96002363e+00  1.96000248e+00 
-1.7343358395989976 0.49127847367760213 -1.2882813042386998 9.70602852098406e-38 9.70602852098402e-38 -4.564172272348143e-56	-1.74000000  0.49570841   1.16063579e+00  1.16063666e+00  1.02639715e+00  1.02638292e+00  4.80487675e-02  4.80451492e-02  2.88941125e-01  2.88980938e-01  3.05048985e+00  3.05047827e+00  2.58573187e+00  2.58586776e+00 
-1.7142857142857144 0.4763480666096588 -1.156926424318348 9.982797530567148e-38 9.982797530567167e-38 -5.376360622495783e-56	-1.72000000  0.48049760   1.19505640e+00  1.19506251e+00  1.22948207e+00  1.22941306e+00  4.36570800e-02  4.36557168e-02  2.56476918e-01  2.56484889e-01  3.14402960e+00  3.14401526e+00  3.15236574e+00  3.15250953e+00 
-1.6942355889724312 0.46235106159185557 -1.0695882054752548 1.0236583127461803e-37 1.0236583127461784e-37 -6.114810970588168e-56	-1.70000000  0.46629284   1.22654530e+00  1.22654795e+00  1.41253291e+00  1.41251323e+00  4.00656687e-02  4.00755474e-02  2.32753784e-01  2.32648654e-01  3.22961581e+00  3.22963636e+00  3.66037272e+00  3.66015373e+00 
-1.674185463659148 0.449075560131716 -1.0069257312774458 1.0470881872485968e-37 1.0470881872485964e-37 -6.796083206167536e-56	-1.68000000  0.45285875   1.25555168e+00  1.25553683e+00  1.58013337e+00  1.58029198e+00  3.71438344e-02  3.71453398e-02  2.15121691e-01  2.15117272e-01  3.30827152e+00  3.30828717e+00  4.12072223e+00  4.12057951e+00 
-1.6541353383458648 0.43638757750728396 -0.9593360199383605 1.0690060687583816e-37 1.0690060687583797e-37 -7.434969590469535e-56	-1.66000000  0.44004399   1.28253884e+00  1.28253481e+00  1.73633964e+00  1.73636451e+00  3.46563277e-02  3.46347732e-02  2.00930339e-01  2.01142906e-01  3.38115481e+00  3.38111104e+00  4.54466650e+00  4.54507080e+00 
-1.6340852130325816 0.4242122941372669 -0.9218741960311956 1.0896719024109818e-37 1.089671902410985e-37 -8.039137420991043e-56	-1.64000000  0.42775657   1.30789118e+00  1.30792414e+00  1.88407460e+00  1.88375373e+00  3.25192204e-02  3.25306994e-02  1.89717540e-01  1.89594226e-01  3.44916348e+00  3.44919381e+00  4.94182176e+00  4.94151789e+00 
-1.6140350877192984 0.4124800941353628 -0.8914738317765399 1.109073816700014e-37 1.1090738167000123e-37 -8.611958171043772e-56	-1.62000000  0.41592685   1.33177595e+00  1.33175867e+00  2.02347663e+00  2.02367287e+00  3.07144437e-02  3.07399836e-02  1.80653073e-01  1.80421096e-01  3.51305361e+00  3.51308303e+00  5.31624604e+00  5.31603904e+00 
-1.5939849624060152 0.4011184670911878 -0.8660831630099142 1.1274042754942343e-37 1.1274042754942335e-37 -9.159871167047206e-56	-1.60000000  0.40448973   1.35430182e+00  1.35426068e+00  2.15602239e+00  2.15639375e+00  2.91116747e-02  2.90685336e-02  1.72158417e-01  1.72553406e-01  3.57337397e+00  3.57325990e+00  5.67103012e+00  5.67198799e+00 
-1.573934837092732 0.39010362492163053 -0.844899565286603 1.1449820468240472e-37 1.1449820468240512e-37 -9.684604143257812e-56	-1.58000000  0.39340358   1.37567996e+00  1.37575954e+00  2.28419145e+00  2.28347657e+00  2.75924556e-02  2.76081110e-02  1.65039470e-01  1.64875022e-01  3.63036861e+00  3.63051313e+00  6.01208451e+00  6.01069420e+00 
-1.5538847117794488 0.379412076587773 -0.8264881492769288 1.1616167928862129e-37 1.1616167928862137e-37 -1.0190106877055256e-55	-1.56000000  0.38264021   1.39613644e+00  1.39609692e+00  2.40634418e+00  2.40676897e+00  2.62967887e-02  2.63264231e-02  1.59090703e-01  1.58795609e-01  3.68475103e+00  3.68469819e+00  6.33746411e+00  6.33791462e+00 
-1.5338345864661656 0.3689816197290253 -0.8102806597934974 1.1773655360693043e-37 1.1773655360693026e-37 -1.0677676799054653e-55	-1.54000000  0.37216195   1.41550686e+00  1.41544886e+00  2.52370849e+00  2.52421281e+00  2.51418780e-02  2.50806710e-02  1.53134155e-01  1.53631027e-01  3.73643735e+00  3.73625628e+00  6.65022793e+00  6.65150428e+00 
-1.5137844611528823 0.3588153291801931 -0.7966787373803372 1.1926915433691764e-37 1.192691543369177e-37 -1.1144553149977135e-55	-1.52000000  0.36194148   1.43394770e+00  1.43410245e+00  2.63846607e+00  2.63715722e+00  2.39276764e-02  2.39861402e-02  1.48033977e-01  1.47629392e-01  3.78544900e+00  3.78585616e+00  6.95483605e+00  6.95167822e+00 
-1.4937343358395991 0.34889679830232045 -0.7836679231370283 1.2071216146024219e-37 1.2071216146024235e-37 -1.1605385961305353e-55	-1.50000000  0.35196722   1.45189965e+00  1.45171633e+00  2.74778505e+00  2.74919266e+00  2.29581847e-02  2.29324973e-02  1.43170886e-01  1.43460507e-01  3.83305598e+00  3.83260503e+00  7.24414752e+00  7.24848472e+00 
-1.473684210526316 0.33917132602287037 -0.7726242921683191 1.2209639231122736e-37 1.2209639231122709e-37 -1.2042784387012607e-55	-1.48000000  0.34221584   1.46869331e+00  1.46879106e+00  2.85527958e+00  2.85424903e+00  2.20082910e-02  2.20062203e-02  1.39300972e-01  1.39202867e-01  3.87772919e+00  3.87804579e+00  7.53049703e+00  7.52781457e+00 
-1.4536340852130327 0.32967042535918323 -0.7628337802323177 1.2344369429151492e-37 1.2344369429151492e-37 -1.2468020581075698e-55	-1.46000000  0.33266524   1.48498106e+00  1.48502833e+00  2.95818069e+00  2.95805966e+00  2.10631830e-02  2.10667604e-02  1.34944275e-01  1.34629102e-01  3.92108137e+00  3.92108672e+00  7.80392332e+00  7.80312639e+00 
-1.4335839598997495 0.32034690353123185 -0.7525644926732217 1.2470471753976036e-37 1.2470471753976036e-37 -1.2897681514692433e-55	-1.44000000  0.32331123   1.50077864e+00  1.50058944e+00  3.05850157e+00  3.06040697e+00  2.02355129e-02  2.02168191e-02  1.30904411e-01  1.31306203e-01  3.96284889e+00  3.96236577e+00  8.06933102e+00  8.07308357e+00 
-1.4135338345864663 0.3112112379760307 -0.7452323072545337 1.2595746559348475e-37 1.259574655934851e-37 -1.3287575929726283e-55	-1.42000000  0.31413953   1.51547676e+00  1.51581509e+00  3.15848748e+00  3.15552223e+00  1.94258843e-02  1.94965336e-02  1.27982534e-01  1.28015245e-01  4.00189180e+00  4.00282612e+00  8.33337296e+00  8.32742503e+00 
-1.393483709273183 0.30223585033444555 -0.736447301620489 1.2710481567682717e-37 1.271048156768272e-37 -1.3692159241110628e-55	-1.40000000  0.30513054   1.53025988e+00  1.52978672e+00  3.25050654e+00  3.25330763e+00  1.87211669e-02  1.86124541e-02  1.24270701e-01  1.24247390e-01  4.04113438e+00  4.03993915e+00  8.57852574e+00  8.58619929e+00 
-1.3734335839599 0.29339993377966334 -0.7297319050154397 1.2827200174360828e-37 1.2827200174360828e-37 -1.4073107848748367e-55	-1.38000000  0.29628352   1.54369257e+00  1.54419162e+00  3.34690226e+00  3.34430743e+00  1.78950266e-02  1.79991962e-02  1.21581909e-01  1.20612762e-01  4.07675108e+00  4.07796635e+00  8.83394247e+00  8.82508757e+00 
-1.3533834586466167 0.284758922598074 -0.7225278788509046 1.2934836685811281e-37 1.2934836685811281e-37 -1.44529631917023e-55	-1.36000000  0.28759023   1.55742907e+00  1.55705323e+00  3.43439140e+00  3.43754881e+00  1.73604312e-02  1.72469045e-02  1.17616318e-01  1.19670824e-01  4.11316873e+00  4.11214273e+00  9.06455129e+00  9.07408250e+00 
-1.3333333333333335 0.2762006324872276 -0.7163438482735512 1.3039025704005904e-37 1.3039025704005864e-37 -1.4813522911132574e-55	-1.34000000  0.27903265   1.56991994e+00  1.57011365e+00  3.52559478e+00  3.52202023e+00  1.65197347e-02  1.67158994e-02  1.16526528e-01  1.14305503e-01  4.14619995e+00  4.14695137e+00  9.30713437e+00  9.29804282e+00 
-1.3132832080200503 0.26782042728669897 -0.7105481833427353 1.314262503415206e-37 1.3142625034152083e-37 -1.5172610451768943e-55	-1.32000000  0.27061178   1.58246244e+00  1.58238467e+00  3.60982743e+00  3.61227401e+00  1.61522966e-02  1.58214946e-02  1.11794958e-01  1.13438893e-01  4.17965831e+00  4.17909171e+00  9.52939763e+00  9.53559173e+00 
