#mu n n_h sigma_xx sigma_yy sigma_xy "Peter (p)"
-1.3 -46104830223.31193 1.272371826460932 -47171.83310413654 -47175.09550100356 41975.1965964494 0.25
-0.8 -57225219911.084465 1.1322203302957476 -43192.10229716536 -43200.94965838698 39552.86342174771 0.1875
-0.55 -61912734946.41216 0.48871704373517527 -24440.58456435928 -24450.481314348628 29346.259830124924 0.125
-0.75 -58199850601.690544 0.43486501460994526 -12740.52039654626 -12744.579882038846 8961.267950874555 0.0625
-0.1 -69460793719.65582 0.09463788042492749 -140.42104395614405 -140.39910431954485 4.999686479165523 0.0
