#mu n n_h sigma_xx sigma_yy sigma_xy "Peter (p)"
-1.3 -1179907425.5554314 1.2492952572396319 -9091.721020718218 -9096.57357440444 9930.019589483527 0.25
-0.8 -1464481725.1159282 1.09730064834215 -8016.258284873227 -8026.970034559806 8796.075871164347 0.1875
-0.55 -1584124707.9157498 0.4250572776518118 -5006.227299126291 -5020.304631979783 8869.19978316488 0.125
-0.75 -1490086370.167096 0.43287536683355615 -2213.622096387839 -2218.197924903746 1701.5008188084125 0.0625
-0.1 -1779375263.1811378 0.06805220301907751 -11.45313004840134 -11.438611215412045 0.28876633527901363 0.0
