w	up_1	down_1	cumul_up_1	cumul_down_1	
 (-30+0.1j)	 (3.01652e-05+0j)	 (3.01652e-05+0j)	 (0+0j)	 (0+0j)
 (-29.975+0.1j)	 (3.02128e-05+0j)	 (3.02128e-05+0j)	 (7.55321e-07+0j)	 (7.55321e-07+0j)
 (-29.95+0.1j)	 (3.02606e-05+0j)	 (3.02606e-05+0j)	 (1.51184e-06+0j)	 (1.51184e-06+0j)
 (-29.925+0.1j)	 (3.03084e-05+0j)	 (3.03084e-05+0j)	 (2.26955e-06+0j)	 (2.26955e-06+0j)
 (-29.9+0.1j)	 (3.03564e-05+0j)	 (3.03564e-05+0j)	 (3.02845e-06+0j)	 (3.02845e-06+0j)
 (-29.875+0.1j)	 (3.04045e-05+0j)	 (3.04045e-05+0j)	 (3.78857e-06+0j)	 (3.78857e-06+0j)
 (-29.85+0.1j)	 (3.04526e-05+0j)	 (3.04526e-05+0j)	 (4.54988e-06+0j)	 (4.54988e-06+0j)
 (-29.825+0.1j)	 (3.0501e-05+0j)	 (3.0501e-05+0j)	 (5.31241e-06+0j)	 (5.31241e-06+0j)
 (-29.8+0.1j)	 (3.05494e-05+0j)	 (3.05494e-05+0j)	 (6.07614e-06+0j)	 (6.07614e-06+0j)
 (-29.775+0.1j)	 (3.05979e-05+0j)	 (3.05979e-05+0j)	 (6.84109e-06+0j)	 (6.84109e-06+0j)
 (-29.75+0.1j)	 (3.06466e-05+0j)	 (3.06466e-05+0j)	 (7.60725e-06+0j)	 (7.60725e-06+0j)
 (-29.725+0.1j)	 (3.06954e-05+0j)	 (3.06954e-05+0j)	 (8.37464e-06+0j)	 (8.37464e-06+0j)
 (-29.7+0.1j)	 (3.07443e-05+0j)	 (3.07443e-05+0j)	 (9.14324e-06+0j)	 (9.14324e-06+0j)
 (-29.675+0.1j)	 (3.07933e-05+0j)	 (3.07933e-05+0j)	 (9.91308e-06+0j)	 (9.91308e-06+0j)
 (-29.65+0.1j)	 (3.08424e-05+0j)	 (3.08424e-05+0j)	 (1.06841e-05+0j)	 (1.06841e-05+0j)
 (-29.625+0.1j)	 (3.08917e-05+0j)	 (3.08917e-05+0j)	 (1.14564e-05+0j)	 (1.14564e-05+0j)
 (-29.6+0.1j)	 (3.0941e-05+0j)	 (3.0941e-05+0j)	 (1.223e-05+0j)	 (1.223e-05+0j)
 (-29.575+0.1j)	 (3.09905e-05+0j)	 (3.09905e-05+0j)	 (1.30047e-05+0j)	 (1.30047e-05+0j)
 (-29.55+0.1j)	 (3.10401e-05+0j)	 (3.10401e-05+0j)	 (1.37807e-05+0j)	 (1.37807e-05+0j)
 (-29.525+0.1j)	 (3.10899e-05+0j)	 (3.10899e-05+0j)	 (1.4558e-05+0j)	 (1.4558e-05+0j)
 (-29.5+0.1j)	 (3.11397e-05+0j)	 (3.11397e-05+0j)	 (1.53365e-05+0j)	 (1.53365e-05+0j)
 (-29.475+0.1j)	 (3.11897e-05+0j)	 (3.11897e-05+0j)	 (1.61162e-05+0j)	 (1.61162e-05+0j)
 (-29.45+0.1j)	 (3.12398e-05+0j)	 (3.12398e-05+0j)	 (1.68972e-05+0j)	 (1.68972e-05+0j)
 (-29.425+0.1j)	 (3.129e-05+0j)	 (3.129e-05+0j)	 (1.76794e-05+0j)	 (1.76794e-05+0j)
 (-29.4+0.1j)	 (3.13404e-05+0j)	 (3.13404e-05+0j)	 (1.8463e-05+0j)	 (1.8463e-05+0j)
 (-29.375+0.1j)	 (3.13909e-05+0j)	 (3.13909e-05+0j)	 (1.92477e-05+0j)	 (1.92477e-05+0j)
 (-29.35+0.1j)	 (3.14414e-05+0j)	 (3.14414e-05+0j)	 (2.00338e-05+0j)	 (2.00338e-05+0j)
 (-29.325+0.1j)	 (3.14922e-05+0j)	 (3.14922e-05+0j)	 (2.08211e-05+0j)	 (2.08211e-05+0j)
 (-29.3+0.1j)	 (3.1543e-05+0j)	 (3.1543e-05+0j)	 (2.16096e-05+0j)	 (2.16096e-05+0j)
 (-29.275+0.1j)	 (3.1594e-05+0j)	 (3.1594e-05+0j)	 (2.23995e-05+0j)	 (2.23995e-05+0j)
 (-29.25+0.1j)	 (3.16451e-05+0j)	 (3.16451e-05+0j)	 (2.31906e-05+0j)	 (2.31906e-05+0j)
 (-29.225+0.1j)	 (3.16963e-05+0j)	 (3.16963e-05+0j)	 (2.3983e-05+0j)	 (2.3983e-05+0j)
 (-29.2+0.1j)	 (3.17476e-05+0j)	 (3.17476e-05+0j)	 (2.47767e-05+0j)	 (2.47767e-05+0j)
 (-29.175+0.1j)	 (3.17991e-05+0j)	 (3.17991e-05+0j)	 (2.55717e-05+0j)	 (2.55717e-05+0j)
 (-29.15+0.1j)	 (3.18507e-05+0j)	 (3.18507e-05+0j)	 (2.6368e-05+0j)	 (2.6368e-05+0j)
 (-29.125+0.1j)	 (3.19024e-05+0j)	 (3.19024e-05+0j)	 (2.71655e-05+0j)	 (2.71655e-05+0j)
 (-29.1+0.1j)	 (3.19543e-05+0j)	 (3.19543e-05+0j)	 (2.79644e-05+0j)	 (2.79644e-05+0j)
 (-29.075+0.1j)	 (3.20063e-05+0j)	 (3.20063e-05+0j)	 (2.87645e-05+0j)	 (2.87645e-05+0j)
 (-29.05+0.1j)	 (3.20584e-05+0j)	 (3.20584e-05+0j)	 (2.9566e-05+0j)	 (2.9566e-05+0j)
 (-29.025+0.1j)	 (3.21106e-05+0j)	 (3.21106e-05+0j)	 (3.03688e-05+0j)	 (3.03688e-05+0j)
